Project Units: meters
Units & Scale - Inactive, Translate - Inactive, Rotate - Inactive

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type
5,1,1902.081532,1579.418561,0.596880,5.198944,5.233095,LSM Circular
5,2,2241.204151,1764.226561,2.878922,-4.463445,5.311359,LSM Circular
6,1,3202.407470,1560.404898,0.100214,0.887916,0.893554,LSM Circular
6,2,3035.875082,1085.959550,0.540077,-0.865310,1.020022,LSM Circular
7,1,2353.628384,931.435319,0.086892,0.915085,0.919201,LSM Circular
7,2,1964.168711,1150.836412,0.474077,-0.822021,0.948930,LSM Circular
8,1,2322.515155,1944.320961,0.589924,4.752274,4.788749,LSM Circular
8,2,2841.511598,1726.426943,2.885703,-4.254155,5.140536,LSM Circular
9,1,806.516584,2812.629194,-0.334834,-5.488971,5.499174,LSM Circular
9,2,2635.436819,3189.611007,-4.321470,14.557084,15.184986,LSM Circular
11,1,4315.973180,2771.163238,-0.784409,-3.891382,3.969653,LSM Circular
11,2,4419.192388,1193.879370,8.035333,-6.875538,10.575424,LSM Circular
12,1,3811.294621,381.221349,-4.181357,0.002891,4.181358,LSM Circular
12,2,2443.326941,201.670703,-5.381637,7.880527,9.542784,LSM Circular
17,1,1299.008847,423.457473,3.990219,-1.890894,4.415578,LSM Circular
17,2,574.145992,1432.507968,-5.224964,-6.899154,8.654396,LSM Circular
