Project Units: meters
Units & Scale - Inactive, Translate - Inactive, Rotate - Inactive

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type
5,1,1902.081532,1579.418561,0.453749,4.119076,4.143992,LSM Circular
5,2,2241.204151,1764.226561,2.292392,-3.526873,4.206411,LSM Circular
6,1,3202.407470,1560.404898,0.079150,0.733569,0.737826,LSM Circular
6,2,3035.875082,1085.959550,0.449232,-0.712513,0.842309,LSM Circular
7,1,2353.628384,931.435319,0.057621,0.635603,0.638210,LSM Circular
7,2,1964.168711,1150.836412,0.330787,-0.569636,0.658714,LSM Circular
8,1,2322.515155,1944.320961,0.452989,3.793939,3.820886,LSM Circular
8,2,2841.511598,1726.426943,2.315508,-3.385821,4.101873,LSM Circular
9,1,806.516584,2812.629194,-0.239309,-3.894089,3.901435,LSM Circular
9,2,2635.436819,3189.611007,-3.733137,11.942690,12.512560,LSM Circular
11,1,4315.973180,2771.163238,-0.188342,-3.754013,3.758735,LSM Circular
11,2,4419.192388,1193.879370,7.518993,-6.373148,9.856585,LSM Circular
12,1,3811.294621,381.221349,-4.390757,0.537106,4.423486,LSM Circular
12,2,2443.326941,201.670703,-6.087962,6.548113,8.940977,LSM Circular
17,1,1299.008847,423.457473,3.725444,-1.512188,4.020653,LSM Circular
17,2,574.145992,1432.507968,-3.349767,-5.579627,6.507932,LSM Circular
