Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
2," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.285750,1.143047,-0.000977,0.001116,0.001116,0.001357,0.002081,0.037188,0.000676,85.615145, ,0.259319,0.526176,6,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
3," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.428648,1.143120,-0.000210,0.001092,0.001092,0.001318,0.002030,0.032156,0.000585,86.339927, ,0.227309,0.496118,6,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
4," ","1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.143009,1.143130,-0.000834,0.001162,0.001162,0.001433,0.002181,0.029301,0.000533,84.477472, ,0.233675,0.388192,20,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
5," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.571374,1.143178,0.000809,0.001092,0.001092,0.001318,0.002030,0.027917,0.000508,86.596998, ,0.216516,0.450089,6,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
6," ","1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.000168,1.143105,-0.000886,0.001228,0.001228,0.001540,0.002322,0.035292,0.000642,82.944324, ,0.289650,0.472394,16,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
7," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.714072,1.143152,0.000276,0.001116,0.001116,0.001357,0.002081,0.032739,0.000595,86.332524, ,0.229274,0.449818,6,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
8," ","1,2,3,4,5,7,9,10,11,12,13,14,15,17,18,19,20,21",-0.142649,1.143064,-0.000562,0.001312,0.001312,0.001672,0.002497,0.054125,0.000984,80.979552, ,0.412544,0.748344,20,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,7,9,10,11,12,13,14,15,17,18,19,20,21",255,255,255
9," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.856976,1.143141,0.000212,0.001162,0.001162,0.001433,0.002181,0.032592,0.000593,85.575205, ,0.264079,0.408119,4,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
10," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.999788,1.143146,-0.001373,0.001228,0.001228,0.001540,0.002322,0.044819,0.000815,84.286993, ,0.307841,0.487483,6,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
11," ","1,2,3,5,6,7,8,9,10,11,13,15,16,17,18,19,20,21",1.142552,1.143209,-0.000520,0.001312,0.001312,0.001672,0.002497,0.051342,0.000934,82.640622, ,0.435828,1.008517,21,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,5,6,7,8,9,10,11,13,15,16,17,18,19,20,21",255,255,255
