Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
317," ","1,2,3,4",999604.583809,112344.430031,139.446979,0.018540,0.018414,0.038846,0.046817,0.010751,0.169732,14.826547,216,1.179082,1.586096,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3,4",255,255,255
333," ","1,2,3",1000134.491110,112591.173836,138.008294,0.018873,0.018584,0.039295,0.047388,0.003174,0.050107,14.849292,401,1.239129,1.520080,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3",255,255,255
347," ","2,3",1000460.329514,112765.821099,139.450996,0.019110,0.019044,0.039121,0.047522,0.001450,0.022885,6.481168,405,0.417332,0.501529,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
351," ","2,3,4,5",1000551.285202,112275.285009,139.865571,0.018636,0.018517,0.039006,0.047029,0.006636,0.104764,15.262769,406,1.217796,2.077324,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
375," ","1,3,4",999619.047881,112370.828250,138.965177,0.018720,0.018627,0.039003,0.047103,0.002706,0.042720,14.649532,305,0.987357,1.199696,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4",255,255,255
403," ","1",999170.673249,112692.547560,139.640509,0.019638,0.019579,0.039389,0.048171,n/a,n/a,n/a,309,0.186839,0.186839,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1",255,255,255
410," ","1,4,5",999974.437783,112476.868652,139.711458,0.018797,0.018594,0.039073,0.047178,0.004807,0.075886,25.793497,311,1.848867,2.171560,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
422," ","1,3,4,5",1000126.754478,112179.095188,138.543219,0.018400,0.018208,0.038995,0.046805,0.013524,0.213520,25.775873,313,1.133032,1.703584,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4,5",255,255,255
428," ","1,4,5",999971.951047,112044.551665,139.541393,0.018853,0.018781,0.039031,0.047240,0.003790,0.059832,25.428370,314,0.996194,1.209217,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
492," ","2,3,4",999606.912647,112342.355446,139.115922,0.018831,0.018743,0.038848,0.047064,0.002654,0.041900,13.254897,413,1.385830,1.580305,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4",255,255,255
552," ","3,4,5",1000575.065003,112258.190654,139.638387,0.018854,0.018783,0.039062,0.047266,0.002546,0.040199,13.460906,508,0.719205,0.904009,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"3,4,5",255,255,255
563," ","2,3,5",1000166.790193,112674.287754,138.761918,0.018725,0.018572,0.039193,0.047240,0.001051,0.016588,15.474339,511,1.098379,1.319299,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
590," ","4,5",999980.987496,112051.066616,139.399970,0.019063,0.018993,0.039123,0.047484,0.006664,0.105215,12.860559,515,1.308508,1.573412,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"4,5",255,255,255
607," ","2,3,5",1000502.473335,112625.890275,139.646576,0.018669,0.018718,0.038983,0.047101,0.004552,0.071862,15.562448,5212,0.768617,0.992482,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
634," ","2,3",1000441.905841,112677.080684,139.754596,0.018954,0.018894,0.039073,0.047360,0.000283,0.004468,6.550885,609,0.678526,0.699466,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
651," ","2,3,4,5",1000359.458412,112429.750280,139.158035,0.018281,0.018192,0.039059,0.046806,0.002310,0.036475,15.698333,610,0.473691,0.607999,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
