Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
317," ","1,2,3,4",999604.587747,112344.417761,139.441798,0.016403,0.016291,0.034382,0.041431,0.011145,0.175980,14.816749,216,1.111504,1.502110,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3,4",255,255,255
333," ","1,2,3",1000134.481616,112591.184873,138.007814,0.016684,0.016425,0.034762,0.041911,0.003392,0.053559,14.838956,401,1.082844,1.386387,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3",255,255,255
347," ","2,3",1000460.329525,112765.823981,139.453479,0.016909,0.016838,0.034621,0.042048,0.000971,0.015333,6.472000,405,0.444848,0.595624,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
351," ","2,3,4,5",1000551.297785,112275.288410,139.869153,0.016492,0.016385,0.034521,0.041619,0.006579,0.103876,15.251936,406,1.138189,1.998868,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
375," ","1,3,4",999619.054396,112370.836359,138.960919,0.016559,0.016479,0.034521,0.041683,0.002775,0.043817,14.643435,305,0.876039,1.105389,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4",255,255,255
403," ","1",999170.672211,112692.547398,139.641536,0.017380,0.017324,0.034861,0.042632,n/a,n/a,n/a,309,0.214476,0.214476,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1",255,255,255
410," ","1,4,5",999974.445271,112476.848895,139.702858,0.016572,0.016434,0.034562,0.041704,0.005172,0.081660,25.788410,311,1.615857,1.957943,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
422," ","1,3,4,5",1000126.758751,112179.097772,138.546165,0.016267,0.016111,0.034511,0.041415,0.014602,0.230560,25.770562,313,1.174430,1.788699,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4,5",255,255,255
428," ","1,4,5",999971.952581,112044.562785,139.534523,0.016680,0.016620,0.034545,0.041807,0.003690,0.058257,25.422790,314,0.922041,1.164852,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
492," ","2,3,4",999606.898793,112342.358640,139.129076,0.016663,0.016580,0.034383,0.041650,0.002618,0.041344,13.233609,413,1.150099,1.306303,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4",255,255,255
552," ","3,4,5",1000575.059741,112258.186415,139.635039,0.016687,0.016621,0.034573,0.041833,0.002656,0.041936,13.456488,508,0.614016,0.801922,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"3,4,5",255,255,255
563," ","2,3,5",1000166.789851,112674.278357,138.760698,0.016563,0.016414,0.034667,0.041781,0.001133,0.017892,15.464477,511,0.899876,1.197113,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
590," ","4,5",999980.977924,112051.071613,139.404990,0.016868,0.016807,0.034627,0.042024,0.005741,0.090640,12.855925,515,1.225806,1.451428,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"4,5",255,255,255
607," ","2,3,5",1000502.480419,112625.893272,139.648953,0.016506,0.016563,0.034502,0.041680,0.004513,0.071253,15.551565,5212,0.793437,0.967574,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
634," ","2,3",1000441.905674,112677.075709,139.752789,0.016775,0.016717,0.034582,0.041914,0.000064,0.001012,6.541598,609,0.565014,0.569002,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
651," ","2,3,4,5",1000359.454716,112429.750762,139.159210,0.016169,0.016099,0.034569,0.041420,0.002552,0.040301,15.687605,610,0.445844,0.573168,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
745," ","1,2,3,5",1000007.358896,112644.631205,160.183390,0.046877,0.051258,0.269258,0.278074,0.007576,0.119616,25.872296, ,0.625454,0.878605,5,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,5",255,255,255
