Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type,Layer,Material,Tagged
317,1,5007.666667,7275.666667,0.302045,0.620439,0.690055,Non-sub-pixel,Default,White, 
317,2,1453.666667,1012.333333,1.082189,1.041730,1.502110,Non-sub-pixel,Default,White, 
317,3,4060.000000,912.333333,0.339527,0.270544,0.434134,Non-sub-pixel,Default,White, 
317,4,6751.911854,1015.961089,1.408921,-0.189008,1.421543,Non-sub-pixel,Default,White, 
333,1,2158.250000,1135.500000,0.520265,0.556245,0.761632,Non-sub-pixel,Default,White, 
333,2,4039.000000,7293.333333,-1.052817,-0.902023,1.386387,Non-sub-pixel,Default,White, 
333,3,6455.659259,7294.808042,-0.970772,-0.270380,1.007722,Non-sub-pixel,Default,White, 
347,2,5892.051852,11172.177691,0.173038,-0.105212,0.202514,Non-sub-pixel,Default,White, 
347,3,8197.333333,11243.666667,-0.589927,0.082178,0.595624,Non-sub-pixel,Default,White, 
351,2,148.666667,11965.666667,-0.282749,0.022670,0.283656,Non-sub-pixel,Default,White, 
351,3,2409.155556,11859.132296,-0.043846,-0.234756,0.238816,Non-sub-pixel,Default,White, 
351,4,4767.000000,11933.774319,-0.040813,1.023357,1.024170,Non-sub-pixel,Default,White, 
351,5,5681.000000,5699.775616,0.432331,-1.951555,1.998868,Non-sub-pixel,Default,White, 
375,1,4700.350617,7105.946822,0.580660,-0.137666,0.596756,Non-sub-pixel,Default,White, 
375,3,4354.797531,1106.042802,-0.134195,0.840427,0.851074,Non-sub-pixel,Default,White, 
375,4,7042.500000,1218.887160,-0.988845,0.494036,1.105389,Non-sub-pixel,Default,White, 
403,1,955.138272,12311.166018,-0.083595,0.197514,0.214476,Non-sub-pixel,Default,White, 
410,1,3478.135802,2979.280156,-1.622535,-0.725674,1.777421,Non-sub-pixel,Default,White, 
410,4,7829.606383,5477.000000,1.952936,0.139932,1.957943,Non-sub-pixel,Default,White, 
410,5,3661.446809,12430.666667,-0.848389,-0.347066,0.916635,Non-sub-pixel,Default,White, 
422,1,6936.800000,1211.386511,-0.711568,-0.871225,1.124883,Non-sub-pixel,Default,White, 
422,3,1672.000000,6836.000000,0.831639,-0.442889,0.942217,Non-sub-pixel,Default,White, 
422,4,4180.512158,6874.666667,-0.304393,0.268160,0.405666,Non-sub-pixel,Default,White, 
422,5,7002.735562,10531.333333,1.772125,-0.242941,1.788699,Non-sub-pixel,Default,White, 
428,1,8503.600000,3004.577173,1.158329,0.123098,1.164852,Non-sub-pixel,Default,White, 
428,4,2811.500000,4908.713359,-0.569642,0.797106,0.979730,Non-sub-pixel,Default,White, 
428,5,8635.437690,12250.739300,0.454947,0.163551,0.483452,Non-sub-pixel,Default,White, 
492,2,1431.000000,1037.000000,-0.844175,-0.996892,1.306303,Non-sub-pixel,Default,White, 
492,3,4034.333333,937.333333,0.072401,-0.761086,0.764522,Non-sub-pixel,Default,White, 
492,4,6726.434650,1040.129702,-0.319072,-1.255172,1.295092,Non-sub-pixel,Default,White, 
552,3,2189.380247,12119.378729,-0.015822,-0.034001,0.037502,Non-sub-pixel,Default,White, 
552,4,4537.729483,12186.420233,0.572188,-0.561854,0.801922,Non-sub-pixel,Default,White, 
552,5,5865.930091,5420.760052,-0.274373,0.641313,0.697540,Non-sub-pixel,Default,White, 
563,2,4984.000000,7714.333333,1.130951,0.392466,1.197113,Non-sub-pixel,Default,White, 
563,3,7392.600000,7745.875486,0.607032,0.208695,0.641904,Non-sub-pixel,Default,White, 
563,5,1300.744681,10316.106355,-0.300779,0.702669,0.764337,Non-sub-pixel,Default,White, 
590,4,2876.500000,5020.108949,-1.160606,-0.871572,1.451428,Non-sub-pixel,Default,White, 
590,5,8556.000000,12150.285344,-0.121892,0.940053,0.947923,Non-sub-pixel,Default,White, 
607,2,4245.395062,11587.654994,-0.706084,0.661547,0.967574,Non-sub-pixel,Default,White, 
607,3,6530.898765,11607.874189,-0.286456,-0.112400,0.307719,Non-sub-pixel,Default,White, 
607,5,1684.000000,6440.813230,-0.330414,-0.865195,0.926140,Non-sub-pixel,Default,White, 
634,2,4870.804938,10911.341115,0.568005,-0.033668,0.569002,Non-sub-pixel,Default,White, 
634,3,7180.170370,10949.792477,0.557369,-0.063710,0.560998,Non-sub-pixel,Default,White, 
651,2,2043.777778,9819.706874,0.410970,-0.329883,0.526991,Non-sub-pixel,Default,White, 
651,3,4377.039506,9766.507134,-0.096152,-0.091293,0.132588,Non-sub-pixel,Default,White, 
651,4,6803.085106,9893.666667,-0.552103,0.153959,0.573168,Non-sub-pixel,Default,White, 
651,5,4005.516717,7983.666667,-0.091234,0.403689,0.413870,Non-sub-pixel,Default,White, 
745,1,1498.000000,2554.599260,-0.144705,0.235173,0.276126,Non-sub-pixel,Default,White, 
745,2,4729.398936,5840.131936,-0.474403,0.246116,0.534444,Non-sub-pixel,Default,White, 
745,3,7224.484043,5858.274969,-0.266632,0.599879,0.656466,Non-sub-pixel,Default,White, 
745,5,1686.274667,12198.817509,-0.687360,0.547250,0.878605,Non-sub-pixel,Default,White, 
