Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
317," ","1,2,3,4",999604.586655,112344.419188,139.442001,0.016678,0.016564,0.034945,0.042115,0.010422,0.164547,14.826665,216,1.070038,1.434240,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3,4",255,255,255
333," ","1,2,3",1000134.483367,112591.185834,138.006591,0.016978,0.016718,0.035348,0.042629,0.003250,0.051314,14.849796,401,1.095689,1.371474,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3",255,255,255
347," ","2,3",1000460.328936,112765.822212,139.451883,0.017191,0.017131,0.035192,0.042749,0.001463,0.023092,6.482284,405,0.404849,0.485855,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
351," ","2,3,4,5",1000551.298062,112275.289030,139.869674,0.016764,0.016658,0.035089,0.042305,0.006451,0.101855,15.256610,406,1.106886,1.921500,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
375," ","1,3,4",999619.053942,112370.837071,138.961061,0.016840,0.016756,0.035086,0.042372,0.002848,0.044962,14.644494,305,0.872239,1.099964,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4",255,255,255
403," ","1",999170.672450,112692.546974,139.640965,0.017666,0.017612,0.035433,0.043333,n/a,n/a,n/a,309,0.212741,0.212741,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1",255,255,255
410," ","1,4,5",999974.443423,112476.847441,139.703860,0.016909,0.016726,0.035149,0.042439,0.004593,0.072508,25.784834,311,1.629234,1.944086,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
422," ","1,3,4,5",1000126.759882,112179.097247,138.546258,0.016552,0.016380,0.035079,0.042104,0.013555,0.214001,25.767155,313,1.103700,1.668973,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4,5",255,255,255
428," ","1,4,5",999971.953840,112044.561717,139.533899,0.016960,0.016895,0.035111,0.042495,0.004035,0.063702,25.419627,314,0.891339,1.136083,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
492," ","2,3,4",999606.897855,112342.360147,139.129292,0.016940,0.016860,0.034946,0.042338,0.002481,0.039169,13.247539,413,1.201281,1.423553,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4",255,255,255
552," ","3,4,5",1000575.059326,112258.186881,139.634866,0.016961,0.016896,0.035139,0.042519,0.002711,0.042798,13.450318,508,0.640350,0.798229,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"3,4,5",255,255,255
563," ","2,3,5",1000166.790429,112674.278729,138.763137,0.016844,0.016707,0.035256,0.042495,0.001305,0.020609,15.468674,511,1.013254,1.201921,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
590," ","4,5",999980.979083,112051.070768,139.404261,0.017148,0.017085,0.035194,0.042715,0.006559,0.103549,12.850192,515,1.188063,1.459834,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"4,5",255,255,255
607," ","2,3,5",1000502.478693,112625.893330,139.648486,0.016794,0.016838,0.035068,0.042371,0.004688,0.074017,15.556454,5212,0.723884,0.953500,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
634," ","2,3",1000441.905716,112677.075168,139.752483,0.017051,0.016996,0.035149,0.042603,0.000264,0.004173,6.551971,609,0.593223,0.622679,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
651," ","2,3,4,5",1000359.455340,112429.751262,139.160283,0.016445,0.016365,0.035136,0.042105,0.002161,0.034122,15.692274,610,0.452549,0.569117,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
