Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type,Layer,Material,Tagged
317,1,5007.666667,7275.666667,-1.831440,0.775773,1.988969,Non-sub-pixel,Default,White, 
317,2,1453.666667,1012.333333,0.188387,0.172884,0.255692,Non-sub-pixel,Default,White, 
317,3,4060.000000,912.333333,-0.798666,0.238079,0.833396,Non-sub-pixel,Default,White, 
317,4,6751.911854,1015.961089,0.223860,0.724156,0.757968,Non-sub-pixel,Default,White, 
333,1,2158.250000,1135.500000,-0.619280,0.312025,0.693445,Non-sub-pixel,Default,White, 
333,2,4039.000000,7293.333333,-1.920331,-0.504529,1.985503,Non-sub-pixel,Default,White, 
333,3,6455.659259,7294.808042,-1.857675,0.350949,1.890535,Non-sub-pixel,Default,White, 
347,2,5892.051852,11172.177691,-0.221020,0.307580,0.378755,Non-sub-pixel,Default,White, 
347,3,8197.333333,11243.666667,-0.898843,0.408316,0.987239,Non-sub-pixel,Default,White, 
351,2,148.666667,11965.666667,-1.021913,-0.193317,1.040037,Non-sub-pixel,Default,White, 
351,3,2409.155556,11859.132296,-1.190716,-0.819812,1.445647,Non-sub-pixel,Default,White, 
351,4,4767.000000,11933.774319,-1.340624,1.026378,1.688409,Non-sub-pixel,Default,White, 
351,5,5681.000000,5699.775616,-2.268776,-1.792176,2.891235,Non-sub-pixel,Default,White, 
375,1,4700.350617,7105.946822,-1.466615,0.140196,1.473300,Non-sub-pixel,Default,White, 
375,3,4354.797531,1106.042802,-1.382943,0.751204,1.573798,Non-sub-pixel,Default,White, 
375,4,7042.500000,1218.887160,-2.201704,1.373441,2.594964,Non-sub-pixel,Default,White, 
403,1,955.138272,12311.166018,-2.085516,1.020617,2.321861,Non-sub-pixel,Default,White, 
410,1,3478.135802,2979.280156,-2.888501,-0.625130,2.955372,Non-sub-pixel,Default,White, 
410,4,7829.606383,5477.000000,0.760051,0.757089,1.072782,Non-sub-pixel,Default,White, 
410,5,3661.446809,12430.666667,-3.093963,-0.430924,3.123828,Non-sub-pixel,Default,White, 
422,1,6936.800000,1211.386511,-2.057210,-0.654333,2.158765,Non-sub-pixel,Default,White, 
422,3,1672.000000,6836.000000,-0.553359,0.010077,0.553450,Non-sub-pixel,Default,White, 
422,4,4180.512158,6874.666667,-1.817555,0.678293,1.939996,Non-sub-pixel,Default,White, 
422,5,7002.735562,10531.333333,-0.426700,-0.105548,0.439561,Non-sub-pixel,Default,White, 
428,1,8503.600000,3004.577173,0.064331,0.461435,0.465898,Non-sub-pixel,Default,White, 
428,4,2811.500000,4908.713359,-2.126908,1.172050,2.428464,Non-sub-pixel,Default,White, 
428,5,8635.437690,12250.739300,-1.187266,-0.272397,1.218114,Non-sub-pixel,Default,White, 
492,2,1431.000000,1037.000000,-1.550392,-1.882129,2.438468,Non-sub-pixel,Default,White, 
492,3,4034.333333,937.333333,-0.881518,-0.813746,1.199690,Non-sub-pixel,Default,White, 
492,4,6726.434650,1040.129702,-1.324069,-0.382064,1.378090,Non-sub-pixel,Default,White, 
552,3,2189.380247,12119.378729,-1.298152,-0.790509,1.519902,Non-sub-pixel,Default,White, 
552,4,4537.729483,12186.420233,-0.807947,-0.575632,0.992034,Non-sub-pixel,Default,White, 
552,5,5865.930091,5420.760052,-2.949687,0.773179,3.049337,Non-sub-pixel,Default,White, 
563,2,4984.000000,7714.333333,0.153320,0.979089,0.991020,Non-sub-pixel,Default,White, 
563,3,7392.600000,7745.875486,-0.375087,0.962856,1.033336,Non-sub-pixel,Default,White, 
563,5,1300.744681,10316.106355,-2.652221,1.188898,2.906502,Non-sub-pixel,Default,White, 
590,4,2876.500000,5020.108949,-2.622626,-0.527293,2.675108,Non-sub-pixel,Default,White, 
590,5,8556.000000,12150.285344,-1.904696,0.577189,1.990230,Non-sub-pixel,Default,White, 
607,2,4245.395062,11587.654994,-1.299294,0.925990,1.595501,Non-sub-pixel,Default,White, 
607,3,6530.898765,11607.874189,-0.819274,-0.019648,0.819510,Non-sub-pixel,Default,White, 
607,5,1684.000000,6440.813230,-2.299565,-0.536434,2.361305,Non-sub-pixel,Default,White, 
634,2,4870.804938,10911.341115,0.113675,0.310240,0.330410,Non-sub-pixel,Default,White, 
634,3,7180.170370,10949.792477,0.184820,0.191575,0.266195,Non-sub-pixel,Default,White, 
651,2,2043.777778,9819.706874,-0.311526,-0.088793,0.323933,Non-sub-pixel,Default,White, 
651,3,4377.039506,9766.507134,-0.925671,0.157297,0.938940,Non-sub-pixel,Default,White, 
651,4,6803.085106,9893.666667,-1.547224,0.078685,1.549223,Non-sub-pixel,Default,White, 
651,5,4005.516717,7983.666667,-2.552837,0.836053,2.686254,Non-sub-pixel,Default,White, 
