Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type,Layer,Material,Tagged
65231,3,4520.756641,11094.897146,1.049514,0.482635,1.155169,SmartPoint,Default,SurfaceDefault, 
65231,4,6907.297852,11228.656107,-1.037329,-0.998543,1.439840,SmartPoint,Default,SurfaceDefault, 
65231,5,3702.654845,6698.899673,0.108478,-0.549854,0.560453,SmartPoint,Default,SurfaceDefault, 
65234,2,1548.142419,10937.690813,-0.170779,-1.350189,1.360946,SmartPoint,Default,SurfaceDefault, 
65234,3,3838.289755,10874.734034,0.859391,1.097665,1.394066,SmartPoint,Default,SurfaceDefault, 
65234,4,6225.953890,10986.989522,-1.421298,-0.229091,1.439643,SmartPoint,Default,SurfaceDefault, 
65234,5,4397.524937,6825.812678,-0.712839,-0.612744,0.939997,SmartPoint,Default,SurfaceDefault, 
65235,3,5435.092611,8870.269724,-0.266259,-0.136840,0.299364,SmartPoint,Default,SurfaceDefault, 
65235,4,7887.251036,9028.078371,0.471428,0.335561,0.578658,SmartPoint,Default,SurfaceDefault, 
65235,5,3075.000556,8980.834611,0.171850,0.240183,0.295331,SmartPoint,Default,SurfaceDefault, 
65239,3,4426.226552,10980.267308,0.143749,1.768458,1.774291,SmartPoint,Default,SurfaceDefault, 
65239,4,6811.524798,11108.711742,0.224508,-1.696839,1.711627,SmartPoint,Default,SurfaceDefault, 
65239,5,3809.675128,6797.181923,0.415485,0.125623,0.434061,SmartPoint,Default,SurfaceDefault, 
65242,2,3267.416288,9185.159906,-0.980550,-1.364060,1.679922,SmartPoint,Default,SurfaceDefault, 
65242,3,5618.862587,9170.661032,1.266460,1.426567,1.907620,SmartPoint,Default,SurfaceDefault, 
65242,4,8063.955072,9333.217852,-0.291104,0.283516,0.406353,SmartPoint,Default,SurfaceDefault, 
65242,5,2858.924870,8709.168186,-0.098454,0.370024,0.382899,SmartPoint,Default,SurfaceDefault, 
