Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
317," ","1,2,3,4",999604.583708,112344.429001,139.442509,0.019954,0.019852,0.042027,0.050583,0.005749,0.216367,14.879588,216,1.150049,1.988970,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3,4",255,255,255
333," ","1,2,3",1000134.492862,112591.191716,138.009294,0.020098,0.019975,0.042396,0.050993,0.005509,0.207354,14.902719,401,1.632709,1.985503,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3",255,255,255
347," ","2,3",1000460.336302,112765.831626,139.463509,0.020589,0.020499,0.042326,0.051338,0.000188,0.007076,6.493229,405,0.747697,0.987241,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
351," ","2,3,4,5",1000551.284593,112275.293102,139.856445,0.020035,0.019851,0.042088,0.050664,0.008728,0.328500,15.198826,406,1.896149,2.891230,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
375," ","1,3,4",999619.057669,112370.841170,138.958437,0.020143,0.020090,0.042222,0.050912,0.009124,0.343408,14.631918,305,1.947759,2.594964,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4",255,255,255
403," ","1",999170.664320,112692.528096,139.636138,0.021136,0.021039,0.042593,0.051995,n/a,n/a,n/a,309,2.321862,2.321862,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1",255,255,255
410," ","1,4,5",999974.449479,112476.826156,139.699462,0.020046,0.019975,0.042212,0.050820,0.004876,0.183519,25.760584,311,2.558868,3.123830,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
422," ","1,3,4,5",1000126.760134,112179.092271,138.552660,0.019759,0.019626,0.042199,0.050561,0.008234,0.309903,25.743770,313,1.493600,2.158764,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4,5",255,255,255
428," ","1,4,5",999971.954894,112044.551258,139.541808,0.020146,0.020135,0.042200,0.050913,0.006566,0.247132,25.398618,314,1.591466,2.428462,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
492," ","2,3,4",999606.895801,112342.385583,139.129359,0.020267,0.020124,0.042030,0.050816,0.003119,0.117379,13.182473,413,1.759216,2.438468,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4",255,255,255
552," ","3,4,5",1000575.047352,112258.186056,139.627302,0.020260,0.020129,0.042234,0.050984,0.009464,0.356219,13.382280,508,2.048796,3.049338,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"3,4,5",255,255,255
563," ","2,3,5",1000166.796048,112674.275711,138.758833,0.020103,0.020016,0.042416,0.051029,0.007650,0.287940,15.408975,511,1.870621,2.906502,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
590," ","4,5",999980.982393,112051.068656,139.408587,0.020517,0.020446,0.042355,0.051312,0.009411,0.354209,12.783053,515,2.357671,2.675107,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"4,5",255,255,255
607," ","2,3,5",1000502.479115,112625.885821,139.643540,0.020125,0.020100,0.042227,0.050913,0.007683,0.289171,15.496833,5212,1.712015,2.361304,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
634," ","2,3",1000441.911086,112677.084435,139.760237,0.020487,0.020417,0.042343,0.051279,0.000257,0.009655,6.562838,609,0.300025,0.330410,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
651," ","2,3,4,5",1000359.451244,112429.752342,139.160879,0.019662,0.019633,0.042299,0.050608,0.008158,0.307052,15.632651,610,1.628082,2.686254,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
