Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Photos (used),Tightness (percent),Tightness (project units),Angle (deg.),RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,Precision Vector Length,Photos (marked)
65234," ",1000458.433706,112391.075695,135.559281,0.077863,0.049983,0.378576,"2,3,4,5",0.005487,0.206530,15.479376,1.298171,1.438028,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.389718,"2,3,4,5"
65242," ",1000300.462351,112532.297663,137.015968,0.056879,0.055693,0.376921,"2,3,4,5",0.006297,0.237021,15.630057,1.300762,1.907824,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.385236,"2,3,4,5"
65289," ",1000188.245858,112181.529393,139.496450,0.053614,0.055495,0.298854,"1,3,4,5",0.004008,0.150860,25.701865,0.756098,1.070493,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.308655,"1,3,4,5"
65291," ",1000208.416666,112492.962751,139.020303,0.050521,0.052014,0.371662,"2,3,4,5",0.002067,0.077786,15.615531,0.546981,0.686077,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.378670,"2,3,4,5"
65360," ",1000401.519759,112299.289498,140.023691,0.069248,0.054049,0.377104,"2,3,4,5",0.005603,0.210898,15.492186,1.083738,1.560358,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.387200,"2,3,4,5"
65377," ",1000251.813927,112510.800940,137.090263,0.052703,0.053532,0.374201,"2,3,4,5",0.003990,0.150177,15.620640,0.711112,1.088660,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.381667,"2,3,4,5"
65378," ",1000425.167573,112362.251029,135.950860,0.072638,0.050383,0.377296,"2,3,4,5",0.004227,0.159089,15.501505,0.894932,1.139704,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.387514,"2,3,4,5"
65386," ",1000158.312437,112262.828478,144.266405,0.051848,0.050413,0.290978,"1,3,4,5",0.003964,0.149211,25.895773,0.940672,1.185380,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.299830,"1,3,4,5"
65401," ",1000406.210336,112469.437761,137.782541,0.070001,0.051294,0.377037,"2,3,4,5",0.003778,0.142207,15.596361,0.916909,1.147086,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.386895,"2,3,4,5"
65436," ",1000475.806364,112426.674502,136.754243,0.080757,0.050274,0.379171,"2,3,4,5",0.003754,0.141292,15.489135,0.839466,1.143493,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.390922,"2,3,4,5"
65451," ",1000005.098425,112153.215272,139.681317,0.052198,0.057832,0.298402,"1,3,4,5",0.006415,0.241453,25.671055,1.613935,1.872475,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.308404,"1,3,4,5"
65458," ",1000127.030357,112512.307040,139.268276,0.050591,0.055926,0.296970,"1,3,4,5",0.001550,0.058347,25.813448,0.492623,0.753804,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.306396,"1,3,4,5"
65520," ",999863.845839,112322.608448,139.468888,0.055790,0.051575,0.363730,"1,2,3,4",0.003517,0.132354,15.195465,1.115150,1.366838,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.371581,"1,2,3,4"
65555," ",999963.060150,112196.112721,138.790143,0.053868,0.054390,0.297103,"1,3,4,5",0.007215,0.271543,25.659349,1.298921,1.615157,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.306807,"1,3,4,5"
65639," ",1000139.028135,112384.467618,140.404763,0.050269,0.048567,0.367504,"2,3,4,5",0.005230,0.196848,15.561695,1.099394,1.495422,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.374092,"2,3,4,5"
65699," ",1000492.744512,112466.017989,149.748179,0.083831,0.052050,0.376728,"2,3,4,5",0.004202,0.158153,15.592235,1.141669,1.405912,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.389437,"2,3,4,5"
65734," ",1000097.379108,112612.116166,137.857184,0.050932,0.056251,0.303578,"1,2,3,5",0.003287,0.123720,25.655078,0.742675,0.814710,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.312918,"1,2,3,5"
65737," ",999952.998111,112310.434751,140.144627,0.050513,0.051988,0.361405,"1,2,3,4",0.004680,0.176153,15.192284,0.819032,1.100614,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.368603,"1,2,3,4"
65740," ",1000074.151997,112619.980227,137.980219,0.050823,0.056967,0.304892,"1,2,3,5",0.002765,0.104064,25.641076,0.835209,1.286288,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.314304,"1,2,3,5"
65743," ",999949.484188,112314.739885,140.396516,0.050600,0.051703,0.361287,"1,2,3,4",0.004764,0.179323,15.197131,1.023000,1.496699,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.368459,"1,2,3,4"
65751," ",999957.052571,112303.672804,139.611126,0.050427,0.052467,0.361685,"1,2,3,4",0.004335,0.163146,15.177809,1.148361,1.495245,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.368933,"1,2,3,4"
65796," ",1000115.306493,112295.152985,139.275661,0.056902,0.052935,0.361135,"1,2,3,4",0.004476,0.168456,15.017438,1.310666,1.744552,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.369403,"1,2,3,4"
65828," ",1000112.280320,112306.894782,138.691402,0.056576,0.051999,0.360982,"1,2,3,4",0.003944,0.148450,15.023826,1.222151,1.436082,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.369071,"1,2,3,4"
65851," ",999763.706726,112425.515105,138.468708,0.067353,0.050300,0.367876,"1,2,3,4",0.005003,0.188296,15.212463,1.139910,1.314913,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.377359,"1,2,3,4"
65874," ",999619.946703,112421.735334,138.235371,0.090030,0.051775,0.376625,"1,2,3,4",0.004492,0.169054,14.993229,1.073753,1.152496,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.390682,"1,2,3,4"
65882," ",1000079.169269,112643.932286,138.452394,0.051068,0.059094,0.308264,"1,2,3,5",0.005291,0.199131,25.599450,1.246923,1.488567,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.318004,"1,2,3,5"
65903," ",1000132.483983,112473.286365,140.047020,0.050916,0.049046,0.288157,"1,2,3,5",0.004675,0.175962,25.856666,1.253863,1.471562,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.296702,"1,2,3,5"
65904," ",999868.596330,112374.277093,138.319031,0.055219,0.049379,0.363347,"1,2,3,4",0.004028,0.151588,15.233073,0.856840,1.230089,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.370821,"1,2,3,4"
65919," ",999819.751174,112322.161863,139.939329,0.060394,0.051889,0.365119,"1,2,3,4",0.003983,0.149899,15.177904,1.100659,1.281780,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.373700,"1,2,3,4"
65927," ",1000183.566669,112463.179077,159.920169,0.053794,0.049710,0.283023,"1,2,3,5",0.005499,0.206973,26.098004,1.213191,1.885815,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.292348,"1,2,3,5"
65930," ",1000136.340298,112576.424470,138.082157,0.051542,0.053530,0.299117,"1,2,3,5",0.002555,0.096146,25.705396,0.659029,0.857625,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.308210,"1,2,3,5"
65980," ",1000032.815297,112307.746322,142.516469,0.051226,0.052023,0.359431,"1,2,3,4",0.004498,0.169311,15.155909,0.976751,1.294180,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.366771,"1,2,3,4"
65993," ",1000044.376778,112702.983060,138.500482,0.051834,0.065314,0.319540,"1,2,3,5",0.007802,0.293665,25.452895,1.656561,1.847073,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.330240,"1,2,3,5"
66007," ",999864.649694,112498.384770,139.792658,0.055646,0.053362,0.366445,"1,2,3,4",0.003034,0.114188,15.290365,0.731196,0.973210,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.374468,"1,2,3,4"
66017," ",999662.877607,112473.254516,140.096014,0.082772,0.053465,0.374774,"1,2,3,4",0.002695,0.101419,15.125266,0.520942,0.732205,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.387511,"1,2,3,4"
66044," ",1000159.492851,112664.888507,138.568305,0.053139,0.061002,0.312806,"1,2,3,5",0.005504,0.207174,25.527047,1.287479,1.496044,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.323098,"1,2,3,5"
66071," ",999894.001864,112489.106614,139.353369,0.053263,0.052445,0.365193,"1,2,3,4",0.005162,0.194297,15.281682,0.876421,1.239797,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.372764,"1,2,3,4"
66080," ",999841.969874,112467.796820,138.760169,0.057770,0.051394,0.366056,"1,2,3,4",0.004893,0.184148,15.276611,1.078300,1.246135,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.374133,"1,2,3,4"
66095," ",1000001.541392,112395.230218,157.067818,0.051428,0.049971,0.280270,"1,2,3,5",0.006828,0.256975,26.088992,1.139573,1.765756,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.289298,"1,2,3,5"
