Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type,Layer,Material,Tagged
2,1,1429.187065,1456.427823,-0.020012,0.063876,0.066937,LSM Circular,Default,White, 
2,3,716.264669,1196.788962,-0.033833,-0.074366,0.081700,LSM Circular,Default,White, 
3,1,1217.855705,1456.179803,-0.017017,0.052608,0.055291,LSM Circular,Default,White, 
3,3,610.806582,1087.075242,-0.027741,-0.063687,0.069467,LSM Circular,Default,White, 
4,1,1638.514810,1454.081103,-0.009656,0.031718,0.033155,LSM Circular,Default,White, 
4,3,830.522672,1313.610096,-0.016928,-0.035445,0.039280,LSM Circular,Default,White, 
5,1,1006.236240,1453.782001,-0.024544,0.074229,0.078181,LSM Circular,Default,White, 
5,3,513.994318,984.970150,-0.039062,-0.093032,0.100900,LSM Circular,Default,White, 
6,1,1844.464425,1450.382280,0.033422,-0.112022,0.116901,LSM Circular,Default,White, 
6,3,954.582480,1438.488832,0.060173,0.119365,0.133674,LSM Circular,Default,White, 
7,1,797.028946,1449.838669,-0.008330,0.024987,0.026339,LSM Circular,Default,White, 
7,3,425.578392,891.158829,-0.013187,-0.032436,0.035014,LSM Circular,Default,White, 
8,1,2047.139538,1446.266220,0.042566,-0.143283,0.149472,LSM Circular,Default,White, 
8,3,1088.367566,1570.944779,0.077033,0.144841,0.164052,LSM Circular,Default,White, 
9,1,591.414381,1443.869744,-0.016753,0.050462,0.053170,LSM Circular,Default,White, 
9,3,344.117981,803.610358,-0.026659,-0.067477,0.072552,LSM Circular,Default,White, 
10,1,391.612821,1437.682990,-0.019759,0.060256,0.063413,LSM Circular,Default,White, 
10,3,269.648161,723.523499,-0.032037,-0.083140,0.089099,LSM Circular,Default,White, 
11,1,195.661499,1429.849125,-0.024342,0.075900,0.079708,LSM Circular,Default,White, 
11,3,199.948867,647.577310,-0.040611,-0.107949,0.115335,LSM Circular,Default,White, 
12,1,1418.139144,1270.016385,-0.007188,0.023496,0.024571,LSM Circular,Default,White, 
12,3,854.021897,1087.203722,-0.011250,-0.026634,0.028913,LSM Circular,Default,White, 
13,1,1216.827315,1269.937713,-0.002652,0.008682,0.009078,LSM Circular,Default,White, 
13,3,746.002363,984.370505,-0.004128,-0.010167,0.010973,LSM Circular,Default,White, 
14,1,1617.493932,1268.760294,-0.017727,0.059634,0.062213,LSM Circular,Default,White, 
14,3,970.869111,1197.310043,-0.028744,-0.065091,0.071155,LSM Circular,Default,White, 
15,1,1015.135824,1267.702550,0.005192,-0.016376,0.017179,LSM Circular,Default,White, 
15,3,646.210946,888.076688,0.007756,0.019771,0.021238,LSM Circular,Default,White, 
