Project Units: meters
Units & Scale - Inactive, Translate - Inactive, Rotate - Inactive

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type,Layer,Material,Tagged
2,1,1429.187065,1456.427823,-0.164567,0.182828,0.245984,LSM Circular,Default,White, 
2,2,666.583514,1126.807078,-0.168200,0.109831,0.200883,LSM Circular,Default,White, 
2,3,716.264669,1196.788962,0.152070,0.082249,0.172887,LSM Circular,Default,White, 
2,4,674.145595,442.969428,0.119282,-0.050051,0.129357,LSM Circular,Default,White, 
2,5,330.056929,836.292587,0.048390,-0.022163,0.053225,LSM Circular,Default,White, 
2,6,1147.101715,39.253316,0.475423,-0.189448,0.511779,LSM Circular,Default,White, 
2,7,465.008487,433.370888,-0.319101,-0.256281,0.409274,LSM Circular,Default,White, 
2,8,1447.332601,265.483646,0.073607,-0.007473,0.073986,LSM Circular,Default,White, 
2,9,891.621564,106.876340,-0.257639,-0.003951,0.257669,LSM Circular,Default,White, 
2,10,1786.830850,612.590227,-0.076449,0.069733,0.103475,LSM Circular,Default,White, 
2,11,1403.703417,254.344279,0.276757,0.009105,0.276907,LSM Circular,Default,White, 
2,12,1805.299804,1112.571350,-0.105755,0.004222,0.105839,LSM Circular,Default,White, 
2,13,1852.714000,434.892537,0.105237,-0.218834,0.242823,LSM Circular,Default,White, 
2,14,1535.253794,1522.337187,0.051586,0.218840,0.224837,LSM Circular,Default,White, 
2,15,1893.353968,782.610709,-0.305608,-0.279677,0.414265,LSM Circular,Default,White, 
2,16,1239.005087,1519.029594,0.068040,0.265383,0.273967,LSM Circular,Default,White, 
2,17,1327.663358,1545.172057,0.184031,-0.127305,0.223772,LSM Circular,Default,White, 
2,18,1590.356813,591.258402,0.146096,0.056022,0.156469,LSM Circular,Default,White, 
2,19,2000.811094,556.383867,0.174147,0.129497,0.217018,LSM Circular,Default,White, 
2,20,1702.511757,1563.386686,0.204658,-0.291245,0.355961,LSM Circular,Default,White, 
2,21,1104.525356,1572.683427,0.259978,-0.115379,0.284431,LSM Circular,Default,White, 
3,1,1217.855705,1456.179803,-0.189616,0.072651,0.203058,LSM Circular,Default,White, 
3,2,666.277886,946.199721,-0.347520,0.237128,0.420713,LSM Circular,Default,White, 
3,3,610.806582,1087.075242,0.124765,-0.002743,0.124795,LSM Circular,Default,White, 
3,4,786.727095,344.151231,0.106484,-0.028785,0.110307,LSM Circular,Default,White, 
3,5,371.177651,688.645343,0.128612,-0.058625,0.141343,LSM Circular,Default,White, 
3,6,1291.300635,74.918540,0.377510,-0.289204,0.475555,LSM Circular,Default,White, 
3,7,579.287495,350.976304,-0.209729,-0.196288,0.287255,LSM Circular,Default,White, 
3,8,1521.279929,359.744611,-0.012236,-0.004530,0.013048,LSM Circular,Default,White, 
3,9,1040.936689,104.832677,-0.141012,-0.100608,0.173223,LSM Circular,Default,White, 
