Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
4," ","1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.142971,1.143127,-0.000845,0.015246,0.015246,0.018792,0.028601,0.035162,0.000639,84.468805, ,0.242495,0.467846,20,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
6," ","1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.000124,1.143102,-0.000892,0.016117,0.016117,0.020194,0.030452,0.031057,0.000565,82.929918, ,0.266758,0.450258,16,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
8," ","1,2,3,4,5,7,9,10,11,12,13,14,15,17,18,19,20,21",-0.142700,1.143062,-0.000568,0.017210,0.017210,0.021925,0.032758,0.045066,0.000819,80.948190, ,0.348407,0.657615,20,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,7,9,10,11,12,13,14,15,17,18,19,20,21",255,255,255
9," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.856987,1.143140,0.000199,0.015246,0.015246,0.018793,0.028602,0.028623,0.000520,85.567658, ,0.225894,0.377310,1,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
10," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.999810,1.143146,-0.001383,0.016117,0.016117,0.020196,0.030453,0.034356,0.000625,84.272499, ,0.244434,0.410813,6,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
11," ","1,2,3,5,6,7,8,9,10,11,13,15,16,17,18,19,20,21",1.142611,1.143212,-0.000556,0.017210,0.017210,0.021927,0.032760,0.051154,0.000930,82.588911, ,0.379143,0.978872,21,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,5,6,7,8,9,10,11,13,15,16,17,18,19,20,21",255,255,255
14," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.142939,1.000131,-0.000594,0.013998,0.013998,0.016739,0.025925,0.028019,0.000509,85.906578, ,0.206266,0.378591,5,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
17," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",-0.142665,1.000091,0.000440,0.016115,0.016115,0.020193,0.030449,0.030883,0.000562,82.705129, ,0.236042,0.408785,9,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
18," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.856985,1.000170,0.000392,0.013998,0.013998,0.016740,0.025925,0.026100,0.000475,87.091461, ,0.196806,0.417780,1,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
19," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",1.142588,1.000157,-0.001017,0.016114,0.016114,0.020194,0.030449,0.033103,0.000602,84.106904, ,0.260880,0.405427,14,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
