Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type,Layer,Material,Tagged
2,1,1429.187065,1456.427823,-0.164282,0.182868,0.245823,LSM Circular,Default,White, 
2,2,666.583514,1126.807078,-0.168134,0.109575,0.200688,LSM Circular,Default,White, 
2,3,716.264669,1196.788962,0.152266,0.082299,0.173084,LSM Circular,Default,White, 
2,4,674.145595,442.969428,0.119354,-0.050301,0.129521,LSM Circular,Default,White, 
2,5,330.056929,836.292587,0.048592,-0.022231,0.053436,LSM Circular,Default,White, 
2,6,1147.101715,39.253316,0.475412,-0.189814,0.511904,LSM Circular,Default,White, 
2,7,465.008487,433.370888,-0.318951,-0.256373,0.409215,LSM Circular,Default,White, 
2,8,1447.332601,265.483646,0.073583,-0.007672,0.073982,LSM Circular,Default,White, 
2,9,891.621564,106.876340,-0.257522,-0.004021,0.257554,LSM Circular,Default,White, 
2,10,1786.830850,612.590227,-0.076519,0.069608,0.103442,LSM Circular,Default,White, 
2,11,1403.703417,254.344279,0.276777,0.009147,0.276928,LSM Circular,Default,White, 
2,12,1805.299804,1112.571350,-0.105724,0.004197,0.105807,LSM Circular,Default,White, 
2,13,1852.714000,434.892537,0.105450,-0.218801,0.242886,LSM Circular,Default,White, 
2,14,1535.253794,1522.337187,0.051636,0.218652,0.224666,LSM Circular,Default,White, 
2,15,1893.353968,782.610709,-0.305411,-0.279671,0.414115,LSM Circular,Default,White, 
2,16,1239.005087,1519.029594,0.068134,0.265103,0.273718,LSM Circular,Default,White, 
2,17,1327.663358,1545.172057,0.183912,-0.127396,0.223726,LSM Circular,Default,White, 
2,18,1590.356813,591.258402,0.146182,0.055989,0.156538,LSM Circular,Default,White, 
2,19,2000.811094,556.383867,0.174260,0.129198,0.216930,LSM Circular,Default,White, 
2,20,1702.511757,1563.386686,0.204609,-0.291579,0.356207,LSM Circular,Default,White, 
2,21,1104.525356,1572.683427,0.259850,-0.115377,0.284313,LSM Circular,Default,White, 
3,1,1217.855705,1456.179803,-0.189375,0.072718,0.202857,LSM Circular,Default,White, 
3,2,666.277886,946.199721,-0.347420,0.236942,0.420526,LSM Circular,Default,White, 
3,3,610.806582,1087.075242,0.124941,-0.002695,0.124970,LSM Circular,Default,White, 
3,4,786.727095,344.151231,0.106572,-0.029016,0.110451,LSM Circular,Default,White, 
3,5,371.177651,688.645343,0.128782,-0.058693,0.141527,LSM Circular,Default,White, 
3,6,1291.300635,74.918540,0.377502,-0.289512,0.475737,LSM Circular,Default,White, 
3,7,579.287495,350.976304,-0.209585,-0.196358,0.287197,LSM Circular,Default,White, 
3,8,1521.279929,359.744611,-0.012266,-0.004707,0.013138,LSM Circular,Default,White, 
3,9,1040.936689,104.832677,-0.140910,-0.100697,0.173192,LSM Circular,Default,White, 
3,10,1790.852403,755.286615,-0.221112,0.048017,0.226265,LSM Circular,Default,White, 
3,11,1495.587712,313.280522,0.156559,-0.045423,0.163016,LSM Circular,Default,White, 
3,12,1750.010069,1201.015903,-0.133769,0.183150,0.226799,LSM Circular,Default,White, 
3,13,1886.817685,562.060247,0.074851,0.085808,0.113867,LSM Circular,Default,White, 
3,14,1420.786506,1549.923197,0.355417,0.070006,0.362246,LSM Circular,Default,White, 
3,15,1810.613670,881.224532,0.019752,0.011913,0.023067,LSM Circular,Default,White, 
3,16,1141.307985,1441.386138,0.174910,-0.174498,0.247069,LSM Circular,Default,White, 
3,17,1156.566839,1547.764696,0.014057,0.010123,0.017323,LSM Circular,Default,White, 
3,18,1595.556822,768.016677,0.208862,-0.111101,0.236572,LSM Circular,Default,White, 
3,19,2007.606114,732.970481,0.095714,-0.020201,0.097822,LSM Circular,Default,White, 
3,20,1530.015145,1566.436512,-0.070785,-0.117295,0.136998,LSM Circular,Default,White, 
3,21,927.422500,1580.600409,0.125496,-0.057871,0.138196,LSM Circular,Default,White, 
4,1,1638.514810,1454.081103,-0.339892,-0.043278,0.342636,LSM Circular,Default,White, 
4,2,668.614567,1305.892130,-0.193647,0.162260,0.252641,LSM Circular,Default,White, 
4,3,830.522672,1313.610096,0.054783,0.090110,0.105456,LSM Circular,Default,White, 
4,4,554.399757,549.867047,0.098020,0.040537,0.106071,LSM Circular,Default,White, 
4,5,286.034110,996.511038,-0.048313,0.052108,0.071059,LSM Circular,Default,White, 
4,7,344.467366,520.372048,-0.233214,-0.179629,0.294373,LSM Circular,Default,White, 
4,8,1370.013797,166.776413,0.200201,-0.150885,0.250692,LSM Circular,Default,White, 
4,9,743.507273,108.940195,-0.208824,-0.120499,0.241096,LSM Circular,Default,White, 
4,10,1782.801897,471.163318,-0.082530,-0.180928,0.198862,LSM Circular,Default,White, 
4,11,1317.490800,198.519145,-0.058780,-0.036033,0.068945,LSM Circular,Default,White, 
4,12,1857.920534,1029.334684,-0.295142,0.219800,0.367995,LSM Circular,Default,White, 
4,13,1820.983023,318.062510,0.189509,-0.082998,0.206888,LSM Circular,Default,White, 
4,14,1640.973759,1496.531678,0.207942,0.274091,0.344043,LSM Circular,Default,White, 
4,15,1969.106573,691.432793,-0.092587,-0.037737,0.099983,LSM Circular,Default,White, 
4,16,1329.897136,1590.383609,0.364000,0.089723,0.374895,LSM Circular,Default,White, 
4,17,1497.957412,1541.604013,0.068031,-0.130769,0.147407,LSM Circular,Default,White, 
4,18,1584.469982,416.371970,-0.017257,-0.066961,0.069148,LSM Circular,Default,White, 
4,19,1993.361595,380.881527,-0.079018,0.070956,0.106201,LSM Circular,Default,White, 
4,20,1873.508131,1560.114610,0.112259,-0.352305,0.369758,LSM Circular,Default,White, 
4,21,1281.451043,1563.514732,0.225473,-0.114731,0.252985,LSM Circular,Default,White, 
5,1,1006.236240,1453.782001,0.051628,0.236144,0.241722,LSM Circular,Default,White, 
5,2,667.174904,765.194376,-0.222446,0.111700,0.248915,LSM Circular,Default,White, 
5,3,513.994318,984.970150,0.110302,-0.000737,0.110304,LSM Circular,Default,White, 
5,4,891.705752,253.264157,0.173350,-0.083660,0.192482,LSM Circular,Default,White, 
5,5,410.178581,553.339154,-0.068810,-0.091190,0.114239,LSM Circular,Default,White, 
5,6,1423.675650,108.765829,0.334249,-0.271701,0.430748,LSM Circular,Default,White, 
5,7,687.903581,273.767722,-0.332165,-0.112904,0.350829,LSM Circular,Default,White, 
5,8,1591.172762,449.795063,0.008342,0.040022,0.040882,LSM Circular,Default,White, 
5,9,1190.846164,104.091095,-0.161749,0.111367,0.196381,LSM Circular,Default,White, 
5,10,1793.707044,898.737460,-0.058020,0.089941,0.107031,LSM Circular,Default,White, 
5,11,1592.237265,376.060443,0.318517,-0.078482,0.328044,LSM Circular,Default,White, 
5,12,1691.088074,1293.806222,-0.022139,0.040362,0.046035,LSM Circular,Default,White, 
5,13,1922.808579,699.782162,0.147670,-0.179627,0.232534,LSM Circular,Default,White, 
5,14,1297.459050,1579.134024,0.183863,0.054141,0.191669,LSM Circular,Default,White, 
5,15,1720.963994,987.126311,-0.220815,-0.124665,0.253576,LSM Circular,Default,White, 
5,16,1036.847067,1357.803357,-0.065813,-0.068037,0.094659,LSM Circular,Default,White, 
5,17,985.403120,1548.750487,0.098401,0.103510,0.142818,LSM Circular,Default,White, 
5,18,1599.519013,945.593022,0.255020,-0.058521,0.261649,LSM Circular,Default,White, 
5,19,2012.753303,909.927764,0.008237,0.063339,0.063873,LSM Circular,Default,White, 
5,20,1355.861095,1568.320380,-0.083227,0.054966,0.099740,LSM Circular,Default,White, 
5,21,751.152485,1586.946118,0.194160,-0.017797,0.194974,LSM Circular,Default,White, 
6,1,1844.464425,1450.382280,-0.257223,-0.303947,0.398180,LSM Circular,Default,White, 
6,2,671.474726,1482.348307,-0.211813,-0.070793,0.223330,LSM Circular,Default,White, 
6,3,954.582480,1438.488832,-0.057358,0.248790,0.255317,LSM Circular,Default,White, 
6,4,426.508886,665.689935,0.171077,0.084214,0.190681,LSM Circular,Default,White, 
6,5,239.512655,1171.379415,-0.128690,0.050403,0.138208,LSM Circular,Default,White, 
6,7,217.967368,612.937261,-0.277434,-0.244839,0.370021,LSM Circular,Default,White, 
6,8,1288.394717,63.928635,0.293594,-0.272900,0.400839,LSM Circular,Default,White, 
6,9,597.159048,112.121317,-0.270082,-0.198520,0.335193,LSM Circular,Default,White, 
6,10,1777.739188,331.724393,-0.049506,-0.302591,0.306614,LSM Circular,Default,White, 
6,11,1235.657757,146.553938,-0.140015,0.026001,0.142409,LSM Circular,Default,White, 
6,12,1906.952241,950.176386,-0.315920,0.246826,0.400909,LSM Circular,Default,White, 
6,13,1791.100990,210.718248,0.180631,-0.001058,0.180634,LSM Circular,Default,White, 
6,14,1738.780492,1471.955620,0.197360,0.251837,0.319957,LSM Circular,Default,White, 
6,15,2038.995736,606.678550,-0.013862,-0.128971,0.129713,LSM Circular,Default,White, 
6,16,1414.659997,1656.463890,0.461652,-0.056450,0.465091,LSM Circular,Default,White, 
6,17,1666.437209,1536.626649,0.089205,-0.178949,0.199951,LSM Circular,Default,White, 
6,18,1577.618322,244.570188,-0.218246,-0.077633,0.231643,LSM Circular,Default,White, 
6,19,1984.572012,207.130111,-0.308917,0.013928,0.309231,LSM Circular,Default,White, 
6,20,2042.884973,1556.611773,0.013356,-0.290193,0.290501,LSM Circular,Default,White, 
6,21,1457.198200,1552.593466,0.191204,-0.077614,0.206356,LSM Circular,Default,White, 
7,1,797.028946,1449.838669,0.123098,0.204729,0.238887,LSM Circular,Default,White, 
7,2,668.601086,585.692622,-0.115954,0.081122,0.141513,LSM Circular,Default,White, 
7,3,425.578392,891.158829,0.172499,0.022602,0.173974,LSM Circular,Default,White, 
7,4,988.400954,170.230987,0.231353,-0.141406,0.271146,LSM Circular,Default,White, 
7,5,447.240734,430.634058,-0.016820,-0.140885,0.141885,LSM Circular,Default,White, 
7,6,1544.024079,141.162710,0.234063,-0.356176,0.426201,LSM Circular,Default,White, 
7,7,790.949542,202.838707,-0.308004,-0.131608,0.334943,LSM Circular,Default,White, 
7,8,1656.204493,535.849879,-0.112053,0.002991,0.112093,LSM Circular,Default,White, 
7,9,1340.471188,105.540200,-0.124895,0.043477,0.132246,LSM Circular,Default,White, 
7,10,1794.504201,1042.395640,-0.090063,0.232242,0.249094,LSM Circular,Default,White, 
7,11,1694.118651,444.288275,0.228485,-0.097022,0.248231,LSM Circular,Default,White, 
7,12,1627.124532,1391.490829,0.059820,0.146708,0.158435,LSM Circular,Default,White, 
7,13,1960.252005,851.307407,0.017427,-0.126238,0.127435,LSM Circular,Default,White, 
7,14,1162.446142,1609.101940,0.220921,-0.083026,0.236007,LSM Circular,Default,White, 
7,15,1622.247733,1102.809640,-0.179011,-0.057455,0.188005,LSM Circular,Default,White, 
7,16,923.420869,1266.589498,-0.156656,-0.117913,0.196073,LSM Circular,Default,White, 
7,17,815.750976,1547.710724,0.009715,0.089480,0.090006,LSM Circular,Default,White, 
7,18,1601.895476,1122.184786,0.298260,-0.107932,0.317188,LSM Circular,Default,White, 
7,19,2015.192154,1085.773865,0.247467,-0.036575,0.250155,LSM Circular,Default,White, 
7,20,1180.847436,1568.056660,-0.042581,0.061691,0.074960,LSM Circular,Default,White, 
7,21,577.360242,1591.448215,-0.118952,-0.125528,0.172936,LSM Circular,Default,White, 
8,1,2047.139538,1446.266220,-0.053603,-0.279433,0.284528,LSM Circular,Default,White, 
8,2,674.875255,1655.941602,-0.092438,-0.582697,0.589984,LSM Circular,Default,White, 
8,3,1088.367566,1570.944779,-0.215426,0.382345,0.438857,LSM Circular,Default,White, 
8,4,290.641890,790.473984,0.217647,0.123036,0.250016,LSM Circular,Default,White, 
8,5,189.758575,1361.990251,-0.491143,0.090135,0.499346,LSM Circular,Default,White, 
8,7,84.689119,710.973270,-0.354395,-0.083520,0.364103,LSM Circular,Default,White, 
8,9,452.771815,115.702158,-0.343475,-0.169789,0.383150,LSM Circular,Default,White, 
8,10,1772.253111,194.523062,0.110806,-0.378279,0.394174,LSM Circular,Default,White, 
8,11,1158.207991,97.628241,-0.048786,0.033159,0.058988,LSM Circular,Default,White, 
8,12,1953.207960,875.028215,-0.347895,0.092630,0.360015,LSM Circular,Default,White, 
8,13,1763.305481,111.646074,0.069089,0.132258,0.149216,LSM Circular,Default,White, 
8,14,1829.592918,1448.994129,0.210049,0.332911,0.393638,LSM Circular,Default,White, 
8,15,2103.779387,527.768833,0.117423,-0.147333,0.188402,LSM Circular,Default,White, 
8,17,1832.655302,1530.842484,0.232767,-0.297613,0.377828,LSM Circular,Default,White, 
8,18,1570.295707,76.317791,-0.410012,0.017768,0.410396,LSM Circular,Default,White, 
8,19,1975.430395,35.256226,-0.638419,-0.117113,0.649071,LSM Circular,Default,White, 
8,20,2212.189228,1554.075951,-0.724636,0.211236,0.754797,LSM Circular,Default,White, 
8,21,1630.639183,1540.317380,0.235375,-0.138867,0.273286,LSM Circular,Default,White, 
9,1,591.414381,1443.869744,0.173438,0.145569,0.226431,LSM Circular,Default,White, 
9,2,671.357580,408.533624,0.122944,-0.068927,0.140947,LSM Circular,Default,White, 
9,3,344.117981,803.610358,0.131540,-0.099343,0.164839,LSM Circular,Default,White, 
9,4,1078.653738,93.578290,0.236248,-0.301019,0.382656,LSM Circular,Default,White, 
9,5,482.022729,317.718405,-0.123901,-0.236720,0.267185,LSM Circular,Default,White, 
9,6,1655.057687,171.588464,0.057488,-0.357336,0.361931,LSM Circular,Default,White, 
9,7,888.514849,136.327671,-0.382019,-0.080437,0.390396,LSM Circular,Default,White, 
9,8,1717.826473,617.916246,-0.182345,0.041505,0.187009,LSM Circular,Default,White, 
9,9,1489.356059,107.789998,-0.037861,0.047932,0.061082,LSM Circular,Default,White, 
9,10,1794.628206,1185.546221,-0.059513,0.203835,0.212345,LSM Circular,Default,White, 
9,11,1801.498589,516.572797,0.171440,-0.223764,0.281890,LSM Circular,Default,White, 
9,12,1559.327447,1494.169357,0.121300,0.092213,0.152371,LSM Circular,Default,White, 
9,13,1999.674081,1015.884547,0.025147,-0.165237,0.167140,LSM Circular,Default,White, 
9,14,1016.370935,1640.603798,0.271594,-0.210460,0.343594,LSM Circular,Default,White, 
9,15,1514.455726,1227.148872,-0.200943,0.041716,0.205227,LSM Circular,Default,White, 
9,16,802.102082,1167.668207,-0.183126,-0.113121,0.215248,LSM Circular,Default,White, 
9,17,647.928584,1545.533430,-0.085506,0.102178,0.133235,LSM Circular,Default,White, 
9,18,1603.314436,1297.074917,0.288604,-0.069510,0.296857,LSM Circular,Default,White, 
9,19,2016.570312,1260.133990,0.265583,-0.149427,0.304733,LSM Circular,Default,White, 
9,20,1006.125275,1566.323149,-0.076385,0.141003,0.160364,LSM Circular,Default,White, 
9,21,405.301986,1595.379435,-0.330146,-0.155161,0.364790,LSM Circular,Default,White, 
10,1,391.612821,1437.682990,-0.055330,-0.044713,0.071138,LSM Circular,Default,White, 
10,2,674.065463,235.650218,0.385203,-0.220190,0.443695,LSM Circular,Default,White, 
10,3,269.648161,723.523499,-0.000599,-0.179064,0.179065,LSM Circular,Default,White, 
10,4,1161.323175,23.527976,0.272619,-0.372980,0.461990,LSM Circular,Default,White, 
10,5,514.850815,215.485529,-0.184476,-0.299809,0.352018,LSM Circular,Default,White, 
10,6,1755.780099,200.304301,-0.027469,-0.462802,0.463616,LSM Circular,Default,White, 
10,7,980.422474,75.552163,-0.266911,-0.056943,0.272918,LSM Circular,Default,White, 
10,8,1774.804094,695.926173,-0.233093,0.046131,0.237614,LSM Circular,Default,White, 
10,9,1636.440093,112.113079,0.004603,0.045172,0.045406,LSM Circular,Default,White, 
10,10,1792.774458,1327.507397,0.025617,0.348274,0.349215,LSM Circular,Default,White, 
10,11,1913.938927,594.557510,0.130340,-0.247806,0.279993,LSM Circular,Default,White, 
10,12,1486.216515,1601.530199,0.222895,-0.029452,0.224833,LSM Circular,Default,White, 
10,13,2040.397980,1195.433585,0.121698,-0.251850,0.279712,LSM Circular,Default,White, 
10,14,857.728762,1672.810926,0.162352,-0.462468,0.490137,LSM Circular,Default,White, 
10,15,1396.972786,1361.356433,-0.144260,0.211301,0.255850,LSM Circular,Default,White, 
10,16,671.945293,1060.761965,-0.219777,-0.130201,0.255449,LSM Circular,Default,White, 
10,17,483.306612,1542.225058,-0.129575,0.135328,0.187359,LSM Circular,Default,White, 
10,18,1603.736424,1468.549778,0.271685,0.017044,0.272219,LSM Circular,Default,White, 
10,19,2016.438370,1431.727119,0.214466,-0.110826,0.241409,LSM Circular,Default,White, 
10,20,833.285908,1562.760381,-0.033512,0.302501,0.304351,LSM Circular,Default,White, 
10,21,235.683374,1599.060624,-0.252454,0.054910,0.258356,LSM Circular,Default,White, 
11,1,195.661499,1429.849125,-0.381166,-0.257230,0.459842,LSM Circular,Default,White, 
11,2,678.767628,66.395111,0.578489,-0.293677,0.648764,LSM Circular,Default,White, 
11,3,199.948867,647.577310,-0.202505,-0.238558,0.312918,LSM Circular,Default,White, 
11,5,544.839196,119.835308,-0.292709,-0.224590,0.368944,LSM Circular,Default,White, 
11,6,1850.426531,226.715160,-0.162122,-0.375394,0.408906,LSM Circular,Default,White, 
11,7,1066.969263,17.141411,-0.285303,0.088762,0.298791,LSM Circular,Default,White, 
11,8,1829.949968,769.877242,-0.193771,0.094131,0.215425,LSM Circular,Default,White, 
11,9,1781.900254,115.307908,0.191795,0.205118,0.280818,LSM Circular,Default,White, 
11,10,1791.957586,1468.104307,0.332922,0.223038,0.400728,LSM Circular,Default,White, 
11,11,2032.440964,675.338467,0.325551,-0.233067,0.400380,LSM Circular,Default,White, 
11,13,2084.984123,1389.042769,0.271418,-0.344233,0.438365,LSM Circular,Default,White, 
11,15,1269.928067,1502.900455,0.011495,0.459117,0.459261,LSM Circular,Default,White, 
11,16,535.313465,945.910573,-0.089492,-0.188013,0.208225,LSM Circular,Default,White, 
11,17,320.750743,1538.972241,-0.252714,0.121772,0.280522,LSM Circular,Default,White, 
11,18,1603.950008,1637.412842,0.439491,-0.134753,0.459685,LSM Circular,Default,White, 
11,19,2016.868866,1601.630577,0.088254,-0.079741,0.118943,LSM Circular,Default,White, 
11,20,662.685732,1558.350590,-0.075449,0.329216,0.337751,LSM Circular,Default,White, 
11,21,65.310638,1604.464757,0.615973,0.849183,1.049063,LSM Circular,Default,White, 
12,1,1418.139144,1270.016385,-0.034659,0.085716,0.092458,LSM Circular,Default,White, 
12,2,820.113881,1116.893703,-0.184924,0.017678,0.185767,LSM Circular,Default,White, 
12,3,854.021897,1087.203722,0.025829,0.058516,0.063963,LSM Circular,Default,White, 
12,4,774.744942,581.848587,-0.032675,0.043203,0.054168,LSM Circular,Default,White, 
12,5,505.908013,837.238023,0.156692,0.044842,0.162982,LSM Circular,Default,White, 
12,6,1146.964642,213.515085,0.283943,-0.009986,0.284118,LSM Circular,Default,White, 
12,7,566.038548,497.424880,-0.120647,-0.147205,0.190329,LSM Circular,Default,White, 
12,8,1391.537407,356.584493,0.103523,0.031172,0.108114,LSM Circular,Default,White, 
12,9,881.483703,212.273053,-0.236968,-0.025467,0.238332,LSM Circular,Default,White, 
12,10,1684.949521,603.414703,0.040279,0.024109,0.046943,LSM Circular,Default,White, 
12,11,1309.627338,303.797232,0.248146,0.046543,0.252473,LSM Circular,Default,White, 
12,12,1756.567807,1021.910636,-0.068805,0.005156,0.068998,LSM Circular,Default,White, 
12,13,1692.877693,434.216069,0.050448,-0.110943,0.121874,LSM Circular,Default,White, 
12,14,1535.904455,1374.632467,0.045857,0.241292,0.245610,LSM Circular,Default,White, 
12,15,1753.839175,705.469686,-0.114391,-0.161494,0.197902,LSM Circular,Default,White, 
12,16,1307.308585,1384.400869,0.072139,0.201415,0.213944,LSM Circular,Default,White, 
12,17,1325.662275,1374.707346,0.147672,-0.053960,0.157222,LSM Circular,Default,White, 
12,18,1413.811920,595.181969,0.054459,-0.015504,0.056623,LSM Circular,Default,White, 
12,19,1827.287034,560.641556,0.023885,0.004716,0.024346,LSM Circular,Default,White, 
12,20,1701.857879,1389.645285,0.076666,-0.069087,0.103202,LSM Circular,Default,White, 
12,21,1096.028081,1396.250931,0.186879,-0.077251,0.202217,LSM Circular,Default,White, 
13,1,1216.827315,1269.937713,0.034515,0.095519,0.101564,LSM Circular,Default,White, 
13,2,819.633914,943.953134,-0.235119,0.014628,0.235573,LSM Circular,Default,White, 
13,3,746.002363,984.370505,0.050761,0.049572,0.070952,LSM Circular,Default,White, 
13,4,880.744457,480.319168,-0.032043,0.024387,0.040267,LSM Circular,Default,White, 
13,5,540.605722,687.870709,0.009287,0.019869,0.021933,LSM Circular,Default,White, 
13,6,1292.313468,242.739431,0.260993,-0.013987,0.261368,LSM Circular,Default,White, 
13,7,681.597735,410.854699,-0.218878,-0.065996,0.228611,LSM Circular,Default,White, 
13,8,1468.451340,451.291571,0.122753,0.009544,0.123124,LSM Circular,Default,White, 
13,9,1036.617655,210.795805,-0.133685,0.082962,0.157335,LSM Circular,Default,White, 
13,10,1688.415750,751.562688,0.031742,0.112095,0.116503,LSM Circular,Default,White, 
13,11,1401.050321,365.908268,0.263376,0.002233,0.263385,LSM Circular,Default,White, 
13,12,1698.448329,1109.779825,-0.060318,0.036936,0.070728,LSM Circular,Default,White, 
13,13,1720.618033,562.158314,-0.025095,-0.158079,0.160058,LSM Circular,Default,White, 
13,14,1421.123263,1396.754750,-0.011004,0.241594,0.241844,LSM Circular,Default,White, 
13,15,1668.170470,798.525316,-0.180537,-0.090577,0.201984,LSM Circular,Default,White, 
13,16,1214.384492,1304.174006,0.072668,0.164371,0.179718,LSM Circular,Default,White, 
13,17,1154.904590,1377.048375,0.126005,-0.017627,0.127232,LSM Circular,Default,White, 
