Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
1004," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.999999,-0.000001,-0.000001,0.000002,0.000002,0.000002,0.000003,0.032929,0.000599,85.250266,4,0.548766,0.883955,6,White,Default, ,Control,yes,no,0,4,4, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
1003," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.000001,-0.000001,0.000001,0.000002,0.000002,0.000002,0.000003,0.031050,0.000565,83.446713,3,0.537348,0.932536,5,White,Default, ,Control,yes,no,0,3,3, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
1002," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",1.000000,1.000001,0.000001,0.000002,0.000002,0.000002,0.000003,0.025099,0.000456,85.843765,2,0.513121,0.817551,11,White,Default, ,Control,yes,no,0,2,2, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
1001," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.000001,1.000000,-0.000001,0.000002,0.000002,0.000002,0.000003,0.028386,0.000516,84.284629,1,0.511861,0.714473,16,White,Default, ,Control,yes,no,0,1,1, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
97," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.428698,-0.142846,-0.001638,0.000044,0.000044,0.000074,0.000097,0.024175,0.000440,85.044358, ,0.205584,0.343108,18,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
96," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.571395,-0.142843,-0.001787,0.000044,0.000045,0.000074,0.000097,0.029428,0.000535,85.283689, ,0.212958,0.412533,18,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
95," ","1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.285763,-0.142867,-0.001569,0.000045,0.000046,0.000077,0.000100,0.032727,0.000595,84.399747, ,0.233596,0.419780,11,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
94," ","1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.143015,-0.142895,-0.000497,0.000046,0.000046,0.000079,0.000102,0.031641,0.000575,83.411352, ,0.253666,0.449384,7,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
93," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.714240,-0.142950,-0.001910,0.000045,0.000045,0.000075,0.000098,0.030031,0.000546,85.115723, ,0.225984,0.448442,18,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
92," ","1,2,3,4,5,7,8,9,10,11,13,14,15,16,17,18,19,20,21",0.000203,-0.142992,0.000388,0.000046,0.000048,0.000082,0.000106,0.042803,0.000778,81.123913, ,0.272391,0.531038,4,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,7,8,9,10,11,13,14,15,16,17,18,19,20,21",255,255,255
91," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.857070,-0.142954,-0.002169,0.000045,0.000045,0.000077,0.000100,0.032676,0.000594,84.505418, ,0.240867,0.458522,18,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
90," ","1,2,3,5,8,9,11,13,14,15,16,17,18,19,20,21",-0.142601,-0.143008,0.001533,0.000053,0.000055,0.000093,0.000120,0.059483,0.001082,79.568917, ,0.398103,0.812334,20,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,5,8,9,11,13,14,15,16,17,18,19,20,21",255,255,255
89," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.999819,-0.143003,-0.002523,0.000046,0.000046,0.000079,0.000102,0.037350,0.000679,83.457269, ,0.296177,0.497171,18,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
88," ","1,2,3,4,5,6,7,9,11,12,13,15,17,18,19,20,21",1.142600,-0.142959,-0.002708,0.000051,0.000052,0.000088,0.000114,0.050469,0.000918,81.958631, ,0.380527,0.746278,18,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,9,11,12,13,15,17,18,19,20,21",255,255,255
87," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.571519,-0.000085,0.000539,0.000043,0.000043,0.000071,0.000094,0.030062,0.000547,87.020145, ,0.198792,0.403734,12,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
86," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.714245,-0.000115,-0.000037,0.000044,0.000044,0.000072,0.000095,0.022574,0.000410,86.862353, ,0.158328,0.275799,18,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
