Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
2," ","1,3",0.285340,1.143026,-0.000891,0.000129,0.000140,0.000308,0.000362,0.005994,0.000109,37.839539, ,0.074684,0.081700,3,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,3",255,255,255
3," ","1,3",0.428221,1.143071,-0.000047,0.000141,0.000143,0.000314,0.000373,0.005152,0.000094,36.445458, ,0.062780,0.069467,3,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,3",255,255,255
4," ","1,3",0.142507,1.143035,-0.000574,0.000120,0.000139,0.000306,0.000357,0.002856,0.000052,38.871874, ,0.036347,0.039280,3,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,3",255,255,255
5," ","1,3",0.571145,1.143112,0.000672,0.000157,0.000148,0.000324,0.000390,0.007589,0.000138,34.743851, ,0.090258,0.100900,3,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,3",255,255,255
6," ","1,3",-0.000319,1.142862,-0.000739,0.000116,0.000140,0.000307,0.000357,0.009633,0.000175,39.446922, ,0.125568,0.133674,3,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,3",255,255,255
7," ","1,3",0.713930,1.143118,0.000154,0.000177,0.000155,0.000339,0.000413,0.002674,0.000049,32.813465, ,0.030982,0.035014,3,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,3",255,255,255
8," ","1,3",-0.143090,1.142692,-0.000757,0.000117,0.000143,0.000312,0.000363,0.011746,0.000214,39.541469, ,0.156931,0.164052,3,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,3",255,255,255
9," ","1,3",0.856944,1.143064,0.000111,0.000203,0.000164,0.000359,0.000444,0.005637,0.000103,30.766286, ,0.063604,0.072552,3,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,3",255,255,255
10," ","1,3",0.999647,1.142995,-0.001311,0.000237,0.000175,0.000385,0.000485,0.007051,0.000128,28.671188, ,0.077330,0.089099,3,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,3",255,255,255
11," ","1,3",1.142256,1.142941,-0.000340,0.000281,0.000189,0.000417,0.000537,0.009292,0.000169,26.623587, ,0.099135,0.115335,3,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,3",255,255,255
12," ","1,3",0.285523,0.999966,-0.000308,0.000125,0.000158,0.000301,0.000362,0.002237,0.000041,37.028892, ,0.026830,0.028913,3,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,3",255,255,255
