Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type,Layer,Material,Tagged
317,1,5007.666667,7275.666667,-1.836171,0.771975,1.991851,Non-sub-pixel,Default,White, 
317,2,1453.666667,1012.333333,0.213627,0.160625,0.267277,Non-sub-pixel,Default,White, 
317,3,4060.000000,912.333333,-0.777785,0.265910,0.821984,Non-sub-pixel,Default,White, 
317,4,6751.911854,1015.961089,0.221209,0.728327,0.761179,Non-sub-pixel,Default,White, 
333,1,2158.250000,1135.500000,-0.625472,0.348893,0.716200,Non-sub-pixel,Default,White, 
333,2,4039.000000,7293.333333,-1.922131,-0.482414,1.981745,Non-sub-pixel,Default,White, 
333,3,6455.659259,7294.808042,-1.857012,0.351652,1.890014,Non-sub-pixel,Default,White, 
347,2,5892.051852,11172.177691,-0.228321,0.318604,0.391968,Non-sub-pixel,Default,White, 
347,3,8197.333333,11243.666667,-0.928639,0.431215,1.023874,Non-sub-pixel,Default,White, 
351,2,148.666667,11965.666667,-1.060541,-0.191881,1.077759,Non-sub-pixel,Default,White, 
351,3,2409.155556,11859.132296,-1.211268,-0.834393,1.470843,Non-sub-pixel,Default,White, 
351,4,4767.000000,11933.774319,-1.290972,1.015777,1.642684,Non-sub-pixel,Default,White, 
351,5,5681.000000,5699.775616,-2.295622,-1.785791,2.908424,Non-sub-pixel,Default,White, 
375,1,4700.350617,7105.946822,-1.473618,0.137228,1.479994,Non-sub-pixel,Default,White, 
375,3,4354.797531,1106.042802,-1.359046,0.773219,1.563609,Non-sub-pixel,Default,White, 
375,4,7042.500000,1218.887160,-2.206756,1.369167,2.596996,Non-sub-pixel,Default,White, 
403,1,955.138272,12311.166018,-2.100453,1.041522,2.344498,Non-sub-pixel,Default,White, 
410,1,3478.135802,2979.280156,-2.892437,-0.604417,2.954914,Non-sub-pixel,Default,White, 
410,4,7829.606383,5477.000000,0.749613,0.755235,1.064095,Non-sub-pixel,Default,White, 
410,5,3661.446809,12430.666667,-3.081288,-0.493901,3.120621,Non-sub-pixel,Default,White, 
422,1,6936.800000,1211.386511,-2.035574,-0.638120,2.133251,Non-sub-pixel,Default,White, 
422,3,1672.000000,6836.000000,-0.567547,0.025203,0.568106,Non-sub-pixel,Default,White, 
422,4,4180.512158,6874.666667,-1.790746,0.679841,1.915452,Non-sub-pixel,Default,White, 
422,5,7002.735562,10531.333333,-0.423409,-0.046774,0.425985,Non-sub-pixel,Default,White, 
428,1,8503.600000,3004.577173,0.081258,0.459300,0.466432,Non-sub-pixel,Default,White, 
428,4,2811.500000,4908.713359,-2.134491,1.199917,2.448643,Non-sub-pixel,Default,White, 
428,5,8635.437690,12250.739300,-1.176775,-0.208831,1.195161,Non-sub-pixel,Default,White, 
492,2,1431.000000,1037.000000,-1.524818,-1.894007,2.431529,Non-sub-pixel,Default,White, 
492,3,4034.333333,937.333333,-0.860584,-0.785684,1.165292,Non-sub-pixel,Default,White, 
492,4,6726.434650,1040.129702,-1.326276,-0.377230,1.378880,Non-sub-pixel,Default,White, 
509,1,5114.000000,1074.560311,-0.717765,-0.595246,0.932472,Non-sub-pixel,Default,White, 
509,2,1036.000000,7145.333333,0.143504,-1.636699,1.642978,Non-sub-pixel,Default,White, 
509,3,3481.333333,7053.333333,-1.693713,-0.348485,1.729192,Non-sub-pixel,Default,White, 
509,4,6019.500000,7148.743191,-2.009437,0.374044,2.043954,Non-sub-pixel,Default,White, 
509,5,5202.000000,10590.102464,-2.749494,-1.492404,3.128416,Non-sub-pixel,Default,White, 
552,3,2189.380247,12119.378729,-1.325878,-0.808167,1.552767,Non-sub-pixel,Default,White, 
552,4,4537.729483,12186.420233,-0.761978,-0.594343,0.966361,Non-sub-pixel,Default,White, 
552,5,5865.930091,5420.760052,-2.982060,0.769598,3.079767,Non-sub-pixel,Default,White, 
563,2,4984.000000,7714.333333,0.147031,0.994427,1.005238,Non-sub-pixel,Default,White, 
563,3,7392.600000,7745.875486,-0.385993,0.958155,1.032982,Non-sub-pixel,Default,White, 
563,5,1300.744681,10316.106355,-2.676270,1.156134,2.915316,Non-sub-pixel,Default,White, 
590,4,2876.500000,5020.108949,-2.629623,-0.501421,2.677003,Non-sub-pixel,Default,White, 
590,5,8556.000000,12150.285344,-1.893547,0.640611,1.998975,Non-sub-pixel,Default,White, 
607,2,4245.395062,11587.654994,-1.306944,0.933874,1.606307,Non-sub-pixel,Default,White, 
607,3,6530.898765,11607.874189,-0.828998,-0.005118,0.829013,Non-sub-pixel,Default,White, 
607,5,1684.000000,6440.813230,-2.275251,-0.520787,2.334093,Non-sub-pixel,Default,White, 
634,2,4870.804938,10911.341115,0.105921,0.321884,0.338864,Non-sub-pixel,Default,White, 
634,3,7180.170370,10949.792477,0.168758,0.205950,0.266261,Non-sub-pixel,Default,White, 
651,2,2043.777778,9819.706874,-0.323786,-0.073903,0.332113,Non-sub-pixel,Default,White, 
651,3,4377.039506,9766.507134,-0.925978,0.153832,0.938669,Non-sub-pixel,Default,White, 
651,4,6803.085106,9893.666667,-1.521546,0.111495,1.525626,Non-sub-pixel,Default,White, 
651,5,4005.516717,7983.666667,-2.538194,0.875968,2.685098,Non-sub-pixel,Default,White, 
