Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
317," ","1,2,3,4",999604.583903,112344.428551,139.442468,0.020130,0.020027,0.042397,0.051027,0.005711,0.214946,14.879133,216,1.150430,1.991851,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3,4",255,255,255
333," ","1,2,3",1000134.492710,112591.191701,138.008931,0.020274,0.020150,0.042768,0.051441,0.005513,0.207483,14.902471,401,1.634259,1.981745,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3",255,255,255
347," ","2,3",1000460.336598,112765.831985,139.464016,0.020770,0.020679,0.042698,0.051789,0.000213,0.008011,6.494802,405,0.775228,1.023874,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
351," ","2,3,4,5",1000551.284265,112275.292890,139.855867,0.020211,0.020025,0.042457,0.051108,0.008675,0.326517,15.189547,406,1.902780,2.908424,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
375," ","1,3,4",999619.057827,112370.840930,138.958311,0.020320,0.020267,0.042593,0.051360,0.009142,0.344088,14.633437,305,1.947618,2.596996,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4",255,255,255
403," ","1",999170.664123,112692.527959,139.636257,0.021321,0.021224,0.042967,0.052452,n/a,n/a,n/a,309,2.344498,2.344498,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1",255,255,255
410," ","1,4,5",999974.449896,112476.826335,139.698732,0.020222,0.020150,0.042583,0.051267,0.004920,0.185164,25.753612,311,2.556175,3.120621,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
422," ","1,3,4,5",1000126.759601,112179.092406,138.552825,0.019933,0.019798,0.042570,0.051005,0.008147,0.306622,25.736544,313,1.476814,2.133251,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4,5",255,255,255
428," ","1,4,5",999971.954656,112044.551664,139.542179,0.020322,0.020311,0.042571,0.051360,0.006474,0.243655,25.391439,314,1.596018,2.448643,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
492," ","2,3,4",999606.895997,112342.385172,139.129318,0.020445,0.020300,0.042400,0.051263,0.003157,0.118839,13.188167,413,1.748480,2.431529,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4",255,255,255
509," ","1,2,3,4,5",1000132.743399,112336.295400,161.572315,0.047658,0.046430,0.267151,0.275311,0.011155,0.419851,26.191543,415,2.026017,3.128416,5,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5",255,255,255
552," ","3,4,5",1000575.047002,112258.185515,139.626879,0.020438,0.020305,0.042605,0.051432,0.009593,0.361064,13.381336,508,2.068003,3.079767,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"3,4,5",255,255,255
563," ","2,3,5",1000166.796457,112674.275638,138.758552,0.020279,0.020192,0.042789,0.051477,0.007694,0.289591,15.399689,511,1.877643,2.915316,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
590," ","4,5",999980.982121,112051.068917,139.409055,0.020697,0.020626,0.042727,0.051763,0.009318,0.350719,12.781871,515,2.362440,2.677003,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"4,5",255,255,255
607," ","2,3,5",1000502.479181,112625.886243,139.643924,0.020302,0.020276,0.042598,0.051361,0.007675,0.288886,15.487430,5212,1.704452,2.334093,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
634," ","2,3",1000441.911319,112677.084671,139.760532,0.020667,0.020597,0.042715,0.051729,0.000251,0.009456,6.564451,609,0.304732,0.338864,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
651," ","2,3,4,5",1000359.451345,112429.752426,139.161154,0.019834,0.019805,0.042671,0.051053,0.008129,0.305956,15.623162,610,1.622397,2.685098,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
