Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type,Layer,Material,Tagged
317,1,5007.666667,7275.666667,-1.779928,0.784761,1.945249,Non-sub-pixel,Default,White, 
317,2,1453.666667,1012.333333,0.143635,0.121150,0.187906,Non-sub-pixel,Default,White, 
317,3,4060.000000,912.333333,-0.848167,0.235040,0.880131,Non-sub-pixel,Default,White, 
317,4,6751.911854,1015.961089,0.159094,0.717080,0.734516,Non-sub-pixel,Default,White, 
333,1,2158.250000,1135.500000,-0.759825,0.311535,0.821211,Non-sub-pixel,Default,White, 
333,2,4039.000000,7293.333333,-1.778419,-0.437774,1.831507,Non-sub-pixel,Default,White, 
333,3,6455.659259,7294.808042,-1.703696,0.398347,1.749646,Non-sub-pixel,Default,White, 
347,2,5892.051852,11172.177691,-0.158194,0.291542,0.331695,Non-sub-pixel,Default,White, 
347,3,8197.333333,11243.666667,-0.843870,0.412990,0.939510,Non-sub-pixel,Default,White, 
351,2,148.666667,11965.666667,-1.014838,-0.276257,1.051767,Non-sub-pixel,Default,White, 
351,3,2409.155556,11859.132296,-1.142274,-0.911612,1.461447,Non-sub-pixel,Default,White, 
351,4,4767.000000,11933.774319,-1.261834,0.919172,1.561122,Non-sub-pixel,Default,White, 
351,5,5681.000000,5699.775616,-2.331775,-1.739287,2.909002,Non-sub-pixel,Default,White, 
375,1,4700.350617,7105.946822,-1.585132,0.212613,1.599327,Non-sub-pixel,Default,White, 
375,3,4354.797531,1106.042802,-1.266754,0.668520,1.432336,Non-sub-pixel,Default,White, 
375,4,7042.500000,1218.887160,-2.106202,1.277701,2.463455,Non-sub-pixel,Default,White, 
403,1,955.138272,12311.166018,-2.002857,1.007293,2.241891,Non-sub-pixel,Default,White, 
410,1,3478.135802,2979.280156,-2.578054,-0.538420,2.633678,Non-sub-pixel,Default,White, 
410,4,7829.606383,5477.000000,0.427336,0.691197,0.812631,Non-sub-pixel,Default,White, 
410,5,3661.446809,12430.666667,-2.760592,-0.417563,2.791993,Non-sub-pixel,Default,White, 
422,1,6936.800000,1211.386511,-2.020674,-0.572165,2.100118,Non-sub-pixel,Default,White, 
422,3,1672.000000,6836.000000,-0.582599,-0.017217,0.582853,Non-sub-pixel,Default,White, 
422,4,4180.512158,6874.666667,-1.811764,0.620494,1.915072,Non-sub-pixel,Default,White, 
422,5,7002.735562,10531.333333,-0.397322,-0.016565,0.397667,Non-sub-pixel,Default,White, 
428,1,8503.600000,3004.577173,0.030490,0.477968,0.478939,Non-sub-pixel,Default,White, 
428,4,2811.500000,4908.713359,-2.099199,1.168049,2.402286,Non-sub-pixel,Default,White, 
428,5,8635.437690,12250.739300,-1.232671,-0.155429,1.242431,Non-sub-pixel,Default,White, 
492,2,1431.000000,1037.000000,-1.388772,-1.733371,2.221095,Non-sub-pixel,Default,White, 
492,3,4034.333333,937.333333,-0.696648,-0.622060,0.933958,Non-sub-pixel,Default,White, 
492,4,6726.434650,1040.129702,-1.125911,-0.201890,1.143868,Non-sub-pixel,Default,White, 
509,1,5114.000000,1074.560311,-0.720204,-0.595678,0.934626,Non-sub-pixel,Default,White, 
509,2,1036.000000,7145.333333,0.149221,-1.634261,1.641059,Non-sub-pixel,Default,White, 
509,3,3481.333333,7053.333333,-1.670653,-0.338891,1.704678,Non-sub-pixel,Default,White, 
509,4,6019.500000,7148.743191,-2.013200,0.350910,2.043554,Non-sub-pixel,Default,White, 
509,5,5202.000000,10590.102464,-2.719743,-1.500216,3.106067,Non-sub-pixel,Default,White, 
552,3,2189.380247,12119.378729,-1.343006,-0.700665,1.514793,Non-sub-pixel,Default,White, 
552,4,4537.729483,12186.420233,-0.816974,-0.498714,0.957163,Non-sub-pixel,Default,White, 
552,5,5865.930091,5420.760052,-2.912541,0.647448,2.983636,Non-sub-pixel,Default,White, 
563,2,4984.000000,7714.333333,0.035907,0.988542,0.989194,Non-sub-pixel,Default,White, 
563,3,7392.600000,7745.875486,-0.492798,0.962236,1.081086,Non-sub-pixel,Default,White, 
563,5,1300.744681,10316.106355,-2.590121,1.143902,2.831473,Non-sub-pixel,Default,White, 
590,4,2876.500000,5020.108949,-2.607766,-0.421575,2.641623,Non-sub-pixel,Default,White, 
590,5,8556.000000,12150.285344,-1.907573,0.562470,1.988770,Non-sub-pixel,Default,White, 
607,2,4245.395062,11587.654994,-1.305425,0.886037,1.577719,Non-sub-pixel,Default,White, 
607,3,6530.898765,11607.874189,-0.814595,-0.042245,0.815690,Non-sub-pixel,Default,White, 
607,5,1684.000000,6440.813230,-2.283622,-0.469735,2.331433,Non-sub-pixel,Default,White, 
634,2,4870.804938,10911.341115,0.100736,0.308038,0.324091,Non-sub-pixel,Default,White, 
634,3,7180.170370,10949.792477,0.176751,0.202562,0.268835,Non-sub-pixel,Default,White, 
651,2,2043.777778,9819.706874,-0.313523,-0.031111,0.315062,Non-sub-pixel,Default,White, 
651,3,4377.039506,9766.507134,-0.889311,0.204873,0.912605,Non-sub-pixel,Default,White, 
651,4,6803.085106,9893.666667,-1.503200,0.117992,1.507823,Non-sub-pixel,Default,White, 
651,5,4005.516717,7983.666667,-2.533412,0.807314,2.658935,Non-sub-pixel,Default,White, 
