Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
317," ","1,2,3,4",999604.585136,112344.423117,139.437555,0.019959,0.019856,0.042036,0.050593,0.005743,0.216163,14.879590,216,1.132856,1.945249,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3,4",255,255,255
333," ","1,2,3",1000134.490097,112591.204316,138.007973,0.020101,0.019979,0.042404,0.051003,0.005476,0.206119,14.903011,401,1.537321,1.831507,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3",255,255,255
347," ","2,3",1000460.339645,112765.836928,139.470178,0.020593,0.020503,0.042334,0.051348,0.000238,0.008954,6.495083,405,0.704521,0.939510,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
351," ","2,3,4,5",1000551.289157,112275.298024,139.852137,0.020039,0.019855,0.042096,0.050674,0.008705,0.327621,15.186990,406,1.880255,2.909002,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
375," ","1,3,4",999619.064398,112370.850040,138.953522,0.020147,0.020094,0.042230,0.050923,0.009143,0.344137,14.633448,305,1.886623,2.463455,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4",255,255,255
403," ","1",999170.659442,112692.518959,139.634850,0.021140,0.021043,0.042602,0.052006,n/a,n/a,n/a,309,2.241891,2.241891,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1",255,255,255
410," ","1,4,5",999974.457121,112476.800008,139.691085,0.020050,0.019979,0.042221,0.050831,0.004886,0.183912,25.754177,311,2.265087,2.791993,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
422," ","1,3,4,5",1000126.763922,112179.092514,138.558743,0.019763,0.019630,0.042208,0.050571,0.008150,0.306756,25.737167,313,1.464228,2.100118,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4,5",255,255,255
428," ","1,4,5",999971.957142,112044.556293,139.539488,0.020149,0.020139,0.042209,0.050923,0.006480,0.243885,25.391888,314,1.585769,2.402286,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
492," ","2,3,4",999606.883226,112342.399140,139.139923,0.020271,0.020128,0.042039,0.050826,0.003210,0.120828,13.186647,413,1.539911,2.221095,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4",255,255,255
509," ","1,2,3,4,5",1000132.744337,112336.295935,161.569613,0.047252,0.046035,0.264884,0.272975,0.011126,0.418745,26.191936,415,2.014760,3.106067,5,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5",255,255,255
552," ","3,4,5",1000575.036932,112258.181956,139.620616,0.020264,0.020132,0.042243,0.050994,0.009499,0.357503,13.382625,508,2.009381,2.983636,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"3,4,5",255,255,255
563," ","2,3,5",1000166.799629,112674.266597,138.758115,0.020106,0.020020,0.042425,0.051039,0.007709,0.290145,15.397221,511,1.840697,2.831473,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
590," ","4,5",999980.975760,112051.072156,139.415468,0.020521,0.020450,0.042364,0.051322,0.009324,0.350943,12.783024,515,2.338095,2.641623,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"4,5",255,255,255
607," ","2,3,5",1000502.484287,112625.885678,139.643177,0.020130,0.020104,0.042236,0.050924,0.007686,0.289281,15.484884,5212,1.692151,2.331433,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
634," ","2,3",1000441.913856,112677.083525,139.762163,0.020491,0.020421,0.042352,0.051289,0.000228,0.008577,6.564734,609,0.297747,0.324091,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
651," ","2,3,4,5",1000359.447250,112429.753748,139.164005,0.019666,0.019637,0.042307,0.050619,0.008047,0.302852,15.620612,610,1.602777,2.658935,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
