Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type,Layer,Material,Tagged
317,1,5007.666667,7275.666667,0.282981,0.637045,0.697069,Non-sub-pixel,Default,White, 
317,2,1453.666667,1012.333333,0.970866,0.982409,1.381199,Non-sub-pixel,Default,White, 
317,3,4060.000000,912.333333,0.266239,0.241623,0.359534,Non-sub-pixel,Default,White, 
317,4,6751.911854,1015.961089,1.421537,-0.190465,1.434240,Non-sub-pixel,Default,White, 
333,1,2158.250000,1135.500000,0.466577,0.703378,0.844059,Non-sub-pixel,Default,White, 
333,2,4039.000000,7293.333333,-1.160000,-0.731669,1.371474,Non-sub-pixel,Default,White, 
333,3,6455.659259,7294.808042,-0.998628,-0.104753,1.004107,Non-sub-pixel,Default,White, 
347,2,5892.051852,11172.177691,0.237676,-0.187777,0.302902,Non-sub-pixel,Default,White, 
347,3,8197.333333,11243.666667,-0.477526,0.089577,0.485855,Non-sub-pixel,Default,White, 
351,2,148.666667,11965.666667,-0.307912,0.109615,0.326841,Non-sub-pixel,Default,White, 
351,3,2409.155556,11859.132296,-0.121040,-0.213639,0.245545,Non-sub-pixel,Default,White, 
351,4,4767.000000,11933.774319,-0.038301,1.019825,1.020544,Non-sub-pixel,Default,White, 
351,5,5681.000000,5699.775616,0.386715,-1.882183,1.921500,Non-sub-pixel,Default,White, 
375,1,4700.350617,7105.946822,0.569756,-0.114085,0.581065,Non-sub-pixel,Default,White, 
375,3,4354.797531,1106.042802,-0.226546,0.826753,0.857230,Non-sub-pixel,Default,White, 
375,4,7042.500000,1218.887160,-0.986049,0.487471,1.099964,Non-sub-pixel,Default,White, 
403,1,955.138272,12311.166018,-0.125417,0.171842,0.212741,Non-sub-pixel,Default,White, 
410,1,3478.135802,2979.280156,-1.617488,-0.676931,1.753426,Non-sub-pixel,Default,White, 
410,4,7829.606383,5477.000000,1.936631,0.170090,1.944086,Non-sub-pixel,Default,White, 
410,5,3661.446809,12430.666667,-1.033140,-0.204596,1.053204,Non-sub-pixel,Default,White, 
422,1,6936.800000,1211.386511,-0.708332,-0.843252,1.101276,Non-sub-pixel,Default,White, 
422,3,1672.000000,6836.000000,0.788604,-0.289786,0.840162,Non-sub-pixel,Default,White, 
422,4,4180.512158,6874.666667,-0.312510,0.266091,0.410447,Non-sub-pixel,Default,White, 
422,5,7002.735562,10531.333333,1.650528,-0.247443,1.668973,Non-sub-pixel,Default,White, 
428,1,8503.600000,3004.577173,1.129461,0.122481,1.136083,Non-sub-pixel,Default,White, 
428,4,2811.500000,4908.713359,-0.577587,0.789273,0.978038,Non-sub-pixel,Default,White, 
428,5,8635.437690,12250.739300,0.368537,0.019811,0.369069,Non-sub-pixel,Default,White, 
492,2,1431.000000,1037.000000,-0.951547,-1.058802,1.423553,Non-sub-pixel,Default,White, 
492,3,4034.333333,937.333333,0.001415,-0.791110,0.791112,Non-sub-pixel,Default,White, 
492,4,6726.434650,1040.129702,-0.305573,-1.258369,1.294940,Non-sub-pixel,Default,White, 
552,3,2189.380247,12119.378729,-0.099037,-0.016370,0.100381,Non-sub-pixel,Default,White, 
552,4,4537.729483,12186.420233,0.573200,-0.555528,0.798229,Non-sub-pixel,Default,White, 
552,5,5865.930091,5420.760052,-0.310105,0.697663,0.763478,Non-sub-pixel,Default,White, 
563,2,4984.000000,7714.333333,1.059606,0.567318,1.201921,Non-sub-pixel,Default,White, 
563,3,7392.600000,7745.875486,0.612172,0.380256,0.720659,Non-sub-pixel,Default,White, 
563,5,1300.744681,10316.106355,-0.372626,0.988553,1.056451,Non-sub-pixel,Default,White, 
590,4,2876.500000,5020.108949,-1.166163,-0.878167,1.459834,Non-sub-pixel,Default,White, 
590,5,8556.000000,12150.285344,-0.213099,0.804028,0.831789,Non-sub-pixel,Default,White, 
607,2,4245.395062,11587.654994,-0.728851,0.614767,0.953500,Non-sub-pixel,Default,White, 
607,3,6530.898765,11607.874189,-0.230628,-0.103364,0.252732,Non-sub-pixel,Default,White, 
607,5,1684.000000,6440.813230,-0.295311,-0.715387,0.773943,Non-sub-pixel,Default,White, 
634,2,4870.804938,10911.341115,0.558309,-0.066237,0.562225,Non-sub-pixel,Default,White, 
634,3,7180.170370,10949.792477,0.621692,-0.035040,0.622679,Non-sub-pixel,Default,White, 
651,2,2043.777778,9819.706874,0.320884,-0.229531,0.394526,Non-sub-pixel,Default,White, 
651,3,4377.039506,9766.507134,-0.136186,0.014721,0.136980,Non-sub-pixel,Default,White, 
651,4,6803.085106,9893.666667,-0.546612,0.148697,0.566476,Non-sub-pixel,Default,White, 
651,5,4005.516717,7983.666667,-0.183627,0.538679,0.569117,Non-sub-pixel,Default,White, 
