Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type,Layer,Material,Tagged
317,1,5007.666667,7275.666667,-1.839282,0.778656,1.997314,Non-sub-pixel,Default,White, 
317,2,1453.666667,1012.333333,0.205437,0.155369,0.257573,Non-sub-pixel,Default,White, 
317,3,4060.000000,912.333333,-0.775432,0.261975,0.818490,Non-sub-pixel,Default,White, 
317,4,6751.911854,1015.961089,0.245487,0.741519,0.781098,Non-sub-pixel,Default,White, 
333,1,2158.250000,1135.500000,-0.622720,0.353050,0.715838,Non-sub-pixel,Default,White, 
333,2,4039.000000,7293.333333,-1.922284,-0.476507,1.980464,Non-sub-pixel,Default,White, 
333,3,6455.659259,7294.808042,-1.851153,0.364749,1.886746,Non-sub-pixel,Default,White, 
347,2,5892.051852,11172.177691,-0.224848,0.329855,0.399200,Non-sub-pixel,Default,White, 
347,3,8197.333333,11243.666667,-0.923389,0.455324,1.029547,Non-sub-pixel,Default,White, 
351,2,148.666667,11965.666667,-1.062410,-0.205428,1.082089,Non-sub-pixel,Default,White, 
351,3,2409.155556,11859.132296,-1.195270,-0.838734,1.460187,Non-sub-pixel,Default,White, 
351,4,4767.000000,11933.774319,-1.319038,0.997413,1.653691,Non-sub-pixel,Default,White, 
351,5,5681.000000,5699.775616,-2.269404,-1.791911,2.891563,Non-sub-pixel,Default,White, 
375,1,4700.350617,7105.946822,-1.475594,0.144198,1.482623,Non-sub-pixel,Default,White, 
375,3,4354.797531,1106.042802,-1.357978,0.768746,1.560472,Non-sub-pixel,Default,White, 
375,4,7042.500000,1218.887160,-2.182338,1.379509,2.581791,Non-sub-pixel,Default,White, 
403,1,955.138272,12311.166018,-2.105521,1.054945,2.355022,Non-sub-pixel,Default,White, 
410,1,3478.135802,2979.280156,-2.893291,-0.602104,2.955277,Non-sub-pixel,Default,White, 
410,4,7829.606383,5477.000000,0.759260,0.734773,1.056583,Non-sub-pixel,Default,White, 
410,5,3661.446809,12430.666667,-3.063575,-0.506289,3.105128,Non-sub-pixel,Default,White, 
422,1,6936.800000,1211.386511,-2.039286,-0.639497,2.137204,Non-sub-pixel,Default,White, 
422,3,1672.000000,6836.000000,-0.560946,0.032215,0.561870,Non-sub-pixel,Default,White, 
422,4,4180.512158,6874.666667,-1.802298,0.668597,1.922317,Non-sub-pixel,Default,White, 
422,5,7002.735562,10531.333333,-0.411150,-0.041084,0.413198,Non-sub-pixel,Default,White, 
428,1,8503.600000,3004.577173,0.077271,0.457258,0.463741,Non-sub-pixel,Default,White, 
428,4,2811.500000,4908.713359,-2.145864,1.205173,2.461132,Non-sub-pixel,Default,White, 
428,5,8635.437690,12250.739300,-1.186257,-0.177808,1.199509,Non-sub-pixel,Default,White, 
492,2,1431.000000,1037.000000,-1.532783,-1.899742,2.440992,Non-sub-pixel,Default,White, 
492,3,4034.333333,937.333333,-0.857944,-0.790038,1.166288,Non-sub-pixel,Default,White, 
492,4,6726.434650,1040.129702,-1.302021,-0.364752,1.352147,Non-sub-pixel,Default,White, 
509,1,5114.000000,1074.560311,-0.722493,-0.595892,0.936527,Non-sub-pixel,Default,White, 
509,2,1036.000000,7145.333333,0.148553,-1.633864,1.640603,Non-sub-pixel,Default,White, 
509,3,3481.333333,7053.333333,-1.673108,-0.337966,1.706901,Non-sub-pixel,Default,White, 
509,4,6019.500000,7148.743191,-2.014013,0.350095,2.044215,Non-sub-pixel,Default,White, 
509,5,5202.000000,10590.102464,-2.721429,-1.499880,3.107381,Non-sub-pixel,Default,White, 
552,3,2189.380247,12119.378729,-1.311052,-0.816584,1.544560,Non-sub-pixel,Default,White, 
552,4,4537.729483,12186.420233,-0.791451,-0.612683,1.000887,Non-sub-pixel,Default,White, 
552,5,5865.930091,5420.760052,-2.955366,0.764947,3.052759,Non-sub-pixel,Default,White, 
563,2,4984.000000,7714.333333,0.145852,1.000117,1.010696,Non-sub-pixel,Default,White, 
563,3,7392.600000,7745.875486,-0.384685,0.971580,1.044964,Non-sub-pixel,Default,White, 
563,5,1300.744681,10316.106355,-2.679580,1.133027,2.909278,Non-sub-pixel,Default,White, 
590,4,2876.500000,5020.108949,-2.640495,-0.497055,2.686871,Non-sub-pixel,Default,White, 
590,5,8556.000000,12150.285344,-1.902171,0.669859,2.016672,Non-sub-pixel,Default,White, 
607,2,4245.395062,11587.654994,-1.302241,0.938036,1.604912,Non-sub-pixel,Default,White, 
607,3,6530.898765,11607.874189,-0.816214,0.011114,0.816290,Non-sub-pixel,Default,White, 
607,5,1684.000000,6440.813230,-2.276136,-0.517599,2.334246,Non-sub-pixel,Default,White, 
634,2,4870.804938,10911.341115,0.109944,0.329312,0.347180,Non-sub-pixel,Default,White, 
634,3,7180.170370,10949.792477,0.178282,0.225190,0.287219,Non-sub-pixel,Default,White, 
651,2,2043.777778,9819.706874,-0.320987,-0.073291,0.329248,Non-sub-pixel,Default,White, 
651,3,4377.039506,9766.507134,-0.909613,0.163821,0.924247,Non-sub-pixel,Default,White, 
651,4,6803.085106,9893.666667,-1.538093,0.081442,1.540248,Non-sub-pixel,Default,White, 
651,5,4005.516717,7983.666667,-2.518016,0.866018,2.662779,Non-sub-pixel,Default,White, 
