Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Photos (used),Tightness (percent),Tightness (project units),Angle (deg.),RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,Precision Vector Length,Photos (marked)
65231," ",1000472.195196,112450.955992,138.346270,0.090116,0.065269,0.476628,"3,4,5",0.003343,0.125827,13.427219,1.109907,1.422112,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.489444,"3,4,5"
65234," ",1000458.432357,112391.076887,135.566872,0.078586,0.050439,0.382046,"2,3,4,5",0.005480,0.206270,15.471143,1.291468,1.420040,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.393292,"2,3,4,5"
65235," ",1000276.048749,112514.443479,137.603964,0.060031,0.073946,0.475274,"3,4,5",0.001877,0.070653,13.458274,0.410310,0.576006,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.484724,"3,4,5"
65239," ",1000463.269926,112442.054601,136.711641,0.088299,0.064134,0.476860,"3,4,5",0.007668,0.288587,13.431794,1.445292,1.771561,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.489189,"3,4,5"
65242," ",1000300.461816,112532.298210,137.030015,0.057408,0.056210,0.380369,"2,3,4,5",0.006284,0.236510,15.620983,1.305628,1.918928,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.388762,"2,3,4,5"
65246," ",1000355.194879,112430.552065,139.374964,0.103615,0.056402,0.559421,"2,3,4",0.006402,0.240965,13.497689,1.184688,1.490539,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.571725,"2,3,4"
65253," ",1000187.663614,112262.187712,139.830938,0.057698,0.058877,0.472618,"3,4,5",0.005448,0.205042,13.461761,1.354443,1.588519,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.479753,"3,4,5"
65257," ",1000167.549496,112515.982429,138.434693,0.078443,0.072699,0.452867,"1,3,4",0.005964,0.224462,14.499228,1.224848,1.702599,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.465325,"1,3,4"
65265," ",999590.677708,112346.329014,140.724511,0.165683,0.062453,0.571913,"2,3,4",0.000765,0.028782,13.170946,0.296357,0.402126,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.598695,"2,3,4"
65269," ",1000474.894492,112408.720906,136.390473,0.090596,0.060837,0.476749,"3,4,5",0.005789,0.217897,13.439749,1.238603,1.477103,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.489079,"3,4,5"
65276," ",1000479.358061,112187.938807,140.067069,0.092046,0.069450,0.484696,"3,4,5",0.001352,0.050894,13.492472,0.248860,0.318623,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.498223,"3,4,5"
65278," ",1000313.993449,112125.967882,138.713195,0.064707,0.078877,0.485192,"3,4,5",0.002937,0.110523,13.469080,0.732062,0.875726,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.495802,"3,4,5"
65288," ",1000314.094021,112508.237965,136.992725,0.064185,0.057231,0.447610,"2,3,5",0.007906,0.297558,15.627529,1.563120,1.831477,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.455796,"2,3,5"
65289," ",1000188.242351,112181.530270,139.504244,0.054105,0.056000,0.301564,"1,3,4,5",0.004114,0.154827,25.696120,0.773837,1.086700,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.311455,"1,3,4,5"
65291," ",1000208.416500,112492.963104,139.028918,0.050986,0.052495,0.375083,"2,3,4,5",0.002014,0.075803,15.606341,0.537453,0.675720,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.382155,"2,3,4,5"
65297," ",1000090.988164,112076.282319,144.716240,0.066700,0.088439,0.483429,"3,4,5",0.004780,0.179903,13.141480,0.902810,1.142198,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.495957,"3,4,5"
65298," ",1000473.603150,112421.158008,137.155979,0.136948,0.057019,0.566216,"2,3,4",0.005096,0.191785,13.315375,0.983414,1.327564,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.585326,"2,3,4"
65299," ",1000569.682276,112206.831070,139.212860,0.111618,0.067818,0.487501,"3,4,5",0.007458,0.280711,13.387553,1.427791,1.880472,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.504693,"3,4,5"
65304," ",999868.730807,112494.196194,139.834943,0.086772,0.062142,0.560038,"2,3,4",0.005819,0.219010,13.553802,1.178083,1.386071,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.570117,"2,3,4"
65312," ",1000405.899590,112483.030735,138.118575,0.117511,0.060532,0.563499,"2,3,4",0.006578,0.247561,13.418833,1.258966,1.716858,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.578795,"2,3,4"
65322," ",1000478.634528,112402.888182,136.674967,0.138479,0.057123,0.566895,"2,3,4",0.003750,0.141148,13.301530,0.831928,1.099326,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.586353,"2,3,4"
65323," ",1000058.419542,112247.917241,140.374319,0.063420,0.059446,0.444841,"1,3,4",0.006004,0.225981,14.749229,1.222317,1.505132,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.453254,"1,3,4"
65325," ",1000345.973382,112195.831778,140.025805,0.068354,0.067279,0.480196,"3,4,5",0.003971,0.149456,13.537432,0.987221,1.191033,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.489681,"3,4,5"
65331," ",1000148.813960,112299.655972,149.756632,0.059720,0.056663,0.467047,"3,4,5",0.006743,0.253808,13.496370,1.570066,1.823967,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.474246,"3,4,5"
65332," ",1000232.309089,112471.603933,140.451207,0.057544,0.067029,0.471636,"3,4,5",0.005711,0.214958,13.492826,1.094863,1.378921,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.479838,"3,4,5"
65338," ",1000252.172134,112229.913057,140.735776,0.058740,0.062350,0.475278,"3,4,5",0.005447,0.204995,13.516603,1.360194,1.598669,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.482936,"3,4,5"
65339," ",1000215.519135,112253.722846,140.051475,0.057483,0.059708,0.473430,"3,4,5",0.006245,0.235048,13.487144,1.313959,1.790367,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.480631,"3,4,5"
65341," ",999838.491232,112170.428482,152.987140,0.065489,0.069748,0.449298,"1,3,4",0.004690,0.176522,15.006695,1.334053,1.547410,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.459372,"1,3,4"
65343," ",1000149.472940,112497.957878,139.720687,0.075408,0.069777,0.449424,"1,3,4",0.003601,0.135534,14.558138,0.804736,1.071349,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.461018,"1,3,4"
65353," ",1000166.173104,112282.861607,149.761770,0.078390,0.057202,0.441937,"1,3,4",0.004697,0.176767,14.605983,1.012671,1.292880,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.452466,"1,3,4"
65354," ",1000312.662737,112542.609411,137.782518,0.092919,0.069075,0.563872,"2,3,4",0.001591,0.059887,13.490417,0.320744,0.453476,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.575636,"2,3,4"
65360," ",1000401.517834,112299.290202,140.028221,0.069890,0.054537,0.380542,"2,3,4,5",0.005711,0.214943,15.482926,1.097613,1.581520,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.390732,"2,3,4,5"
65367," ",999950.739123,112322.611755,140.372393,0.069544,0.062517,0.556615,"2,3,4",0.000957,0.036018,13.588763,0.883817,1.249464,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.564416,"2,3,4"
65369," ",1000101.613880,112171.251456,140.409098,0.068981,0.068685,0.451206,"1,3,4",0.005221,0.196509,14.606075,0.988346,1.362812,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.461587,"1,3,4"
65374," ",1000077.560215,112198.976601,141.035062,0.065790,0.064806,0.447950,"1,3,4",0.007597,0.285932,14.684696,1.454292,1.965527,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.457370,"1,3,4"
65376," ",1000470.997564,112199.773702,137.979686,0.090262,0.067660,0.484083,"3,4,5",0.005664,0.213173,13.488753,1.224963,1.733110,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.497052,"3,4,5"
65377," ",1000251.813633,112510.801421,137.101451,0.053190,0.054027,0.377637,"2,3,4,5",0.003969,0.149381,15.611543,0.705838,1.071847,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.385173,"2,3,4,5"
65378," ",1000425.166074,112362.252044,135.957388,0.073313,0.050842,0.380751,"2,3,4,5",0.004200,0.158090,15.492237,0.889952,1.121703,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.391064,"2,3,4,5"
65380," ",999937.086312,112439.716510,144.517903,0.071927,0.056801,0.553452,"2,3,4",0.002047,0.077037,13.658820,0.643230,0.886022,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.560989,"2,3,4"
65382," ",1000070.058599,112452.055700,144.973578,0.056955,0.057065,0.551554,"2,3,4",0.000799,0.030091,13.706601,0.929073,1.297739,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.557415,"2,3,4"
65384," ",1000186.494624,112158.409719,140.356147,0.058333,0.072592,0.478395,"3,4,5",0.003086,0.116162,13.391446,0.716498,0.921840,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.487374,"3,4,5"
65386," ",1000158.309702,112262.828675,144.270685,0.052324,0.050874,0.293652,"1,3,4,5",0.004023,0.151419,25.890036,0.962966,1.212541,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.302585,"1,3,4,5"
65388," ",1000102.004083,112269.166775,139.699297,0.064117,0.058198,0.472123,"3,4,5",0.002368,0.089143,13.322768,0.430351,0.556072,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.479998,"3,4,5"
65390," ",999797.257444,112126.399725,153.165791,0.071192,0.077043,0.454327,"1,3,4",0.002827,0.106398,14.968355,0.537237,0.687881,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.466280,"1,3,4"
65393," ",1000113.176707,112206.953024,159.386903,0.063598,0.065420,0.467182,"3,4,5",0.003965,0.149230,13.439256,1.217564,1.417156,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.476008,"3,4,5"
65394," ",999622.855549,112409.697788,137.581856,0.100849,0.061614,0.455589,"1,3,4",0.005201,0.195764,14.597586,1.090368,1.320070,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.470667,"1,3,4"
65395," ",999701.249754,112437.849559,146.591373,0.131707,0.058657,0.561752,"2,3,4",0.000509,0.019172,13.418577,0.194916,0.272827,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.579959,"2,3,4"
65401," ",1000406.208949,112469.438758,137.795622,0.070652,0.051767,0.380488,"2,3,4,5",0.003869,0.145618,15.587364,0.926200,1.160521,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.390438,"2,3,4,5"
65406," ",999810.358854,112312.449881,144.312093,0.101734,0.064798,0.558823,"2,3,4",0.004648,0.174923,13.501262,1.196063,1.372780,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.571692,"2,3,4"
65411," ",1000193.696415,112261.603497,138.155375,0.057526,0.058935,0.473371,"3,4,5",0.003122,0.117487,13.453270,0.605477,0.817863,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.480482,"3,4,5"
65415," ",1000480.695478,112226.427014,145.690683,0.092196,0.064336,0.480032,"3,4,5",0.006325,0.238066,13.546622,1.461017,1.824746,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.493021,"3,4,5"
65416," ",1000189.091486,112230.124267,140.144092,0.082628,0.061290,0.451647,"1,3,4",0.005350,0.201373,14.443286,0.996038,1.207163,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.463215,"1,3,4"
65419," ",999795.846527,112090.952239,140.890144,0.071389,0.083242,0.460718,"1,3,4",0.004765,0.179360,14.835203,1.275233,1.404164,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.473589,"1,3,4"
65432," ",1000218.672938,112467.450091,138.205580,0.057201,0.066418,0.472371,"3,4,5",0.003345,0.125907,13.469638,0.623503,0.840703,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.480435,"3,4,5"
65436," ",1000475.805032,112426.675801,136.763863,0.081506,0.050735,0.382646,"2,3,4,5",0.003659,0.137732,15.479760,0.826409,1.123160,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.394506,"2,3,4,5"
65445," ",999615.334939,112398.624855,137.538019,0.102439,0.060848,0.455990,"1,3,4",0.004140,0.155803,14.590919,1.446357,1.951007,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.471299,"1,3,4"
65449," ",1000213.985167,112343.288311,154.611675,0.070967,0.060108,0.547743,"2,3,4",0.004586,0.172598,13.699554,0.861484,1.050969,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.555582,"2,3,4"
65451," ",1000005.097366,112153.216697,139.691428,0.052670,0.058359,0.301133,"1,3,4,5",0.006434,0.242152,25.665243,1.630041,1.878472,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.311225,"1,3,4,5"
65452," ",1000315.483752,112102.607220,138.009368,0.065074,0.083429,0.487606,"3,4,5",0.003089,0.116281,13.440027,0.572738,0.692407,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.498954,"3,4,5"
65454," ",1000472.566356,112180.827200,140.120143,0.090709,0.070467,0.485053,"3,4,5",0.002127,0.080070,13.495743,0.501986,0.683088,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.498467,"3,4,5"
65458," ",1000127.029484,112512.308272,139.260810,0.051054,0.056440,0.299681,"1,3,4,5",0.001509,0.056795,25.807792,0.487698,0.749464,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.309194,"1,3,4,5"
65461," ",1000243.646294,112264.168165,143.060800,0.058239,0.058924,0.472632,"3,4,5",0.005740,0.216041,13.542412,1.362405,1.701327,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.479838,"3,4,5"
65462," ",1000183.803080,112138.250366,138.721578,0.058519,0.076187,0.480492,"3,4,5",0.005260,0.197990,13.348559,1.068555,1.511312,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.490002,"3,4,5"
65477," ",1000342.643012,112204.770548,139.544045,0.067819,0.065995,0.479616,"3,4,5",0.003921,0.147579,13.542636,0.882437,1.102541,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.488862,"3,4,5"
65478," ",1000225.373513,112535.484478,137.758314,0.073166,0.067569,0.561199,"2,3,4",0.002007,0.075538,13.563632,0.468424,0.619416,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.569968,"2,3,4"
65489," ",1000206.519135,112478.071682,139.309835,0.069466,0.059235,0.556605,"2,3,4",0.003434,0.129247,13.619131,0.623194,0.785695,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.564042,"2,3,4"
65490," ",1000481.437093,112361.691434,144.849263,0.138940,0.059404,0.562621,"2,3,4",0.004045,0.152242,13.331241,1.124640,1.561803,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.582559,"2,3,4"
65492," ",1000203.605953,112119.595547,141.537656,0.058386,0.079720,0.481618,"3,4,5",0.003250,0.122318,13.377489,0.669697,0.871190,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.491650,"3,4,5"
65499," ",999889.643599,112274.314624,145.891553,0.082274,0.070931,0.556850,"2,3,4",0.005933,0.223322,13.541007,1.227656,1.730268,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.567346,"2,3,4"
65507," ",1000218.133034,112247.835446,142.124250,0.057592,0.060302,0.473061,"3,4,5",0.006581,0.247699,13.505318,1.792005,1.847321,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.480354,"3,4,5"
65508," ",1000471.686944,112371.063901,137.358258,0.136461,0.058534,0.566643,"2,3,4",0.005150,0.193835,13.300182,1.011512,1.372335,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.585775,"2,3,4"
65509," ",1000477.771083,112414.714211,138.448365,0.138102,0.057002,0.565580,"2,3,4",0.000758,0.028520,13.317162,0.241906,0.279480,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.584981,"2,3,4"
65516," ",999790.725885,112221.184079,141.749547,0.071073,0.063122,0.450288,"1,3,4",0.006395,0.240690,14.920494,1.260920,1.662929,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.460212,"1,3,4"
65520," ",999863.845831,112322.606269,139.461629,0.056301,0.052040,0.367001,"1,2,3,4",0.003561,0.134043,15.194430,1.119555,1.369787,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.374923,"1,2,3,4"
65521," ",999792.205361,112382.950674,139.431121,0.106465,0.057603,0.560921,"2,3,4",0.003236,0.121801,13.485233,0.657453,0.879591,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.573833,"2,3,4"
65523," ",999886.713194,112279.264038,140.894467,0.059949,0.057628,0.445082,"1,3,4",0.005741,0.216078,14.935306,1.135761,1.587227,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.452784,"1,3,4"
65533," ",1000148.413399,112493.518993,137.600584,0.075238,0.069113,0.450318,"1,3,4",0.006897,0.259577,14.547044,1.306869,1.671288,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.461761,"1,3,4"
65539," ",999833.746112,112478.040744,142.991022,0.095336,0.060515,0.558571,"2,3,4",0.002171,0.081729,13.551486,0.926704,1.291850,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.569870,"2,3,4"
65541," ",999829.347739,112326.414097,139.161633,0.096841,0.062600,0.560635,"2,3,4",0.005760,0.216803,13.489924,1.568766,1.658358,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.572371,"2,3,4"
65546," ",1000294.618841,112450.164118,140.316915,0.088242,0.057054,0.557104,"2,3,4",0.002176,0.081905,13.567800,0.440920,0.503262,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.566928,"2,3,4"
65550," ",1000296.675936,112479.903887,138.136005,0.088810,0.059651,0.559445,"2,3,4",0.001359,0.051146,13.544123,0.270972,0.373946,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.569583,"2,3,4"
65554," ",1000185.263946,112219.962939,140.120411,0.057976,0.063339,0.474469,"3,4,5",0.002746,0.103355,13.433017,0.807078,1.092229,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.482176,"3,4,5"
