Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type,Layer,Material,Tagged
317,1,5007.666667,7275.666667,-1.773577,0.780822,1.937848,Non-sub-pixel,Default,White, 
317,2,1453.666667,1012.333333,0.128565,0.139005,0.189345,Non-sub-pixel,Default,White, 
317,3,4060.000000,912.333333,-0.869577,0.211414,0.894908,Non-sub-pixel,Default,White, 
317,4,6751.911854,1015.961089,0.139042,0.699605,0.713289,Non-sub-pixel,Default,White, 
333,1,2158.250000,1135.500000,-0.756648,0.272011,0.804056,Non-sub-pixel,Default,White, 
333,2,4039.000000,7293.333333,-1.776969,-0.466137,1.837091,Non-sub-pixel,Default,White, 
333,3,6455.659259,7294.808042,-1.710056,0.384260,1.752697,Non-sub-pixel,Default,White, 
347,2,5892.051852,11172.177691,-0.156203,0.270148,0.312056,Non-sub-pixel,Default,White, 
347,3,8197.333333,11243.666667,-0.820541,0.366862,0.898819,Non-sub-pixel,Default,White, 
351,2,148.666667,11965.666667,-0.973969,-0.265532,1.009516,Non-sub-pixel,Default,White, 
351,3,2409.155556,11859.132296,-1.137547,-0.894080,1.446855,Non-sub-pixel,Default,White, 
351,4,4767.000000,11933.774319,-1.283011,0.946866,1.594576,Non-sub-pixel,Default,White, 
351,5,5681.000000,5699.775616,-2.331276,-1.738817,2.908321,Non-sub-pixel,Default,White, 
375,1,4700.350617,7105.946822,-1.576695,0.207673,1.590313,Non-sub-pixel,Default,White, 
375,3,4354.797531,1106.042802,-1.290899,0.651502,1.445986,Non-sub-pixel,Default,White, 
375,4,7042.500000,1218.887160,-2.124856,1.271818,2.476395,Non-sub-pixel,Default,White, 
403,1,955.138272,12311.166018,-1.983141,0.973225,2.209076,Non-sub-pixel,Default,White, 
410,1,3478.135802,2979.280156,-2.572206,-0.562707,2.633036,Non-sub-pixel,Default,White, 
410,4,7829.606383,5477.000000,0.427892,0.716180,0.834269,Non-sub-pixel,Default,White, 
410,5,3661.446809,12430.666667,-2.790156,-0.345491,2.811465,Non-sub-pixel,Default,White, 
422,1,6936.800000,1211.386511,-2.038394,-0.586237,2.121020,Non-sub-pixel,Default,White, 
422,3,1672.000000,6836.000000,-0.575541,-0.041256,0.577018,Non-sub-pixel,Default,White, 
422,4,4180.512158,6874.666667,-1.828161,0.628464,1.933168,Non-sub-pixel,Default,White, 
422,5,7002.735562,10531.333333,-0.412363,-0.078668,0.419800,Non-sub-pixel,Default,White, 
428,1,8503.600000,3004.577173,0.017925,0.481824,0.482157,Non-sub-pixel,Default,White, 
428,4,2811.500000,4908.713359,-2.081621,1.133414,2.370184,Non-sub-pixel,Default,White, 
428,5,8635.437690,12250.739300,-1.232812,-0.247563,1.257423,Non-sub-pixel,Default,White, 
492,2,1431.000000,1037.000000,-1.404498,-1.715426,2.217048,Non-sub-pixel,Default,White, 
492,3,4034.333333,937.333333,-0.718501,-0.645496,0.965872,Non-sub-pixel,Default,White, 
492,4,6726.434650,1040.129702,-1.146491,-0.219300,1.167277,Non-sub-pixel,Default,White, 
552,3,2189.380247,12119.378729,-1.328171,-0.676047,1.490328,Non-sub-pixel,Default,White, 
552,4,4537.729483,12186.420233,-0.831440,-0.463037,0.951680,Non-sub-pixel,Default,White, 
552,5,5865.930091,5420.760052,-2.908621,0.656568,2.981805,Non-sub-pixel,Default,White, 
563,2,4984.000000,7714.333333,0.043426,0.969516,0.970488,Non-sub-pixel,Default,White, 
563,3,7392.600000,7745.875486,-0.482262,0.955518,1.070323,Non-sub-pixel,Default,White, 
563,5,1300.744681,10316.106355,-2.563355,1.196797,2.828977,Non-sub-pixel,Default,White, 
590,4,2876.500000,5020.108949,-2.590538,-0.453597,2.629950,Non-sub-pixel,Default,White, 
590,5,8556.000000,12150.285344,-1.910074,0.472503,1.967649,Non-sub-pixel,Default,White, 
607,2,4245.395062,11587.654994,-1.304921,0.873978,1.570559,Non-sub-pixel,Default,White, 
607,3,6530.898765,11607.874189,-0.819783,-0.072985,0.823025,Non-sub-pixel,Default,White, 
607,5,1684.000000,6440.813230,-2.304823,-0.489284,2.356185,Non-sub-pixel,Default,White, 
634,2,4870.804938,10911.341115,0.102965,0.289708,0.307461,Non-sub-pixel,Default,White, 
634,3,7180.170370,10949.792477,0.182318,0.169709,0.249080,Non-sub-pixel,Default,White, 
651,2,2043.777778,9819.706874,-0.304684,-0.045852,0.308115,Non-sub-pixel,Default,White, 
651,3,4377.039506,9766.507134,-0.906128,0.199223,0.927771,Non-sub-pixel,Default,White, 
651,4,6803.085106,9893.666667,-1.512988,0.116162,1.517440,Non-sub-pixel,Default,White, 
651,5,4005.516717,7983.666667,-2.567533,0.776428,2.682362,Non-sub-pixel,Default,White, 
