Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
317," ","1,2,3,4",999604.592400,112344.399936,139.433959,0.013791,0.013696,0.028906,0.034833,0.010690,0.168785,14.815949,216,0.954677,1.295675,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3,4",255,255,255
333," ","1,2,3",1000134.467439,112591.203404,138.005526,0.014027,0.013809,0.029226,0.035236,0.003382,0.053396,14.838867,401,0.849183,1.135795,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3",255,255,255
347," ","2,3",1000460.328777,112765.827621,139.456428,0.014216,0.014156,0.029107,0.035351,0.001005,0.015866,6.474003,405,0.419644,0.555272,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
351," ","2,3,4,5",1000551.317776,112275.293613,139.873363,0.013865,0.013775,0.029022,0.034990,0.006291,0.099329,15.242162,406,0.989463,1.759356,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
375," ","1,3,4",999619.064960,112370.849814,138.954222,0.013922,0.013854,0.029023,0.035044,0.003040,0.047997,14.634680,305,0.708815,0.955371,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4",255,255,255
403," ","1",999170.670264,112692.546190,139.642807,0.014612,0.014565,0.029309,0.035842,n/a,n/a,n/a,309,0.255813,0.255813,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1",255,255,255
410," ","1,4,5",999974.456889,112476.815608,139.689302,0.013933,0.013816,0.029057,0.035062,0.005009,0.079093,25.773972,311,1.269903,1.596827,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
422," ","1,3,4,5",1000126.765992,112179.101934,138.551744,0.013676,0.013545,0.029014,0.034818,0.014710,0.232270,25.756128,313,1.138907,1.736162,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4,5",255,255,255
428," ","1,4,5",999971.956367,112044.579939,139.523025,0.014023,0.013973,0.029043,0.035148,0.004038,0.063759,25.408300,314,0.766145,1.044402,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
492," ","2,3,4",999606.876403,112342.364876,139.149404,0.014009,0.013939,0.028907,0.035017,0.002348,0.037076,13.221416,413,0.867255,1.062595,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4",255,255,255
552," ","3,4,5",1000575.051696,112258.179740,139.630562,0.014029,0.013974,0.029066,0.035170,0.002912,0.045978,13.439835,508,0.510479,0.645609,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"3,4,5",255,255,255
563," ","2,3,5",1000166.789949,112674.263343,138.761771,0.013925,0.013800,0.029146,0.035126,0.000739,0.011675,15.455356,511,0.753982,1.007298,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
590," ","4,5",999980.962756,112051.079572,139.412574,0.014181,0.014131,0.029112,0.035331,0.005494,0.086745,12.839609,515,1.018338,1.253379,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"4,5",255,255,255
607," ","2,3,5",1000502.490326,112625.898696,139.651434,0.013878,0.013925,0.029007,0.035041,0.004635,0.073181,15.541993,5212,0.722418,0.891807,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
634," ","2,3",1000441.905571,112677.067081,139.749652,0.014103,0.014054,0.029074,0.035238,0.000097,0.001535,6.543568,609,0.431866,0.439183,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
651," ","2,3,4,5",1000359.449435,112429.751634,139.163227,0.013594,0.013534,0.029063,0.034823,0.001967,0.031050,15.677953,610,0.406078,0.509692,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
745," ","1,2,3,5",1000007.359888,112644.632296,160.154140,0.039409,0.043094,0.226471,0.233879,0.007690,0.121414,25.857892, ,0.628305,0.906648,5,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,5",255,255,255
