Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type,Layer,Material,Tagged
317,1,5007.666667,7275.666667,0.605662,0.505322,0.788781,Non-sub-pixel,Default,White, 
317,2,1453.666667,1012.333333,0.845334,0.699517,1.097230,Non-sub-pixel,Default,White, 
317,3,4060.000000,912.333333,-0.090844,0.108657,0.141629,Non-sub-pixel,Default,White, 
317,4,6751.911854,1015.961089,0.898102,-0.223993,0.925614,Non-sub-pixel,Default,White, 
333,1,2158.250000,1135.500000,0.062195,0.321710,0.327667,Non-sub-pixel,Default,White, 
333,2,4039.000000,7293.333333,-0.618745,-0.615158,0.872505,Non-sub-pixel,Default,White, 
333,3,6455.659259,7294.808042,-0.535060,0.028790,0.535834,Non-sub-pixel,Default,White, 
347,2,5892.051852,11172.177691,0.179301,-0.134149,0.223930,Non-sub-pixel,Default,White, 
347,3,8197.333333,11243.666667,-0.499048,0.065441,0.503320,Non-sub-pixel,Default,White, 
351,2,148.666667,11965.666667,-0.073647,-0.181601,0.195967,Non-sub-pixel,Default,White, 
351,3,2409.155556,11859.132296,0.051006,-0.607536,0.609673,Non-sub-pixel,Default,White, 
351,4,4767.000000,11933.774319,-0.022005,0.533397,0.533851,Non-sub-pixel,Default,White, 
351,5,5681.000000,5699.775616,0.213061,-1.505904,1.520902,Non-sub-pixel,Default,White, 
375,1,4700.350617,7105.946822,0.162503,-0.077328,0.179963,Non-sub-pixel,Default,White, 
375,3,4354.797531,1106.042802,0.144892,0.474952,0.496561,Non-sub-pixel,Default,White, 
375,4,7042.500000,1218.887160,-0.761807,0.278774,0.811212,Non-sub-pixel,Default,White, 
403,1,955.138272,12311.166018,-0.193814,0.223859,0.296103,Non-sub-pixel,Default,White, 
410,1,3478.135802,2979.280156,-0.826036,-0.508932,0.970230,Non-sub-pixel,Default,White, 
410,4,7829.606383,5477.000000,1.209412,0.036836,1.209973,Non-sub-pixel,Default,White, 
410,5,3661.446809,12430.666667,-0.136789,-0.293387,0.323709,Non-sub-pixel,Default,White, 
422,1,6936.800000,1211.386511,-0.589620,-0.621518,0.856701,Non-sub-pixel,Default,White, 
422,3,1672.000000,6836.000000,0.948564,-0.621979,1.134298,Non-sub-pixel,Default,White, 
422,4,4180.512158,6874.666667,-0.251675,0.164193,0.300499,Non-sub-pixel,Default,White, 
422,5,7002.735562,10531.333333,1.676527,-0.084535,1.678657,Non-sub-pixel,Default,White, 
428,1,8503.600000,3004.577173,0.918851,0.040642,0.919749,Non-sub-pixel,Default,White, 
428,4,2811.500000,4908.713359,-0.056155,0.543373,0.546267,Non-sub-pixel,Default,White, 
428,5,8635.437690,12250.739300,0.088541,0.218995,0.236217,Non-sub-pixel,Default,White, 
492,2,1431.000000,1037.000000,-0.591075,-0.578113,0.826791,Non-sub-pixel,Default,White, 
492,3,4034.333333,937.333333,0.231905,-0.175129,0.290603,Non-sub-pixel,Default,White, 
492,4,6726.434650,1040.129702,-0.136678,-0.565253,0.581543,Non-sub-pixel,Default,White, 
552,3,2189.380247,12119.378729,-0.119502,0.308746,0.331066,Non-sub-pixel,Default,White, 
552,4,4537.729483,12186.420233,0.387932,-0.315391,0.499963,Non-sub-pixel,Default,White, 
552,5,5865.930091,5420.760052,-0.230708,0.421374,0.480398,Non-sub-pixel,Default,White, 
563,2,4984.000000,7714.333333,0.723436,0.349291,0.803346,Non-sub-pixel,Default,White, 
563,3,7392.600000,7745.875486,0.231468,0.210335,0.312759,Non-sub-pixel,Default,White, 
563,5,1300.744681,10316.106355,-0.120963,0.583736,0.596137,Non-sub-pixel,Default,White, 
590,4,2876.500000,5020.108949,-0.849283,-0.582859,1.030051,Non-sub-pixel,Default,White, 
590,5,8556.000000,12150.285344,-0.181886,0.423371,0.460788,Non-sub-pixel,Default,White, 
607,2,4245.395062,11587.654994,-0.658630,0.468410,0.808208,Non-sub-pixel,Default,White, 
607,3,6530.898765,11607.874189,-0.196306,-0.345169,0.397087,Non-sub-pixel,Default,White, 
607,5,1684.000000,6440.813230,-0.380486,-0.583700,0.696760,Non-sub-pixel,Default,White, 
634,2,4870.804938,10911.341115,0.271406,0.003268,0.271425,Non-sub-pixel,Default,White, 
634,3,7180.170370,10949.792477,0.306218,-0.029417,0.307628,Non-sub-pixel,Default,White, 
651,2,2043.777778,9819.706874,0.441666,-0.132041,0.460982,Non-sub-pixel,Default,White, 
651,3,4377.039506,9766.507134,-0.092019,0.043949,0.101976,Non-sub-pixel,Default,White, 
651,4,6803.085106,9893.666667,-0.418729,0.130398,0.438563,Non-sub-pixel,Default,White, 
651,5,4005.516717,7983.666667,-0.094407,0.360162,0.372330,Non-sub-pixel,Default,White, 
745,1,1498.000000,2554.599260,-0.141128,0.114963,0.182026,Non-sub-pixel,Default,White, 
745,2,4729.398936,5840.131936,-0.513270,0.119302,0.526952,Non-sub-pixel,Default,White, 
745,3,7224.484043,5858.274969,-0.375310,0.530601,0.649919,Non-sub-pixel,Default,White, 
745,5,1686.274667,12198.817509,-0.825271,0.453476,0.941654,Non-sub-pixel,Default,White, 
