Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type,Layer,Material,Tagged
317,1,5007.666667,7275.666667,0.617611,0.353098,0.711422,Non-sub-pixel,Default,White, 
317,2,1453.666667,1012.333333,0.646899,0.455002,0.790889,Non-sub-pixel,Default,White, 
317,3,4060.000000,912.333333,-0.450184,0.031829,0.451307,Non-sub-pixel,Default,White, 
317,4,6751.911854,1015.961089,0.420402,-0.127473,0.439303,Non-sub-pixel,Default,White, 
333,1,2158.250000,1135.500000,-0.316835,0.067571,0.323960,Non-sub-pixel,Default,White, 
333,2,4039.000000,7293.333333,-0.192306,-0.279603,0.339351,Non-sub-pixel,Default,White, 
333,3,6455.659259,7294.808042,-0.118799,0.335973,0.356358,Non-sub-pixel,Default,White, 
347,2,5892.051852,11172.177691,0.291257,-0.119719,0.314902,Non-sub-pixel,Default,White, 
347,3,8197.333333,11243.666667,-0.293789,0.124871,0.319225,Non-sub-pixel,Default,White, 
351,2,148.666667,11965.666667,0.064256,-0.267089,0.274709,Non-sub-pixel,Default,White, 
351,3,2409.155556,11859.132296,0.075489,-0.751980,0.755760,Non-sub-pixel,Default,White, 
351,4,4767.000000,11933.774319,-0.170911,0.239169,0.293960,Non-sub-pixel,Default,White, 
351,5,5681.000000,5699.775616,-0.045051,-0.914922,0.916030,Non-sub-pixel,Default,White, 
375,1,4700.350617,7105.946822,-0.347383,0.138556,0.373996,Non-sub-pixel,Default,White, 
375,3,4354.797531,1106.042802,0.308573,0.137117,0.337666,Non-sub-pixel,Default,White, 
375,4,7042.500000,1218.887160,-0.634005,0.135720,0.648369,Non-sub-pixel,Default,White, 
403,1,955.138272,12311.166018,-0.109110,0.111188,0.155781,Non-sub-pixel,Default,White, 
410,1,3478.135802,2979.280156,-0.068343,-0.121742,0.139613,Non-sub-pixel,Default,White, 
410,4,7829.606383,5477.000000,0.431669,-0.291143,0.520675,Non-sub-pixel,Default,White, 
410,5,3661.446809,12430.666667,0.565732,-0.094776,0.573616,Non-sub-pixel,Default,White, 
422,1,6936.800000,1211.386511,-0.346376,-0.380220,0.514338,Non-sub-pixel,Default,White, 
422,3,1672.000000,6836.000000,1.079568,-0.774369,1.328576,Non-sub-pixel,Default,White, 
422,4,4180.512158,6874.666667,-0.031854,0.114641,0.118984,Non-sub-pixel,Default,White, 
422,5,7002.735562,10531.333333,1.510739,-0.067546,1.512249,Non-sub-pixel,Default,White, 
428,1,8503.600000,3004.577173,0.685169,-0.118446,0.695332,Non-sub-pixel,Default,White, 
428,4,2811.500000,4908.713359,0.409761,0.185121,0.449637,Non-sub-pixel,Default,White, 
428,5,8635.437690,12250.739300,-0.223582,0.333837,0.401791,Non-sub-pixel,Default,White, 
492,2,1431.000000,1037.000000,-0.357479,-0.280200,0.454207,Non-sub-pixel,Default,White, 
492,3,4034.333333,937.333333,0.375043,0.276846,0.466156,Non-sub-pixel,Default,White, 
492,4,6726.434650,1040.129702,-0.039313,0.041726,0.057329,Non-sub-pixel,Default,White, 
552,3,2189.380247,12119.378729,-0.355861,0.514647,0.625698,Non-sub-pixel,Default,White, 
552,4,4537.729483,12186.420233,0.189515,-0.271201,0.330856,Non-sub-pixel,Default,White, 
552,5,5865.930091,5420.760052,-0.275435,0.255746,0.375860,Non-sub-pixel,Default,White, 
563,2,4984.000000,7714.333333,0.235414,0.199879,0.308822,Non-sub-pixel,Default,White, 
563,3,7392.600000,7745.875486,-0.092488,0.076698,0.120152,Non-sub-pixel,Default,White, 
563,5,1300.744681,10316.106355,0.075883,0.303053,0.312409,Non-sub-pixel,Default,White, 
590,4,2876.500000,5020.108949,-0.434703,-0.180248,0.470592,Non-sub-pixel,Default,White, 
590,5,8556.000000,12150.285344,-0.342749,-0.183213,0.388644,Non-sub-pixel,Default,White, 
607,2,4245.395062,11587.654994,-0.387984,0.346423,0.520135,Non-sub-pixel,Default,White, 
607,3,6530.898765,11607.874189,0.023946,-0.452076,0.452710,Non-sub-pixel,Default,White, 
607,5,1684.000000,6440.813230,-0.286325,-0.211358,0.355885,Non-sub-pixel,Default,White, 
634,2,4870.804938,10911.341115,-0.034610,0.008229,0.035574,Non-sub-pixel,Default,White, 
634,3,7180.170370,10949.792477,0.033380,0.005026,0.033757,Non-sub-pixel,Default,White, 
651,2,2043.777778,9819.706874,0.262358,-0.024036,0.263457,Non-sub-pixel,Default,White, 
651,3,4377.039506,9766.507134,-0.110673,0.092493,0.144234,Non-sub-pixel,Default,White, 
651,4,6803.085106,9893.666667,-0.140572,0.153807,0.208368,Non-sub-pixel,Default,White, 
651,5,4005.516717,7983.666667,-0.043243,0.282464,0.285755,Non-sub-pixel,Default,White, 
745,1,1498.000000,2554.599260,-0.115992,-0.049771,0.126220,Non-sub-pixel,Default,White, 
745,2,4729.398936,5840.131936,-0.521752,-0.038001,0.523134,Non-sub-pixel,Default,White, 
745,3,7224.484043,5858.274969,-0.466915,0.377021,0.600129,Non-sub-pixel,Default,White, 
745,5,1686.274667,12198.817509,-0.925869,0.292724,0.971041,Non-sub-pixel,Default,White, 
