Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
317," ","1,2,3,4",999604.609177,112344.362281,139.375959,0.008543,0.008484,0.017907,0.021579,0.008162,0.128876,14.796446,216,0.618121,0.790889,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3,4",255,255,255
333," ","1,2,3",1000134.413025,112591.259031,137.958244,0.008689,0.008554,0.018105,0.021828,0.003318,0.052388,14.821109,401,0.340147,0.356358,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3",255,255,255
347," ","2,3",1000460.318769,112765.850047,139.491459,0.008807,0.008769,0.018031,0.021900,0.001302,0.020558,6.474662,405,0.317071,0.319225,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
351," ","2,3,4,5",1000551.395104,112275.275428,139.754093,0.008590,0.008533,0.017979,0.021676,0.005174,0.081702,15.177636,406,0.626929,0.916030,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
375," ","1,3,4",999619.121147,112370.889723,138.947905,0.008624,0.008583,0.017980,0.021710,0.005429,0.085725,14.596775,305,0.474086,0.648369,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4",255,255,255
403," ","1",999170.632324,112692.508184,139.657089,0.009052,0.009023,0.018157,0.022204,n/a,n/a,n/a,309,0.155781,0.155781,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1",255,255,255
410," ","1,4,5",999974.515778,112476.718251,139.607585,0.008631,0.008559,0.018002,0.021721,0.004212,0.066513,25.682806,311,0.454470,0.573616,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
422," ","1,3,4,5",1000126.765185,112179.129065,138.648012,0.008472,0.008391,0.017975,0.021570,0.014768,0.233186,25.666008,313,1.040518,1.512249,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4,5",255,255,255
428," ","1,4,5",999971.971056,112044.648053,139.516129,0.008687,0.008657,0.017993,0.021775,0.005189,0.081928,25.318070,314,0.531381,0.695332,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
492," ","2,3,4",999606.828690,112342.392112,139.157476,0.008678,0.008635,0.017908,0.021693,0.002859,0.045146,13.191650,413,0.377223,0.466156,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4",255,255,255
552," ","3,4,5",1000575.035849,112258.135861,139.658043,0.008691,0.008657,0.018006,0.021788,0.004082,0.064454,13.371664,508,0.462686,0.625698,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"3,4,5",255,255,255
563," ","2,3,5",1000166.789365,112674.206559,138.847675,0.008627,0.008549,0.018056,0.021761,0.000644,0.010176,15.393961,511,0.262937,0.312409,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
590," ","4,5",999980.892443,112051.127923,139.432037,0.008785,0.008754,0.018035,0.021888,0.004668,0.073709,12.772138,515,0.431567,0.470592,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"4,5",255,255,255
607," ","2,3,5",1000502.531809,112625.935659,139.587814,0.008597,0.008626,0.017969,0.021708,0.004246,0.067049,15.477490,5212,0.448011,0.520135,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
634," ","2,3",1000441.908550,112677.039141,139.739199,0.008737,0.008707,0.018011,0.021830,0.000017,0.000273,6.544068,609,0.034677,0.035574,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
651," ","2,3,4,5",1000359.418730,112429.745681,139.270280,0.008422,0.008384,0.018005,0.021573,0.001026,0.016204,15.614734,610,0.231995,0.285755,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
745," ","1,2,3,5",1000007.356654,112644.635979,160.025476,0.024405,0.026711,0.140711,0.145288,0.007904,0.124802,25.766685, ,0.631007,0.971041,5,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,5",255,255,255
