Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
317," ","1,2,3,4",999604.609380,112344.362330,139.374978,0.008531,0.008473,0.017882,0.021549,0.008148,0.128651,14.796108,216,0.617229,0.790444,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3,4",255,255,255
333," ","1,2,3",1000134.412901,112591.259072,137.957367,0.008677,0.008543,0.018080,0.021798,0.003315,0.052337,14.820767,401,0.339476,0.356412,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3",255,255,255
347," ","2,3",1000460.318752,112765.850080,139.492103,0.008795,0.008757,0.018006,0.021869,0.001305,0.020607,6.474599,405,0.316963,0.318914,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
351," ","2,3,4,5",1000551.395619,112275.274978,139.751466,0.008578,0.008521,0.017954,0.021646,0.005172,0.081663,15.177249,406,0.624723,0.910783,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
375," ","1,3,4",999619.121559,112370.889731,138.948148,0.008612,0.008571,0.017955,0.021680,0.005448,0.086024,14.596614,305,0.474836,0.648748,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4",255,255,255
403," ","1",999170.631817,112692.507686,139.657287,0.009039,0.009010,0.018131,0.022173,n/a,n/a,n/a,309,0.152733,0.152733,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1",255,255,255
410," ","1,4,5",999974.515751,112476.718362,139.606865,0.008619,0.008547,0.017977,0.021691,0.004211,0.066488,25.682193,311,0.454732,0.573722,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
422," ","1,3,4,5",1000126.764880,112179.129296,138.649576,0.008461,0.008379,0.017950,0.021540,0.014761,0.233074,25.665425,313,1.039666,1.511367,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4,5",255,255,255
428," ","1,4,5",999971.971086,112044.648467,139.517038,0.008675,0.008645,0.017967,0.021744,0.005189,0.081942,25.317487,314,0.531004,0.694905,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
492," ","2,3,4",999606.828905,112342.392264,139.156518,0.008666,0.008623,0.017883,0.021663,0.002857,0.045108,13.191934,413,0.377078,0.466170,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4",255,255,255
552," ","3,4,5",1000575.035715,112258.135480,139.658574,0.008679,0.008645,0.017981,0.021757,0.004086,0.064525,13.371646,508,0.463325,0.626853,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"3,4,5",255,255,255
563," ","2,3,5",1000166.789292,112674.206377,138.849347,0.008615,0.008537,0.018031,0.021730,0.000646,0.010207,15.393594,511,0.260882,0.309741,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
590," ","4,5",999980.892168,112051.128230,139.431943,0.008773,0.008742,0.018010,0.021857,0.004673,0.073780,12.772113,515,0.431809,0.469930,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"4,5",255,255,255
607," ","2,3,5",1000502.532147,112625.935900,139.586476,0.008585,0.008614,0.017944,0.021677,0.004242,0.066988,15.477095,5212,0.445862,0.518507,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
634," ","2,3",1000441.908621,112677.039150,139.739187,0.008725,0.008694,0.017986,0.021799,0.000015,0.000237,6.544004,609,0.034672,0.035616,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
651," ","2,3,4,5",1000359.418406,112429.745597,139.272127,0.008410,0.008373,0.017980,0.021543,0.001022,0.016137,15.614371,610,0.229976,0.283765,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
745," ","1,2,3,5",1000007.356521,112644.635940,160.025290,0.024371,0.026674,0.140518,0.145089,0.007891,0.124598,25.766079, ,0.630010,0.969483,5,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,5",255,255,255
