Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type,Layer,Material,Tagged
317,1,5007.666667,7275.666667,0.198030,0.644131,0.673885,Non-sub-pixel,Default,White, 
317,2,1453.666667,1012.333333,1.159245,1.156170,1.637247,Non-sub-pixel,Default,White, 
317,3,4060.000000,912.333333,0.478076,0.332721,0.582460,Non-sub-pixel,Default,White, 
317,4,6751.911854,1015.961089,1.570833,-0.163377,1.579307,Non-sub-pixel,Default,White, 
333,1,2158.250000,1135.500000,0.660230,0.625537,0.909505,Non-sub-pixel,Default,White, 
333,2,4039.000000,7293.333333,-1.185012,-0.986152,1.541671,Non-sub-pixel,Default,White, 
333,3,6455.659259,7294.808042,-1.103526,-0.359306,1.160548,Non-sub-pixel,Default,White, 
347,2,5892.051852,11172.177691,0.178743,-0.092885,0.201436,Non-sub-pixel,Default,White, 
347,3,8197.333333,11243.666667,-0.610902,0.090681,0.617595,Non-sub-pixel,Default,White, 
351,2,148.666667,11965.666667,-0.351988,0.092432,0.363922,Non-sub-pixel,Default,White, 
351,3,2409.155556,11859.132296,-0.076734,-0.106354,0.131146,Non-sub-pixel,Default,White, 
351,4,4767.000000,11933.774319,-0.051550,1.186030,1.187150,Non-sub-pixel,Default,White, 
351,5,5681.000000,5699.775616,0.501185,-2.093902,2.153047,Non-sub-pixel,Default,White, 
375,1,4700.350617,7105.946822,0.707957,-0.151203,0.723923,Non-sub-pixel,Default,White, 
375,3,4354.797531,1106.042802,-0.223790,0.948728,0.974765,Non-sub-pixel,Default,White, 
375,4,7042.500000,1218.887160,-1.064386,0.559819,1.202628,Non-sub-pixel,Default,White, 
403,1,955.138272,12311.166018,-0.044235,0.186943,0.192105,Non-sub-pixel,Default,White, 
410,1,3478.135802,2979.280156,-1.860226,-0.774287,2.014935,Non-sub-pixel,Default,White, 
410,4,7829.606383,5477.000000,2.172928,0.157772,2.178649,Non-sub-pixel,Default,White, 
410,5,3661.446809,12430.666667,-1.061034,-0.355639,1.119049,Non-sub-pixel,Default,White, 
422,1,6936.800000,1211.386511,-0.749912,-0.951195,1.211256,Non-sub-pixel,Default,White, 
422,3,1672.000000,6836.000000,0.800936,-0.386124,0.889151,Non-sub-pixel,Default,White, 
422,4,4180.512158,6874.666667,-0.313252,0.306226,0.438065,Non-sub-pixel,Default,White, 
422,5,7002.735562,10531.333333,1.796830,-0.294679,1.820833,Non-sub-pixel,Default,White, 
428,1,8503.600000,3004.577173,1.231197,0.149166,1.240200,Non-sub-pixel,Default,White, 
428,4,2811.500000,4908.713359,-0.725532,0.868441,1.131630,Non-sub-pixel,Default,White, 
428,5,8635.437690,12250.739300,0.569384,0.151943,0.589309,Non-sub-pixel,Default,White, 
492,2,1431.000000,1037.000000,-0.925557,-1.135840,1.465192,Non-sub-pixel,Default,White, 
492,3,4034.333333,937.333333,0.019448,-0.948132,0.948331,Non-sub-pixel,Default,White, 
492,4,6726.434650,1040.129702,-0.382953,-1.471315,1.520336,Non-sub-pixel,Default,White, 
552,3,2189.380247,12119.378729,0.013836,-0.150748,0.151382,Non-sub-pixel,Default,White, 
552,4,4537.729483,12186.420233,0.629751,-0.651647,0.906217,Non-sub-pixel,Default,White, 
552,5,5865.930091,5420.760052,-0.292872,0.716860,0.774378,Non-sub-pixel,Default,White, 
563,2,4984.000000,7714.333333,1.250630,0.401182,1.313401,Non-sub-pixel,Default,White, 
563,3,7392.600000,7745.875486,0.719278,0.202591,0.747264,Non-sub-pixel,Default,White, 
563,5,1300.744681,10316.106355,-0.356308,0.734756,0.816592,Non-sub-pixel,Default,White, 
590,4,2876.500000,5020.108949,-1.247098,-0.952186,1.569049,Non-sub-pixel,Default,White, 
590,5,8556.000000,12150.285344,-0.106780,1.089056,1.094278,Non-sub-pixel,Default,White, 
607,2,4245.395062,11587.654994,-0.711341,0.722901,1.014195,Non-sub-pixel,Default,White, 
607,3,6530.898765,11607.874189,-0.307585,-0.036993,0.309802,Non-sub-pixel,Default,White, 
607,5,1684.000000,6440.813230,-0.313300,-0.951117,1.001389,Non-sub-pixel,Default,White, 
634,2,4870.804938,10911.341115,0.656651,-0.046799,0.658317,Non-sub-pixel,Default,White, 
634,3,7180.170370,10949.792477,0.630804,-0.075266,0.635278,Non-sub-pixel,Default,White, 
651,2,2043.777778,9819.706874,0.394974,-0.396911,0.559949,Non-sub-pixel,Default,White, 
651,3,4377.039506,9766.507134,-0.100976,-0.137627,0.170697,Non-sub-pixel,Default,White, 
651,4,6803.085106,9893.666667,-0.590292,0.159029,0.611339,Non-sub-pixel,Default,White, 
651,5,4005.516717,7983.666667,-0.085594,0.421986,0.430579,Non-sub-pixel,Default,White, 
745,1,1498.000000,2554.599260,-0.144053,0.268610,0.304799,Non-sub-pixel,Default,White, 
745,2,4729.398936,5840.131936,-0.461700,0.282201,0.541114,Non-sub-pixel,Default,White, 
745,3,7224.484043,5858.274969,-0.235235,0.616763,0.660100,Non-sub-pixel,Default,White, 
745,5,1686.274667,12198.817509,-0.647347,0.571996,0.863850,Non-sub-pixel,Default,White, 
