Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
317," ","1,2,3,4",999604.589845,112344.408681,139.437629,0.014969,0.014866,0.031375,0.037808,0.010884,0.171859,14.817065,216,1.025481,1.391157,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3,4",255,255,255
333," ","1,2,3",1000134.474877,112591.195269,138.006004,0.015225,0.014988,0.031722,0.038246,0.003385,0.053454,14.839645,401,0.957158,1.253564,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3",255,255,255
347," ","2,3",1000460.328876,112765.824992,139.454225,0.015430,0.015365,0.031593,0.038371,0.000989,0.015609,6.473222,405,0.432956,0.578121,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
351," ","2,3,4,5",1000551.308693,112275.291644,139.871993,0.015049,0.014952,0.031502,0.037979,0.006425,0.101443,15.247517,406,1.054472,1.869135,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
375," ","1,3,4",999619.059719,112370.843947,138.957401,0.015111,0.015038,0.031502,0.038038,0.002910,0.045954,14.639240,305,0.782398,1.021341,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4",255,255,255
403," ","1",999170.671385,112692.546642,139.641899,0.015860,0.015809,0.031812,0.038904,n/a,n/a,n/a,309,0.234306,0.234306,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1",255,255,255
410," ","1,4,5",999974.450494,112476.830530,139.696271,0.015123,0.014997,0.031539,0.038057,0.005081,0.080234,25.781614,311,1.426347,1.759818,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
422," ","1,3,4,5",1000126.763281,112179.099729,138.549037,0.014844,0.014702,0.031493,0.037793,0.014650,0.231316,25.763763,313,1.154790,1.762186,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4,5",255,255,255
428," ","1,4,5",999971.955121,112044.571466,139.528030,0.015221,0.015167,0.031524,0.038151,0.003867,0.061058,25.415955,314,0.835883,1.099902,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
492," ","2,3,4",999606.886206,112342.362675,139.140265,0.015206,0.015130,0.031376,0.038008,0.002479,0.039140,13.227481,413,0.994908,1.171974,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4",255,255,255
552," ","3,4,5",1000575.055137,112258.183138,139.632398,0.015227,0.015168,0.031550,0.038175,0.002793,0.044094,13.447710,508,0.552496,0.714873,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"3,4,5",255,255,255
563," ","2,3,5",1000166.790167,112674.270509,138.762343,0.015115,0.014979,0.031636,0.038127,0.000880,0.013900,15.460409,511,0.823841,1.096460,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
590," ","4,5",999980.970446,112051.075383,139.408695,0.015393,0.015338,0.031599,0.038349,0.005622,0.088765,12.847326,515,1.117984,1.350487,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"4,5",255,255,255
607," ","2,3,5",1000502.485009,112625.896066,139.650259,0.015063,0.015115,0.031485,0.038035,0.004572,0.072191,15.547278,5212,0.756818,0.928399,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
634," ","2,3",1000441.905583,112677.070824,139.750915,0.015308,0.015255,0.031558,0.038249,0.000081,0.001283,6.542802,609,0.493465,0.496416,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
651," ","2,3,4,5",1000359.452161,112429.751507,139.161635,0.014755,0.014691,0.031546,0.037798,0.002239,0.035360,15.683267,610,0.423316,0.536868,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
745," ","1,2,3,5",1000007.359722,112644.632085,160.168575,n/a,n/a,n/a,n/a,0.007715,0.121819,25.865495, ,0.632200,0.901141,5,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,5",255,255,255
