Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type,Layer,Material,Tagged
317,1,5007.666667,7275.666667,0.198028,0.644130,0.673884,Non-sub-pixel,Default,White, 
317,2,1453.666667,1012.333333,1.159245,1.156171,1.637248,Non-sub-pixel,Default,White, 
317,3,4060.000000,912.333333,0.478077,0.332723,0.582462,Non-sub-pixel,Default,White, 
317,4,6751.911854,1015.961089,1.570800,-0.163372,1.579273,Non-sub-pixel,Default,White, 
333,1,2158.250000,1135.500000,0.660228,0.625535,0.909503,Non-sub-pixel,Default,White, 
333,2,4039.000000,7293.333333,-1.185012,-0.986152,1.541671,Non-sub-pixel,Default,White, 
333,3,6455.659259,7294.808042,-1.103527,-0.359306,1.160548,Non-sub-pixel,Default,White, 
347,2,5892.051852,11172.177691,0.178743,-0.092884,0.201436,Non-sub-pixel,Default,White, 
347,3,8197.333333,11243.666667,-0.610901,0.090680,0.617595,Non-sub-pixel,Default,White, 
351,2,148.666667,11965.666667,-0.351988,0.092429,0.363921,Non-sub-pixel,Default,White, 
351,3,2409.155556,11859.132296,-0.076732,-0.106354,0.131145,Non-sub-pixel,Default,White, 
351,4,4767.000000,11933.774319,-0.051600,1.186045,1.187167,Non-sub-pixel,Default,White, 
351,5,5681.000000,5699.775616,0.501179,-2.093904,2.153048,Non-sub-pixel,Default,White, 
375,1,4700.350617,7105.946822,0.707955,-0.151202,0.723922,Non-sub-pixel,Default,White, 
375,3,4354.797531,1106.042802,-0.223790,0.948727,0.974764,Non-sub-pixel,Default,White, 
375,4,7042.500000,1218.887160,-1.064405,0.559851,1.202660,Non-sub-pixel,Default,White, 
403,1,955.138272,12311.166018,-0.044233,0.186943,0.192105,Non-sub-pixel,Default,White, 
410,1,3478.135802,2979.280156,-1.860224,-0.774284,2.014932,Non-sub-pixel,Default,White, 
410,4,7829.606383,5477.000000,2.172996,0.157827,2.178720,Non-sub-pixel,Default,White, 
410,5,3661.446809,12430.666667,-1.061034,-0.355650,1.119053,Non-sub-pixel,Default,White, 
422,1,6936.800000,1211.386511,-0.749915,-0.951194,1.211257,Non-sub-pixel,Default,White, 
422,3,1672.000000,6836.000000,0.800936,-0.386125,0.889152,Non-sub-pixel,Default,White, 
422,4,4180.512158,6874.666667,-0.313279,0.306266,0.438113,Non-sub-pixel,Default,White, 
422,5,7002.735562,10531.333333,1.796825,-0.294668,1.820827,Non-sub-pixel,Default,White, 
428,1,8503.600000,3004.577173,1.231200,0.149164,1.240202,Non-sub-pixel,Default,White, 
428,4,2811.500000,4908.713359,-0.725473,0.868385,1.131549,Non-sub-pixel,Default,White, 
428,5,8635.437690,12250.739300,0.569386,0.151944,0.589311,Non-sub-pixel,Default,White, 
492,2,1431.000000,1037.000000,-0.925555,-1.135839,1.465191,Non-sub-pixel,Default,White, 
492,3,4034.333333,937.333333,0.019449,-0.948130,0.948330,Non-sub-pixel,Default,White, 
492,4,6726.434650,1040.129702,-0.382986,-1.471313,1.520342,Non-sub-pixel,Default,White, 
552,3,2189.380247,12119.378729,0.013837,-0.150750,0.151384,Non-sub-pixel,Default,White, 
552,4,4537.729483,12186.420233,0.629700,-0.651617,0.906161,Non-sub-pixel,Default,White, 
552,5,5865.930091,5420.760052,-0.292879,0.716855,0.774376,Non-sub-pixel,Default,White, 
563,2,4984.000000,7714.333333,1.250629,0.401182,1.313400,Non-sub-pixel,Default,White, 
563,3,7392.600000,7745.875486,0.719278,0.202591,0.747264,Non-sub-pixel,Default,White, 
563,5,1300.744681,10316.106355,-0.356313,0.734757,0.816594,Non-sub-pixel,Default,White, 
590,4,2876.500000,5020.108949,-1.247045,-0.952234,1.569035,Non-sub-pixel,Default,White, 
590,5,8556.000000,12150.285344,-0.106778,1.089058,1.094280,Non-sub-pixel,Default,White, 
607,2,4245.395062,11587.654994,-0.711340,0.722900,1.014194,Non-sub-pixel,Default,White, 
607,3,6530.898765,11607.874189,-0.307585,-0.036994,0.309802,Non-sub-pixel,Default,White, 
607,5,1684.000000,6440.813230,-0.313282,-0.951110,1.001377,Non-sub-pixel,Default,White, 
634,2,4870.804938,10911.341115,0.656651,-0.046799,0.658317,Non-sub-pixel,Default,White, 
634,3,7180.170370,10949.792477,0.630804,-0.075267,0.635278,Non-sub-pixel,Default,White, 
651,2,2043.777778,9819.706874,0.394973,-0.396907,0.559946,Non-sub-pixel,Default,White, 
651,3,4377.039506,9766.507134,-0.100978,-0.137623,0.170694,Non-sub-pixel,Default,White, 
651,4,6803.085106,9893.666667,-0.590266,0.158954,0.611294,Non-sub-pixel,Default,White, 
651,5,4005.516717,7983.666667,-0.085586,0.421993,0.430584,Non-sub-pixel,Default,White, 
745,1,1498.000000,2554.599260,-0.144051,0.268612,0.304800,Non-sub-pixel,Default,White, 
745,2,4729.398936,5840.131936,-0.461703,0.282198,0.541115,Non-sub-pixel,Default,White, 
745,3,7224.484043,5858.274969,-0.235238,0.616761,0.660099,Non-sub-pixel,Default,White, 
745,5,1686.274667,12198.817509,-0.647354,0.571988,0.863850,Non-sub-pixel,Default,White, 
