Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
317," ","1,2,3,4",999604.583900,112344.428345,139.442294,0.020047,0.019945,0.042223,0.050818,0.005712,0.214968,14.879071,216,1.154951,1.997314,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3,4",255,255,255
333," ","1,2,3",1000134.492858,112591.191684,138.008913,0.020191,0.020068,0.042593,0.051230,0.005491,0.206672,14.902416,401,1.632429,1.980464,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3",255,255,255
347," ","2,3",1000460.336948,112765.831923,139.464287,0.020685,0.020594,0.042523,0.051577,0.000242,0.009093,6.495054,405,0.780810,1.029547,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
351," ","2,3,4,5",1000551.283960,112275.293259,139.855513,0.020128,0.019943,0.042283,0.050899,0.008700,0.327444,15.188427,406,1.897294,2.891563,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
375," ","1,3,4",999619.057843,112370.840666,138.958145,0.020237,0.020184,0.042418,0.051149,0.009113,0.343006,14.633014,305,1.940695,2.581791,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4",255,255,255
403," ","1",999170.663999,112692.527910,139.636358,0.021234,0.021137,0.042791,0.052237,n/a,n/a,n/a,309,2.355022,2.355022,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1",255,255,255
410," ","1,4,5",999974.449809,112476.826377,139.698597,0.020140,0.020068,0.042409,0.051057,0.004883,0.183780,25.754663,311,2.548977,3.105128,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
422," ","1,3,4,5",1000126.759510,112179.092533,138.552865,0.019851,0.019717,0.042395,0.050796,0.008165,0.307316,25.737520,313,1.478967,2.137204,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4,5",255,255,255
428," ","1,4,5",999971.954400,112044.551653,139.542571,0.020239,0.020228,0.042397,0.051149,0.006483,0.243999,25.392333,314,1.603231,2.461132,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
492," ","2,3,4",999606.896047,112342.384995,139.129151,0.020361,0.020217,0.042226,0.051053,0.003198,0.120379,13.187177,413,1.746136,2.440992,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4",255,255,255
509," ","1,2,3,4,5",1000132.743428,112336.295726,161.571807,0.047463,0.046240,0.266056,0.274184,0.011131,0.418953,26.192424,415,2.015778,3.107381,5,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5",255,255,255
552," ","3,4,5",1000575.046781,112258.185892,139.626617,0.020354,0.020222,0.042431,0.051221,0.009494,0.357349,13.383612,508,2.058055,3.052759,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"3,4,5",255,255,255
563," ","2,3,5",1000166.796876,112674.275605,138.758412,0.020196,0.020109,0.042614,0.051266,0.007685,0.289227,15.398628,511,1.877707,2.909278,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
590," ","4,5",999980.981859,112051.068952,139.409380,0.020612,0.020541,0.042552,0.051551,0.009327,0.351046,12.783989,515,2.375525,2.686871,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"4,5",255,255,255
607," ","2,3,5",1000502.479369,112625.886077,139.644073,0.020219,0.020193,0.042424,0.051150,0.007678,0.288968,15.486328,5212,1.702036,2.334246,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
634," ","2,3",1000441.911588,112677.084557,139.760706,0.020582,0.020512,0.042540,0.051517,0.000225,0.008454,6.564713,609,0.318613,0.347180,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
651," ","2,3,4,5",1000359.451254,112429.752574,139.161119,0.019753,0.019724,0.042496,0.050844,0.008048,0.302912,15.622028,610,1.614419,2.662779,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
