Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type,Layer,Material,Tagged
65231,3,4520.756641,11094.897146,1.063534,0.477326,1.165738,SmartPoint,Default,SurfaceDefault, 
65231,4,6907.297852,11228.656107,-1.020150,-0.990807,1.422112,SmartPoint,Default,SurfaceDefault, 
65231,5,3702.654845,6698.899673,0.139385,-0.543050,0.560653,SmartPoint,Default,SurfaceDefault, 
65234,2,1548.142419,10937.690813,-0.185290,-1.344464,1.357172,SmartPoint,Default,SurfaceDefault, 
65234,3,3838.289755,10874.734034,0.875176,1.099593,1.405361,SmartPoint,Default,SurfaceDefault, 
65234,4,6225.953890,10986.989522,-1.402067,-0.225214,1.420040,SmartPoint,Default,SurfaceDefault, 
65234,5,4397.524937,6825.812678,-0.693532,-0.597580,0.915471,SmartPoint,Default,SurfaceDefault, 
65235,3,5435.092611,8870.269724,-0.247402,-0.137347,0.282970,SmartPoint,Default,SurfaceDefault, 
65235,4,7887.251036,9028.078371,0.470324,0.332533,0.576006,SmartPoint,Default,SurfaceDefault, 
65235,5,3075.000556,8980.834611,0.190273,0.238757,0.305302,SmartPoint,Default,SurfaceDefault, 
65239,3,4426.226552,10980.267308,0.156824,1.764606,1.771561,SmartPoint,Default,SurfaceDefault, 
65239,4,6811.524798,11108.711742,0.240163,-1.689946,1.706926,SmartPoint,Default,SurfaceDefault, 
65239,5,3809.675128,6797.181923,0.443820,0.132708,0.463236,SmartPoint,Default,SurfaceDefault, 
65242,2,3267.416288,9185.159906,-0.987248,-1.360107,1.680640,SmartPoint,Default,SurfaceDefault, 
65242,3,5618.862587,9170.661032,1.287372,1.423010,1.918928,SmartPoint,Default,SurfaceDefault, 
65242,4,8063.955072,9333.217852,-0.294590,0.282575,0.408206,SmartPoint,Default,SurfaceDefault, 
65242,5,2858.924870,8709.168186,-0.087392,0.370877,0.381035,SmartPoint,Default,SurfaceDefault, 
65246,2,2054.559274,9771.322022,0.146454,0.126789,0.193712,SmartPoint,Default,SurfaceDefault, 
65246,3,4389.511636,9719.323216,-0.288038,1.366843,1.396863,SmartPoint,Default,SurfaceDefault, 
65246,4,6816.350177,9843.999360,0.092522,-1.487665,1.490539,SmartPoint,Default,SurfaceDefault, 
65253,3,2581.603365,7620.412104,-0.602189,1.469953,1.588519,SmartPoint,Default,SurfaceDefault, 
65253,4,5067.066155,7685.407440,1.173432,-0.964935,1.519224,SmartPoint,Default,SurfaceDefault, 
65253,5,6015.728149,9874.948412,0.541204,0.615802,0.819825,SmartPoint,Default,SurfaceDefault, 
65257,1,3025.657162,749.528013,1.682628,-0.260012,1.702599,SmartPoint,Default,SurfaceDefault, 
65257,3,5549.423673,7611.692051,0.784960,0.110027,0.792633,SmartPoint,Default,SurfaceDefault, 
65257,4,8041.630359,7769.140579,0.841176,-0.515817,0.986734,SmartPoint,Default,SurfaceDefault, 
65265,2,1481.355612,847.884296,-0.194369,0.177126,0.262970,SmartPoint,Default,SurfaceDefault, 
65265,3,4093.118385,747.748572,0.367995,-0.162127,0.402126,SmartPoint,Default,SurfaceDefault, 
65265,4,6793.445890,852.019844,-0.180010,-0.014818,0.180619,SmartPoint,Default,SurfaceDefault, 
65269,3,4027.633638,11083.239032,1.366116,0.561747,1.477103,SmartPoint,Default,SurfaceDefault, 
65269,4,6409.886210,11201.828590,-0.165127,-0.862433,0.878099,SmartPoint,Default,SurfaceDefault, 
65269,5,4184.912947,6646.702563,1.274375,-0.159656,1.284337,SmartPoint,Default,SurfaceDefault, 
65276,3,1456.640288,10945.239026,-0.317874,0.021827,0.318623,SmartPoint,Default,SurfaceDefault, 
65276,4,3839.698236,10986.356010,0.056903,0.059039,0.081998,SmartPoint,Default,SurfaceDefault, 
65276,5,6720.655916,6483.125672,-0.273926,0.050139,0.278477,SmartPoint,Default,SurfaceDefault, 
65278,3,886.970919,8965.090922,-0.360967,0.797871,0.875726,SmartPoint,Default,SurfaceDefault, 
65278,4,3326.669555,8982.327967,0.629132,-0.522332,0.817702,SmartPoint,Default,SurfaceDefault, 
65278,5,7516.800521,8352.357231,0.251136,0.330369,0.414986,SmartPoint,Default,SurfaceDefault, 
65288,2,2980.343553,9332.546265,-0.059667,0.849237,0.851330,SmartPoint,Default,SurfaceDefault, 
65288,3,5330.167468,9305.447997,-1.734114,-0.493769,1.803041,SmartPoint,Default,SurfaceDefault, 
65288,5,3129.347008,8540.595111,-1.826138,0.139737,1.831477,SmartPoint,Default,SurfaceDefault, 
65289,1,6907.700275,496.387603,0.335817,0.079458,0.345089,SmartPoint,Default,SurfaceDefault, 
65289,3,1642.645406,7553.544258,0.612193,0.354466,0.707408,SmartPoint,Default,SurfaceDefault, 
65289,4,4129.165152,7591.746448,0.767901,-0.072048,0.771274,SmartPoint,Default,SurfaceDefault, 
65289,5,6942.734902,9827.561874,1.017614,0.381285,1.086700,SmartPoint,Default,SurfaceDefault, 
65291,2,2857.934411,8099.829976,-0.509638,-0.289666,0.586206,SmartPoint,Default,SurfaceDefault, 
65291,3,5246.362939,8066.710693,-0.067221,0.146329,0.161030,SmartPoint,Default,SurfaceDefault, 
65291,4,7724.674122,8216.964252,0.309901,0.600466,0.675720,SmartPoint,Default,SurfaceDefault, 
65291,5,3354.998625,9748.873040,-0.352681,0.452629,0.573809,SmartPoint,Default,SurfaceDefault, 
65297,3,496.463388,6327.802954,-1.026208,-0.087966,1.029972,SmartPoint,Default,SurfaceDefault, 
65297,4,3024.623870,6329.613066,-0.082047,0.270205,0.282387,SmartPoint,Default,SurfaceDefault, 
65297,5,8217.996486,10907.616410,-1.141373,0.043414,1.142198,SmartPoint,Default,SurfaceDefault, 
65298,2,1886.133340,11135.994035,-0.144867,0.964181,0.975003,SmartPoint,Default,SurfaceDefault, 
65298,3,4174.173638,11081.220041,0.240513,0.361122,0.433884,SmartPoint,Default,SurfaceDefault, 
65298,4,6556.831014,11204.037952,-0.166292,-1.317107,1.327564,SmartPoint,Default,SurfaceDefault, 
65299,3,1595.059110,12010.459424,1.472761,0.277178,1.498617,SmartPoint,Default,SurfaceDefault, 
65299,4,3946.212450,12058.106136,0.361627,-0.450516,0.577701,SmartPoint,Default,SurfaceDefault, 
65299,5,6453.738721,5455.410495,1.879417,0.062961,1.880472,SmartPoint,Default,SurfaceDefault, 
65304,2,3051.156576,4158.218689,0.343089,1.342938,1.386071,SmartPoint,Default,SurfaceDefault, 
65304,3,5565.729486,4116.499129,-0.753098,-0.086629,0.758064,SmartPoint,Default,SurfaceDefault, 
65304,4,8164.162714,4267.779105,0.331525,-1.248151,1.291429,SmartPoint,Default,SurfaceDefault, 
65312,2,2638.025920,10383.476139,0.173458,-1.708073,1.716858,SmartPoint,Default,SurfaceDefault, 
65312,3,4954.144368,10352.633906,-0.256262,0.482423,0.546262,SmartPoint,Default,SurfaceDefault, 
65312,4,7361.413289,10499.763264,0.173428,1.216102,1.228406,SmartPoint,Default,SurfaceDefault, 
65322,2,1672.564471,11183.380573,-0.270198,1.065603,1.099326,SmartPoint,Default,SurfaceDefault, 
65322,3,3957.383531,11120.984332,0.476549,-0.615637,0.778529,SmartPoint,Default,SurfaceDefault, 
65322,4,6337.872527,11239.114884,-0.253585,-0.444279,0.511556,SmartPoint,Default,SurfaceDefault, 
65323,1,6133.704289,2001.059576,1.505064,-0.014404,1.505132,SmartPoint,Default,SurfaceDefault, 
65323,3,2528.999866,6103.509847,1.128965,0.569260,1.264365,SmartPoint,Default,SurfaceDefault, 
65323,4,5063.806579,6165.221810,0.344469,-0.706736,0.786215,SmartPoint,Default,SurfaceDefault, 
65325,3,1666.474050,9401.373876,1.063130,0.536949,1.191033,SmartPoint,Default,SurfaceDefault, 
65325,4,4098.951938,9443.530497,-0.340224,-0.843595,0.909617,SmartPoint,Default,SurfaceDefault, 
65325,5,6697.554384,8020.393935,0.790883,-0.228818,0.823319,SmartPoint,Default,SurfaceDefault, 
65331,3,3043.803757,7206.016538,-0.397483,1.256313,1.317693,SmartPoint,Default,SurfaceDefault, 
65331,4,5556.791563,7285.299753,1.715145,-0.620591,1.823967,SmartPoint,Default,SurfaceDefault, 
65331,5,5609.512194,10361.678648,1.265393,0.854944,1.527138,SmartPoint,Default,SurfaceDefault, 
65332,3,4978.302460,8326.600022,-1.372682,-0.131031,1.378921,SmartPoint,Default,SurfaceDefault, 
65332,4,7448.880346,8469.420647,0.282993,0.477294,0.554883,SmartPoint,Default,SurfaceDefault, 
65332,5,3587.883021,9465.996401,-1.156331,0.223057,1.177648,SmartPoint,Default,SurfaceDefault, 
65338,3,2145.812071,8342.099402,1.011178,0.907921,1.358971,SmartPoint,Default,SurfaceDefault, 
65338,4,4611.828586,8396.021486,0.538026,-0.926480,1.071372,SmartPoint,Default,SurfaceDefault, 
65338,5,6353.640013,9117.782288,1.587409,0.189411,1.598669,SmartPoint,Default,SurfaceDefault, 
65339,3,2458.293662,7937.051057,-0.896182,1.549927,1.790367,SmartPoint,Default,SurfaceDefault, 
65339,4,4934.599603,7998.615482,0.436553,-1.216728,1.292674,SmartPoint,Default,SurfaceDefault, 
65339,5,6099.957311,9550.383677,-0.465571,0.293747,0.550494,SmartPoint,Default,SurfaceDefault, 
65341,1,7051.750380,4540.055511,0.623523,-0.716582,0.949880,SmartPoint,Default,SurfaceDefault, 
65341,3,1807.741035,3452.866818,-0.953343,-1.064653,1.429107,SmartPoint,Default,SurfaceDefault, 
65341,4,4436.630068,3491.678196,1.525805,0.257677,1.547410,SmartPoint,Default,SurfaceDefault, 
