Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type,Layer,Material,Tagged
2,1,1429.187065,1456.427823,-0.126644,0.188202,0.226846,LSM Circular,Default,White, 
2,2,666.583514,1126.807078,-0.164014,0.081353,0.183081,LSM Circular,Default,White, 
2,3,716.264669,1196.788962,0.179513,0.090339,0.200963,LSM Circular,Default,White, 
2,4,674.145595,442.969428,0.127422,-0.078903,0.149873,LSM Circular,Default,White, 
2,5,330.056929,836.292587,0.077312,-0.019657,0.079771,LSM Circular,Default,White, 
2,6,1147.101715,39.253316,0.474934,-0.226492,0.526176,LSM Circular,Default,White, 
2,7,465.008487,433.370888,-0.302422,-0.261122,0.399554,LSM Circular,Default,White, 
2,8,1447.332601,265.483646,0.067637,-0.021502,0.070973,LSM Circular,Default,White, 
2,9,891.621564,106.876340,-0.243744,-0.007040,0.243846,LSM Circular,Default,White, 
2,10,1786.830850,612.590227,-0.082821,0.059789,0.102147,LSM Circular,Default,White, 
2,11,1403.703417,254.344279,0.287153,0.009402,0.287306,LSM Circular,Default,White, 
2,12,1805.299804,1112.571350,-0.106221,-0.002828,0.106259,LSM Circular,Default,White, 
2,13,1852.714000,434.892537,0.143316,-0.214898,0.258303,LSM Circular,Default,White, 
2,14,1535.253794,1522.337187,0.055081,0.190811,0.198602,LSM Circular,Default,White, 
2,15,1893.353968,782.610709,-0.275948,-0.282389,0.394831,LSM Circular,Default,White, 
2,16,1239.005087,1519.029594,0.069320,0.235179,0.245182,LSM Circular,Default,White, 
2,17,1327.663358,1545.172057,0.173965,-0.130477,0.217458,LSM Circular,Default,White, 
2,18,1590.356813,591.258402,0.153413,0.057180,0.163722,LSM Circular,Default,White, 
2,19,2000.811094,556.383867,0.182451,0.097323,0.206785,LSM Circular,Default,White, 
2,20,1702.511757,1563.386686,0.197743,-0.318495,0.374889,LSM Circular,Default,White, 
2,21,1104.525356,1572.683427,0.249465,-0.104450,0.270449,LSM Circular,Default,White, 
3,1,1217.855705,1456.179803,-0.154818,0.080279,0.174394,LSM Circular,Default,White, 
3,2,666.277886,946.199721,-0.339403,0.212442,0.400407,LSM Circular,Default,White, 
3,3,610.806582,1087.075242,0.151137,0.007612,0.151328,LSM Circular,Default,White, 
3,4,786.727095,344.151231,0.116790,-0.056785,0.129864,LSM Circular,Default,White, 
3,5,371.177651,688.645343,0.154908,-0.056835,0.165006,LSM Circular,Default,White, 
3,6,1291.300635,74.918540,0.376798,-0.322732,0.496118,LSM Circular,Default,White, 
3,7,579.287495,350.976304,-0.193437,-0.199429,0.277831,LSM Circular,Default,White, 
