Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type,Layer,Material,Tagged
317,1,5007.666667,7275.666667,0.186794,0.668004,0.693629,Non-sub-pixel,Default,White, 
317,2,1453.666667,1012.333333,1.048622,1.097807,1.518153,Non-sub-pixel,Default,White, 
317,3,4060.000000,912.333333,0.406643,0.306539,0.509240,Non-sub-pixel,Default,White, 
317,4,6751.911854,1015.961089,1.577585,-0.164095,1.586096,Non-sub-pixel,Default,White, 
333,1,2158.250000,1135.500000,0.608004,0.783931,0.992077,Non-sub-pixel,Default,White, 
333,2,4039.000000,7293.333333,-1.292963,-0.799305,1.520080,Non-sub-pixel,Default,White, 
333,3,6455.659259,7294.808042,-1.129768,-0.187311,1.145191,Non-sub-pixel,Default,White, 
347,2,5892.051852,11172.177691,0.256206,-0.176517,0.311127,Non-sub-pixel,Default,White, 
347,3,8197.333333,11243.666667,-0.491810,0.098257,0.501529,Non-sub-pixel,Default,White, 
351,2,148.666667,11965.666667,-0.385392,0.181455,0.425973,Non-sub-pixel,Default,White, 
351,3,2409.155556,11859.132296,-0.152843,-0.085321,0.175045,Non-sub-pixel,Default,White, 
351,4,4767.000000,11933.774319,-0.050113,1.184157,1.185217,Non-sub-pixel,Default,White, 
351,5,5681.000000,5699.775616,0.454368,-2.027024,2.077324,Non-sub-pixel,Default,White, 
375,1,4700.350617,7105.946822,0.701050,-0.123642,0.711870,Non-sub-pixel,Default,White, 
375,3,4354.797531,1106.042802,-0.309737,0.939498,0.989238,Non-sub-pixel,Default,White, 
375,4,7042.500000,1218.887160,-1.062940,0.556263,1.199696,Non-sub-pixel,Default,White, 
403,1,955.138272,12311.166018,-0.093960,0.161494,0.186839,Non-sub-pixel,Default,White, 
410,1,3478.135802,2979.280156,-1.862485,-0.707935,1.992491,Non-sub-pixel,Default,White, 
410,4,7829.606383,5477.000000,2.164562,0.174197,2.171560,Non-sub-pixel,Default,White, 
410,5,3661.446809,12430.666667,-1.239095,-0.184051,1.252690,Non-sub-pixel,Default,White, 
422,1,6936.800000,1211.386511,-0.742656,-0.922969,1.184656,Non-sub-pixel,Default,White, 
422,3,1672.000000,6836.000000,0.763841,-0.228744,0.797356,Non-sub-pixel,Default,White, 
422,4,4180.512158,6874.666667,-0.317430,0.304796,0.440071,Non-sub-pixel,Default,White, 
422,5,7002.735562,10531.333333,1.676787,-0.300971,1.703584,Non-sub-pixel,Default,White, 
428,1,8503.600000,3004.577173,1.200879,0.141761,1.209217,Non-sub-pixel,Default,White, 
428,4,2811.500000,4908.713359,-0.729803,0.864318,1.131220,Non-sub-pixel,Default,White, 
428,5,8635.437690,12250.739300,0.485030,0.009508,0.485123,Non-sub-pixel,Default,White, 
492,2,1431.000000,1037.000000,-1.032790,-1.196123,1.580305,Non-sub-pixel,Default,White, 
492,3,4034.333333,937.333333,-0.050340,-0.974767,0.976066,Non-sub-pixel,Default,White, 
492,4,6726.434650,1040.129702,-0.375953,-1.473148,1.520364,Non-sub-pixel,Default,White, 
552,3,2189.380247,12119.378729,-0.068668,-0.138004,0.154145,Non-sub-pixel,Default,White, 
552,4,4537.729483,12186.420233,0.630228,-0.648108,0.904009,Non-sub-pixel,Default,White, 
552,5,5865.930091,5420.760052,-0.330409,0.775633,0.843075,Non-sub-pixel,Default,White, 
563,2,4984.000000,7714.333333,1.181813,0.586401,1.319299,Non-sub-pixel,Default,White, 
563,3,7392.600000,7745.875486,0.724495,0.374999,0.815792,Non-sub-pixel,Default,White, 
563,5,1300.744681,10316.106355,-0.403050,1.025082,1.101473,Non-sub-pixel,Default,White, 
590,4,2876.500000,5020.108949,-1.250029,-0.955539,1.573412,Non-sub-pixel,Default,White, 
590,5,8556.000000,12150.285344,-0.194796,0.954367,0.974044,Non-sub-pixel,Default,White, 
607,2,4245.395062,11587.654994,-0.732973,0.669157,0.992482,Non-sub-pixel,Default,White, 
607,3,6530.898765,11607.874189,-0.251693,-0.033558,0.253920,Non-sub-pixel,Default,White, 
607,5,1684.000000,6440.813230,-0.276998,-0.803798,0.850188,Non-sub-pixel,Default,White, 
634,2,4870.804938,10911.341115,0.652588,-0.075310,0.656919,Non-sub-pixel,Default,White, 
634,3,7180.170370,10949.792477,0.698120,-0.043363,0.699466,Non-sub-pixel,Default,White, 
651,2,2043.777778,9819.706874,0.303777,-0.287571,0.418303,Non-sub-pixel,Default,White, 
651,3,4377.039506,9766.507134,-0.137859,-0.029412,0.140961,Non-sub-pixel,Default,White, 
651,4,6803.085106,9893.666667,-0.587662,0.155938,0.607999,Non-sub-pixel,Default,White, 
651,5,4005.516717,7983.666667,-0.174306,0.550125,0.577079,Non-sub-pixel,Default,White, 
