Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Photos (used),Tightness (percent),Tightness (project units),Angle (deg.),RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,Precision Vector Length,Photos (marked)
65234," ",1000458.433054,112391.076054,135.565534,0.078214,0.050208,0.380257,"2,3,4,5",0.005489,0.206582,15.480771,1.299208,1.439643,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.391451,"2,3,4,5"
65242," ",1000300.461288,112532.297784,137.020674,0.057137,0.055944,0.378596,"2,3,4,5",0.006300,0.237106,15.631440,1.301238,1.907620,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.386948,"2,3,4,5"
65289," ",1000188.245342,112181.528968,139.498373,0.053857,0.055745,0.300197,"1,3,4,5",0.004007,0.150818,25.702279,0.755873,1.071993,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.310042,"1,3,4,5"
65291," ",1000208.415606,112492.962698,139.024523,0.050750,0.052248,0.373314,"2,3,4,5",0.002071,0.077959,15.616949,0.546600,0.686507,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.380353,"2,3,4,5"
65360," ",1000401.519295,112299.289727,140.029103,0.069560,0.054292,0.378780,"2,3,4,5",0.005600,0.210772,15.493612,1.083313,1.559984,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.388922,"2,3,4,5"
65377," ",1000251.812872,112510.800967,137.094717,0.052941,0.053772,0.375864,"2,3,4,5",0.003981,0.149839,15.622062,0.709952,1.087019,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.383364,"2,3,4,5"
65378," ",1000425.166988,112362.251325,135.956675,0.072965,0.050610,0.378972,"2,3,4,5",0.004231,0.159242,15.502921,0.895540,1.141314,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.389237,"2,3,4,5"
65386," ",1000158.311695,112262.828136,144.268596,0.052083,0.050641,0.292285,"1,3,4,5",0.003955,0.148866,25.896197,0.939783,1.185073,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.301177,"1,3,4,5"
65401," ",1000406.209514,112469.438059,137.787885,0.070317,0.051525,0.378712,"2,3,4,5",0.003767,0.141787,15.597711,0.914562,1.144454,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.388615,"2,3,4,5"
65436," ",1000475.805635,112426.674896,136.760606,0.081120,0.050501,0.380855,"2,3,4,5",0.003764,0.141663,15.490577,0.839810,1.143181,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.392660,"2,3,4,5"
65451," ",1000005.097771,112153.214781,139.683901,0.052433,0.058093,0.299743,"1,3,4,5",0.006407,0.241128,25.671473,1.615750,1.876046,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.309790,"1,3,4,5"
65458," ",1000127.029129,112512.306701,139.271812,0.050820,0.056178,0.298304,"1,3,4,5",0.001550,0.058333,25.813939,0.490592,0.752002,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.307772,"1,3,4,5"
65520," ",999863.845271,112322.607805,139.468630,0.056041,0.051809,0.365376,"1,2,3,4",0.003524,0.132650,15.194851,1.115419,1.366208,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.373262,"1,2,3,4"
65555," ",999963.059450,112196.112247,138.793147,0.054111,0.054635,0.298438,"1,3,4,5",0.007208,0.271272,25.659745,1.298252,1.614950,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.308186,"1,3,4,5"
65639," ",1000139.027267,112384.467444,140.408608,0.050496,0.048786,0.369136,"2,3,4,5",0.005234,0.196990,15.563110,1.099918,1.496033,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.375755,"2,3,4,5"
65699," ",1000492.743743,112466.018456,149.753856,0.084208,0.052285,0.378402,"2,3,4,5",0.004201,0.158113,15.593750,1.140499,1.404389,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.391169,"2,3,4,5"
65734," ",1000097.377696,112612.115608,137.861455,0.051162,0.056504,0.304940,"1,2,3,5",0.003298,0.124142,25.655544,0.739803,0.815514,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.314323,"1,2,3,5"
65737," ",999952.997493,112310.434206,140.145268,0.050741,0.052223,0.363040,"1,2,3,4",0.004676,0.175997,15.191697,0.818817,1.099865,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.370270,"1,2,3,4"
