Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Object Point ID,Photo #,X (pixels),Y (pixels),Residual X,Residual Y,Residual Vector,Mark Type,Layer,Material,Tagged
65231,3,4520.756641,11094.897146,1.049505,0.486597,1.156822,SmartPoint,Default,SurfaceDefault, 
65231,4,6907.297852,11228.656107,-1.034354,-1.001514,1.439764,SmartPoint,Default,SurfaceDefault, 
65231,5,3702.654845,6698.899673,0.111436,-0.548400,0.559607,SmartPoint,Default,SurfaceDefault, 
65234,2,1548.142419,10937.690813,-0.171498,-1.347744,1.358612,SmartPoint,Default,SurfaceDefault, 
65234,3,3838.289755,10874.734034,0.859470,1.099495,1.395557,SmartPoint,Default,SurfaceDefault, 
65234,4,6225.953890,10986.989522,-1.419152,-0.232237,1.438028,SmartPoint,Default,SurfaceDefault, 
65234,5,4397.524937,6825.812678,-0.711290,-0.611331,0.937902,SmartPoint,Default,SurfaceDefault, 
65235,3,5435.092611,8870.269724,-0.268326,-0.134698,0.300237,SmartPoint,Default,SurfaceDefault, 
65235,4,7887.251036,9028.078371,0.473317,0.334458,0.579561,SmartPoint,Default,SurfaceDefault, 
65235,5,3075.000556,8980.834611,0.171577,0.241267,0.296054,SmartPoint,Default,SurfaceDefault, 
65239,3,4426.226552,10980.267308,0.143634,1.772170,1.777982,SmartPoint,Default,SurfaceDefault, 
65239,4,6811.524798,11108.711742,0.227236,-1.699613,1.714736,SmartPoint,Default,SurfaceDefault, 
65239,5,3809.675128,6797.181923,0.418093,0.126972,0.436949,SmartPoint,Default,SurfaceDefault, 
65242,2,3267.416288,9185.159906,-0.982097,-1.361221,1.678522,SmartPoint,Default,SurfaceDefault, 
65242,3,5618.862587,9170.661032,1.264662,1.428434,1.907824,SmartPoint,Default,SurfaceDefault, 
65242,4,8063.955072,9333.217852,-0.288260,0.281157,0.402670,SmartPoint,Default,SurfaceDefault, 
65242,5,2858.924870,8709.168186,-0.099086,0.372466,0.385421,SmartPoint,Default,SurfaceDefault, 
65246,2,2054.559274,9771.322022,0.152233,0.121045,0.194491,SmartPoint,Default,SurfaceDefault, 
65246,3,4389.511636,9719.323216,-0.299420,1.369568,1.401916,SmartPoint,Default,SurfaceDefault, 
65246,4,6816.350177,9843.999360,0.098384,-1.484658,1.487914,SmartPoint,Default,SurfaceDefault, 
65253,3,2581.603365,7620.412104,-0.602665,1.448516,1.568886,SmartPoint,Default,SurfaceDefault, 
65253,4,5067.066155,7685.407440,1.139611,-0.955343,1.487075,SmartPoint,Default,SurfaceDefault, 
65253,5,6015.728149,9874.948412,0.507916,0.598613,0.785058,SmartPoint,Default,SurfaceDefault, 
65257,1,3025.657162,749.528013,1.692322,-0.274182,1.714389,SmartPoint,Default,SurfaceDefault, 
65257,3,5549.423673,7611.692051,0.762821,0.096081,0.768848,SmartPoint,Default,SurfaceDefault, 
65257,4,8041.630359,7769.140579,0.871620,-0.517482,1.013661,SmartPoint,Default,SurfaceDefault, 
65265,2,1481.355612,847.884296,-0.194166,0.201059,0.279509,SmartPoint,Default,SurfaceDefault, 
65265,3,4093.118385,747.748572,0.366000,-0.176396,0.406290,SmartPoint,Default,SurfaceDefault, 
65265,4,6793.445890,852.019844,-0.179242,-0.024396,0.180894,SmartPoint,Default,SurfaceDefault, 
65269,3,4027.633638,11083.239032,1.355406,0.566291,1.468948,SmartPoint,Default,SurfaceDefault, 
65269,4,6409.886210,11201.828590,-0.179752,-0.870402,0.888769,SmartPoint,Default,SurfaceDefault, 
65269,5,4184.912947,6646.702563,1.249524,-0.166675,1.260592,SmartPoint,Default,SurfaceDefault, 
65276,3,1456.640288,10945.239026,-0.297324,0.004204,0.297354,SmartPoint,Default,SurfaceDefault, 
65276,4,3839.698236,10986.356010,0.053638,0.071522,0.089400,SmartPoint,Default,SurfaceDefault, 
65276,5,6720.655916,6483.125672,-0.256292,0.046980,0.260562,SmartPoint,Default,SurfaceDefault, 
65278,3,886.970919,8965.090922,-0.326957,0.771182,0.837629,SmartPoint,Default,SurfaceDefault, 
65278,4,3326.669555,8982.327967,0.618488,-0.506628,0.799499,SmartPoint,Default,SurfaceDefault, 
65278,5,7516.800521,8352.357231,0.275453,0.321836,0.423618,SmartPoint,Default,SurfaceDefault, 
65288,2,2980.343553,9332.546265,-0.052581,0.846325,0.847957,SmartPoint,Default,SurfaceDefault, 
65288,3,5330.167468,9305.447997,-1.757045,-0.490041,1.824102,SmartPoint,Default,SurfaceDefault, 
65288,5,3129.347008,8540.595111,-1.842343,0.138393,1.847533,SmartPoint,Default,SurfaceDefault, 
65289,1,6907.700275,496.387603,0.323182,0.062293,0.329130,SmartPoint,Default,SurfaceDefault, 
65289,3,1642.645406,7553.544258,0.615953,0.313775,0.691269,SmartPoint,Default,SurfaceDefault, 
65289,4,4129.165152,7591.746448,0.740724,-0.076999,0.744716,SmartPoint,Default,SurfaceDefault, 
65289,5,6942.734902,9827.561874,1.011824,0.349527,1.070493,SmartPoint,Default,SurfaceDefault, 
65291,2,2857.934411,8099.829976,-0.508208,-0.300685,0.590497,SmartPoint,Default,SurfaceDefault, 
65291,3,5246.362939,8066.710693,-0.090512,0.147980,0.173466,SmartPoint,Default,SurfaceDefault, 
65291,4,7724.674122,8216.964252,0.308453,0.612828,0.686077,SmartPoint,Default,SurfaceDefault, 
65291,5,3354.998625,9748.873040,-0.377277,0.452701,0.589301,SmartPoint,Default,SurfaceDefault, 
65297,3,496.463388,6327.802954,-0.987946,-0.114707,0.994583,SmartPoint,Default,SurfaceDefault, 
65297,4,3024.623870,6329.613066,-0.117079,0.278981,0.302552,SmartPoint,Default,SurfaceDefault, 
65297,5,8217.996486,10907.616410,-1.136117,0.024691,1.136385,SmartPoint,Default,SurfaceDefault, 
65298,2,1886.133340,11135.994035,-0.139313,0.969133,0.979095,SmartPoint,Default,SurfaceDefault, 
65298,3,4174.173638,11081.220041,0.228998,0.366326,0.432012,SmartPoint,Default,SurfaceDefault, 
65298,4,6556.831014,11204.037952,-0.160807,-1.327182,1.336889,SmartPoint,Default,SurfaceDefault, 
65299,3,1595.059110,12010.459424,1.488509,0.266262,1.512135,SmartPoint,Default,SurfaceDefault, 
65299,4,3946.212450,12058.106136,0.368688,-0.442273,0.575792,SmartPoint,Default,SurfaceDefault, 
65299,5,6453.738721,5455.410495,1.902325,0.063258,1.903376,SmartPoint,Default,SurfaceDefault, 
65304,2,3051.156576,4158.218689,0.350449,1.326356,1.371873,SmartPoint,Default,SurfaceDefault, 
65304,3,5565.729486,4116.499129,-0.767025,-0.095563,0.772955,SmartPoint,Default,SurfaceDefault, 
65304,4,8164.162714,4267.779105,0.339401,-1.222754,1.268984,SmartPoint,Default,SurfaceDefault, 
65312,2,2638.025920,10383.476139,0.181570,-1.703879,1.713526,SmartPoint,Default,SurfaceDefault, 
65312,3,4954.144368,10352.633906,-0.271711,0.488279,0.558787,SmartPoint,Default,SurfaceDefault, 
65312,4,7361.413289,10499.763264,0.180370,1.206107,1.219519,SmartPoint,Default,SurfaceDefault, 
65322,2,1672.564471,11183.380573,-0.265085,1.069033,1.101409,SmartPoint,Default,SurfaceDefault, 
65322,3,3957.383531,11120.984332,0.466161,-0.611065,0.768575,SmartPoint,Default,SurfaceDefault, 
65322,4,6337.872527,11239.114884,-0.248661,-0.452222,0.516079,SmartPoint,Default,SurfaceDefault, 
65323,1,6133.704289,2001.059576,1.490998,-0.011620,1.491043,SmartPoint,Default,SurfaceDefault, 
65323,3,2528.999866,6103.509847,1.122511,0.556492,1.252883,SmartPoint,Default,SurfaceDefault, 
65323,4,5063.806579,6165.221810,0.337686,-0.689972,0.768175,SmartPoint,Default,SurfaceDefault, 
65325,3,1666.474050,9401.373876,1.080749,0.514453,1.196946,SmartPoint,Default,SurfaceDefault, 
