Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
317," ","1,2,3,4",999604.584834,112344.423959,139.437785,0.019865,0.019763,0.041839,0.050355,0.005780,0.217543,14.880135,216,1.129242,1.937848,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3,4",255,255,255
333," ","1,2,3",1000134.490160,112591.204365,138.008531,0.020008,0.019885,0.042205,0.050764,0.005494,0.206797,14.903348,401,1.537678,1.837091,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,2,3",255,255,255
347," ","2,3",1000460.338860,112765.836459,139.469157,0.020497,0.020407,0.042136,0.051108,0.000184,0.006933,6.493269,405,0.672776,0.898819,3,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
351," ","2,3,4,5",1000551.289906,112275.297957,139.853336,0.019945,0.019762,0.041899,0.050436,0.008732,0.328656,15.197447,406,1.878398,2.908321,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
375," ","1,3,4",999619.064131,112370.850651,138.953877,0.020053,0.020000,0.042032,0.050683,0.009153,0.344507,14.632382,305,1.893190,2.476395,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4",255,255,255
403," ","1",999170.659861,112692.519213,139.634571,0.021041,0.020945,0.042402,0.051762,n/a,n/a,n/a,309,2.209076,2.209076,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1",255,255,255
410," ","1,4,5",999974.456634,112476.799721,139.692304,0.019956,0.019885,0.042022,0.050592,0.004879,0.183649,25.760149,311,2.275465,2.811465,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
422," ","1,3,4,5",1000126.764777,112179.092192,138.558465,0.019671,0.019538,0.042010,0.050333,0.008220,0.309369,25.743457,313,1.478601,2.121020,1,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,3,4,5",255,255,255
428," ","1,4,5",999971.957768,112044.555715,139.538541,0.020056,0.020044,0.042011,0.050684,0.006563,0.247008,25.398210,314,1.573887,2.370184,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"1,4,5",255,255,255
492," ","2,3,4",999606.882872,112342.399906,139.140152,0.020176,0.020033,0.041842,0.050588,0.003130,0.117800,13.181943,413,1.550349,2.217048,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4",255,255,255
552," ","3,4,5",1000575.037638,112258.182354,139.621494,0.020169,0.020038,0.042045,0.050755,0.009468,0.356343,13.381269,508,2.001494,2.981805,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"3,4,5",255,255,255
563," ","2,3,5",1000166.798645,112674.266731,138.758666,0.020012,0.019926,0.042226,0.050799,0.007675,0.288870,15.407628,511,1.833989,2.828977,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
590," ","4,5",999980.976447,112051.071747,139.414454,0.020425,0.020354,0.042165,0.051082,0.009408,0.354098,12.782061,515,2.322528,2.629950,4,White,Default, ,Control,yes,no,0,n/a,n/a, ,"4,5",255,255,255
607," ","2,3,5",1000502.484003,112625.885244,139.642463,0.020035,0.020009,0.042037,0.050685,0.007691,0.289458,15.495449,5212,1.702511,2.356185,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,5",255,255,255
634," ","2,3",1000441.913244,112677.083292,139.761555,0.020395,0.020325,0.042153,0.051048,0.000260,0.009781,6.562870,609,0.279798,0.307461,2,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3",255,255,255
651," ","2,3,4,5",1000359.447220,112429.753495,139.163650,0.019573,0.019545,0.042109,0.050381,0.008157,0.307002,15.631294,610,1.616585,2.682362,5,White,Default, ,Control,yes,no,0,n/a,n/a, ,"2,3,4,5",255,255,255
