# Id, Name, X, Y, Z, sigmaX, sigmaY, sigmaZ
216, B2.16, 999604.580, 112344.443, 139.453, 0.02, 0.02, 0.04
305, B3.05, 999619.041, 112370.818, 138.97, 0.02, 0.02, 0.04
309, B3.09, 999170.674, 112692.548, 139.64, 0.02, 0.02, 0.04
311, B3.11, 999974.432, 112476.893, 139.72, 0.02, 0.02, 0.04
313, B3.13, 1000126.748, 112179.093, 138.54, 0.02, 0.02, 0.04
314, B3.14, 999971.948, 112044.540, 139.55, 0.02, 0.02, 0.04
401, B4.1, 1000134.50, 112591.16, 138.01, 0.02, 0.02, 0.04
405, B4.5, 1000460.33, 112765.82, 139.45, 0.02, 0.02, 0.04
406, B4.6, 1000551.27, 112275.28, 139.86, 0.02, 0.02, 0.04
410, B4.13, 999606.93, 112342.35, 139.10, 0.02, 0.02, 0.04
508, B5.8, 1000575.072, 112258.195, 139.643, 0.02, 0.02, 0.04
511, B5.11, 1000166.790, 112674.298, 138.761, 0.02, 0.02, 0.04
515, B5.15, 999980.997, 112051.062, 139.395, 0.02, 0.02, 0.04
609, B6.9, 1000441.906, 112677.087, 139.757, 0.02, 0.02, 0.04
610, B6.10, 1000359.462, 112429.749, 139.156, 0.02, 0.02, 0.04
5212, B5.212, 1000502.467, 112625.887, 139.644, 0.02, 0.02, 0.04
