# Mark points for DBAT camera calibration demo
# Format: image id, point id, x, y, sxy
 1,    2, 1429.1871, 1456.4278, 0.1
 1,    3, 1217.8557, 1456.1798, 0.1
 1,    4, 1638.5148, 1454.0811, 0.1
 1,    5, 1006.2362, 1453.7820, 0.1
 1,    6, 1844.4644, 1450.3823, 0.1
 1,    7,  797.0289, 1449.8387, 0.1
 1,    8, 2047.1395, 1446.2662, 0.1
 1,    9,  591.4144, 1443.8697, 0.1
 1,   10,  391.6128, 1437.6830, 0.1
 1,   11,  195.6615, 1429.8491, 0.1
 1,   12, 1418.1391, 1270.0164, 0.1
 1,   13, 1216.8273, 1269.9377, 0.1
 1,   14, 1617.4939, 1268.7603, 0.1
 1,   15, 1015.1358, 1267.7026, 0.1
 1, 1001, 1813.4284, 1266.2367, 0.1
 1,   16,  815.6912, 1265.0421, 0.1
 1,   17, 2005.8948, 1262.2445, 0.1
 1,   18,  619.7495, 1260.9004, 0.1
 1, 1002,  428.5563, 1255.3326, 0.1
 1,   19,  243.4372, 1250.7945, 0.1
 1,   20, 1407.5207, 1099.9881, 0.1
 1,   21, 1597.5731, 1099.4047, 0.1
 1,   22, 1215.6603, 1099.7737, 0.1
 1,   23, 1784.5411, 1097.5548, 0.1
 1,   24, 1023.4725, 1097.3086, 0.1
 1,   25, 1967.4325, 1095.6753, 0.1
 1,   26,  833.0220, 1095.1614, 0.1
 1,   27,  646.4377, 1093.7252, 0.1
 1,   28,  464.1943, 1090.7112, 0.1
 1,   29,  287.2191, 1087.5448, 0.1
 1,   30, 1931.4343,  944.3629, 0.1
 1,   31, 1757.0625,  944.2338, 0.1
 1,   32, 1578.6473,  944.5296, 0.1
 1,   33, 1397.3486,  945.0716, 0.1
 1,   34, 1214.4710,  944.7584, 0.1
 1,   35,  671.6101,  941.2705, 0.1
 1,   36, 1031.2014,  941.4652, 0.1
 1,   37,  849.7808,  941.2251, 0.1
 1,   38,  497.6257,  940.4461, 0.1
 1,   39,  326.8614,  936.2355, 0.1
 1,   40, 1560.5906,  804.2485, 0.1
 1,   41, 1387.7016,  803.8287, 0.1
 1,   42, 1898.9988,  803.0511, 0.1
 1,   43, 1213.2420,  802.8610, 0.1
 1,   44,  695.3857,  802.2472, 0.1
 1,   45, 1731.4896,  802.8705, 0.1
 1,   46,  528.4134,  801.6390, 0.1
 1,   47,  865.5582,  801.2688, 0.1
 1,   48,  365.3910,  800.1903, 0.1
 1,   49, 1038.5198,  800.3304, 0.1
 1,   50, 1866.1747,  679.4978, 0.1
 1,   51, 1706.2913,  678.0781, 0.1
 1,   52,  402.0369,  677.3159, 0.1
 1,   53,  558.0698,  676.6650, 0.1
 1,   54, 1543.5888,  675.8288, 0.1
 1,   55, 1378.4256,  676.2626, 0.1
 1,   56, 1212.0953,  675.7048, 0.1
 1,   57,  717.7645,  676.1453, 0.1
 1,   58,  880.5014,  674.7863, 0.1
 1,   59, 1045.5639,  673.3149, 0.1
 1,   60,  436.2440,  565.0226, 0.1
 1,   61, 1836.6646,  564.3044, 0.1
 1,   62, 1683.2268,  562.5779, 0.1
 1,   63,  585.8161,  562.8024, 0.1
 1,   64, 1527.4848,  561.0436, 0.1
 1,   65, 1369.7331,  560.2879, 0.1
 1,   66,  738.7234,  561.2654, 0.1
 1,   67, 1210.9978,  559.4700, 0.1
 1,   68,  894.5485,  560.0128, 0.1
 1,   69, 1052.1045,  558.2089, 0.1
 1,   70,  467.8120,  460.8823, 0.1
 1,   71, 1808.7576,  459.4924, 0.1
 1,   72,  611.4717,  457.7879, 0.1
 1,   73, 1661.7535,  457.2167, 0.1
 1,   74,  758.2178,  456.2724, 0.1
 1,   75, 1512.4194,  454.8595, 0.1
 1,   76,  907.3967,  454.6323, 0.1
 1,   77, 1361.6033,  453.7812, 0.1
 1,   78, 1209.8759,  453.5157, 0.1
 1,   79, 1058.2089,  453.3440, 0.1
 1,   80,  497.5415,  366.5497, 0.1
 1, 1004,  635.6057,  362.5516, 0.1
 1,   81, 1783.1065,  362.0649, 0.1
 1, 1003, 1641.6407,  360.4757, 0.1
 1,   82,  776.5702,  361.0723, 0.1
 1,   83, 1498.4564,  359.0714, 0.1
 1,   84, 1354.0694,  358.1599, 0.1
 1,   85, 1208.7526,  357.6902, 0.1
 1,   86,  919.2193,  358.0043, 0.1
 1,   87, 1063.6262,  356.5845, 0.1
 1,   88,  525.2250,  279.7664, 0.1
 1,   89,  658.3035,  276.3722, 0.1
 1,   90, 1758.8551,  274.3339, 0.1
 1,   91,  793.3730,  273.5425, 0.1
 1,   92, 1622.8272,  272.4571, 0.1
 1,   93,  930.5242,  271.4949, 0.1
 1,   94, 1485.4209,  271.0819, 0.1
 1,   95, 1346.9305,  270.5112, 0.1
 1,   96, 1068.8293,  270.3444, 0.1
 1,   97, 1207.8107,  269.9316, 0.1
 2,    8,  674.8753, 1655.9416, 0.1
 2,   17,  826.2849, 1623.7844, 0.1
 2,   25,  964.9566, 1593.0643, 0.1
 2,   30, 1092.0962, 1563.8839, 0.1
 2,   42, 1212.1207, 1537.2838, 0.1
 2,   50, 1317.6901, 1510.3732, 0.1
 2,   61, 1417.1903, 1485.9204, 0.1
 2,    6,  671.4747, 1482.3483, 0.1
 2,   71, 1508.5368, 1462.7289, 0.1
 2, 1001,  823.1854, 1457.4089, 0.1
 2,   81, 1594.2804, 1441.2207, 0.1
 2,   23,  963.5806, 1433.8101, 0.1
 2,   90, 1672.1291, 1420.7033, 0.1
 2,   31, 1092.1789, 1411.1942, 0.1
 2,   45, 1211.9392, 1389.9721, 0.1
 2,   51, 1318.4409, 1369.1128, 0.1
 2,   62, 1418.0606, 1349.7746, 0.1
 2,   73, 1509.8302, 1331.7012, 0.1
 2, 1003, 1594.8842, 1314.6596, 0.1
 2,    4,  668.6146, 1305.8921, 0.1
 2,   92, 1672.9755, 1298.5880, 0.1
 2,   14,  821.2664, 1288.3565, 0.1
 2,   21,  961.9533, 1271.6134, 0.1
 2,   32, 1091.7636, 1255.6181, 0.1
 2,   40, 1210.2507, 1240.2917, 0.1
 2,   54, 1319.8442, 1225.7861, 0.1
 2,   64, 1418.7114, 1211.9634, 0.1
 2,   75, 1511.1652, 1199.0308, 0.1
 2,   83, 1595.3231, 1186.8451, 0.1
 2,   94, 1673.3702, 1175.4192, 0.1
 2,    2,  666.5835, 1126.8071, 0.1
 2,   12,  820.1139, 1116.8937, 0.1
 2,   20,  961.2762, 1107.2659, 0.1
 2,   33, 1090.8390, 1098.0416, 0.1
 2,   41, 1210.1113, 1089.2768, 0.1
 2,   55, 1318.7977, 1080.7644, 0.1
 2,   65, 1418.6078, 1072.8247, 0.1
 2,   77, 1511.3157, 1065.2898, 0.1
 2,   84, 1595.3404, 1058.1855, 0.1
 2,   95, 1673.0842, 1051.5107, 0.1
 2,    3,  666.2779,  946.1997, 0.1
 2,   13,  819.6339,  943.9531, 0.1
 2,   22,  960.8613,  941.6715, 0.1
 2,   34, 1090.5002,  939.3678, 0.1
 2,   43, 1210.2956,  937.0633, 0.1
 2,   56, 1318.5834,  934.9340, 0.1
 2,   67, 1418.6482,  932.8882, 0.1
 2,   78, 1510.8387,  930.8118, 0.1
 2,   85, 1595.0295,  928.8838, 0.1
 2,   97, 1672.8962,  927.0717, 0.1
 2,   96, 1671.8993,  802.8152, 0.1
 2,   87, 1595.3598,  799.6619, 0.1
 2,   79, 1510.2532,  796.4245, 0.1
 2,   69, 1419.0665,  792.8038, 0.1
 2,   59, 1319.9621,  788.8653, 0.1
 2,   49, 1211.7299,  784.6642, 0.1
 2,   36, 1092.5809,  780.3003, 0.1
 2,   24,  962.0102,  775.7132, 0.1
 2,   15,  820.4935,  770.6564, 0.1
 2,    5,  667.1749,  765.1944, 0.1
 2,   93, 1670.3138,  678.9176, 0.1
 2,   86, 1593.4526,  670.8953, 0.1
 2,   76, 1508.4489,  662.5975, 0.1
 2,   68, 1416.7062,  653.5870, 0.1
 2,   58, 1317.8030,  643.7749, 0.1
 2,   47, 1209.8791,  633.3530, 0.1
 2,   37, 1091.5312,  622.4130, 0.1
 2,   26,  962.4814,  610.7405, 0.1
 2,   16,  821.0840,  598.6993, 0.1
 2,    7,  668.6011,  585.6926, 0.1
 2,   91, 1667.8809,  555.8550, 0.1
 2,   82, 1590.1263,  543.4022, 0.1
 2,   74, 1506.4030,  529.8045, 0.1
 2,   66, 1414.8354,  515.5623, 0.1
 2,   57, 1315.7112,  500.2271, 0.1
 2,   44, 1207.8249,  483.8555, 0.1
 2,   35, 1090.0176,  466.5866, 0.1
 2,   27,  961.8946,  448.3214, 0.1
 2,   89, 1664.8569,  434.2462, 0.1
 2,   18,  822.5800,  428.9426, 0.1
 2, 1004, 1588.2811,  417.0251, 0.1
 2,    9,  671.3576,  408.5336, 0.1
 2,   72, 1504.3877,  398.7569, 0.1
 2,   63, 1412.6766,  379.4268, 0.1
 2,   53, 1314.2079,  358.6667, 0.1
 2,   46, 1207.1086,  336.5507, 0.1
 2,   88, 1661.2624,  314.3351, 0.1
 2,   38, 1089.0767,  313.5967, 0.1
 2,   80, 1584.0763,  292.9147, 0.1
 2,   28,  962.5202,  288.8800, 0.1
 2,   70, 1500.9652,  270.0433, 0.1
 2, 1002,  825.0757,  262.5869, 0.1
 2,   60, 1409.8541,  245.8519, 0.1
 2,   10,  674.0655,  235.6502, 0.1
 2,   52, 1312.5301,  219.8375, 0.1
 2,   48, 1206.9653,  192.0649, 0.1
 2,   39, 1091.1516,  163.0256, 0.1
 2,   29,  963.2267,  133.4148, 0.1
 2,   19,  826.6706,  100.9158, 0.1
 2,   11,  678.7676,   66.3951, 0.1
 3,    8, 1088.3676, 1570.9448, 0.1
 3,    6,  954.5825, 1438.4888, 0.1
 3,   17, 1231.8811, 1437.9110, 0.1
 3, 1001, 1096.8101, 1314.4172, 0.1
 3,    4,  830.5227, 1313.6101, 0.1
 3,   25, 1367.1387, 1311.3117, 0.1
 3,   14,  970.8691, 1197.3100, 0.1
 3,    2,  716.2647, 1196.7890, 0.1
 3,   23, 1231.5088, 1195.0532, 0.1
 3,   30, 1493.7498, 1191.4623, 0.1
 3,   12,  854.0219, 1087.2037, 0.1
 3,    3,  610.8066, 1087.0752, 0.1
 3,   21, 1104.4260, 1085.6446, 0.1
 3,   31, 1358.4339, 1081.9376, 0.1
 3,   42, 1612.1172, 1075.3941, 0.1
 3,    5,  513.9943,  984.9701, 0.1
 3,   13,  746.0024,  984.3705, 0.1
 3,   20,  985.8528,  982.3911, 0.1
 3,   32, 1230.8939,  978.9590, 0.1
 3,   45, 1477.3572,  973.4937, 0.1
 3,   50, 1720.9456,  970.9849, 0.1
 3,    7,  425.5784,  891.1588, 0.1
 3,   15,  646.2109,  888.0767, 0.1
 3,   22,  875.7326,  885.9409, 0.1
 3,   33, 1111.3353,  882.7877, 0.1
 3,   40, 1349.9108,  878.8286, 0.1
 3,   51, 1587.7928,  875.1538, 0.1
 3,   61, 1822.1404,  871.0333, 0.1
 3,    9,  344.1180,  803.6104, 0.1
 3,   16,  554.8461,  799.8203, 0.1
 3,   24,  773.4423,  794.8352, 0.1
 3,   34,  999.7328,  792.2995, 0.1
 3,   41, 1230.0566,  788.2052, 0.1
 3,   54, 1461.4036,  783.6927, 0.1
 3,   62, 1690.5339,  781.3407, 0.1
 3,   71, 1915.8819,  778.0768, 0.1
 3,   10,  269.6482,  723.5235, 0.1
 3,   18,  470.4281,  717.5203, 0.1
 3,   26,  679.2048,  711.2873, 0.1
 3,   36,  895.4357,  705.5247, 0.1
 3,   43, 1117.4560,  702.7880, 0.1
 3,   55, 1341.7265,  699.8355, 0.1
 3,   64, 1565.3545,  696.4590, 0.1
 3,   73, 1786.1342,  693.6569, 0.1
 3,   81, 2003.3195,  689.8042, 0.1
 3,   11,  199.9489,  647.5773, 0.1
 3, 1002,  392.3871,  640.7924, 0.1
 3,   27,  592.4159,  635.0937, 0.1
 3,   37,  799.2628,  628.0204, 0.1
 3,   49, 1012.0478,  621.5900, 0.1
 3,   56, 1228.9909,  620.1121, 0.1
 3,   65, 1446.4768,  616.9337, 0.1
 3,   75, 1662.4605,  613.3163, 0.1
 3, 1003, 1875.1542,  611.3214, 0.1
 3,   90, 2084.4036,  608.8637, 0.1
 3,   19,  320.7993,  570.8962, 0.1
 3,   28,  511.9219,  563.4314, 0.1
 3,   35,  710.0647,  556.5115, 0.1
 3,   47,  914.2751,  549.1863, 0.1
 3,   59, 1123.0200,  543.6098, 0.1
 3,   67, 1334.0003,  541.7335, 0.1
 3,   77, 1544.6297,  538.3579, 0.1
 3,   83, 1752.8452,  536.6409, 0.1
 3,   92, 1957.9327,  534.7292, 0.1
 3,   29,  437.3711,  497.0990, 0.1
 3,   38,  627.2877,  489.5498, 0.1
 3,   44,  823.0711,  481.7944, 0.1
 3,   58, 1024.0022,  475.4438, 0.1
 3,   69, 1227.9111,  470.4362, 0.1
 3,   78, 1432.7347,  468.0301, 0.1
 3,   84, 1636.3559,  466.2055, 0.1
 3,   94, 1837.2785,  464.5211, 0.1
 3,   39,  549.4150,  424.2163, 0.1
 3,   46,  737.8714,  417.6323, 0.1
 3,   57,  931.3147,  411.5563, 0.1
 3,   68, 1128.2466,  406.1849, 0.1
 3,   79, 1326.9635,  401.6591, 0.1
 3,   85, 1525.3618,  399.6046, 0.1
 3,   95, 1722.1543,  398.3698, 0.1
 3,   48,  658.4188,  357.2211, 0.1
 3,   53,  844.5819,  351.1385, 0.1
 3,   66, 1034.4756,  345.2406, 0.1
 3,   76, 1226.9507,  340.2488, 0.1
 3,   87, 1420.1971,  335.8637, 0.1
 3,   97, 1612.3190,  335.2411, 0.1
 3,   52,  763.5109,  294.7242, 0.1
 3,   63,  946.5661,  288.3475, 0.1
 3,   74, 1132.6669,  282.5293, 0.1
 3,   86, 1320.3521,  277.7146, 0.1
 3,   96, 1507.8644,  276.2211, 0.1
 3,   60,  864.1179,  235.4604, 0.1
 3,   72, 1043.9519,  228.0984, 0.1
 3,   82, 1225.8913,  224.1621, 0.1
 3,   93, 1408.5308,  220.6584, 0.1
 3,   70,  960.4919,  178.3155, 0.1
 3, 1004, 1136.7921,  172.0244, 0.1
 3,   91, 1314.2073,  168.7311, 0.1
 3,   80, 1052.5788,  125.1771, 0.1
