# Image measurements for the Roma bundle demos in DBAT.
# Format: Image id, OP id, x, y
 1,    1,1880.1284,2570.5688
 1,    2,3568.2600,1866.7021
 1,    5,3652.3281,2144.8281
 1,28058,1798.0693,1177.7542
 1,29755,1167.3688,2185.4766
 1,    8,2855.9287,1542.2079
 1,    9,3600.0396,1682.6951
 1,   10,3972.7078,1646.9480
 1,   11,1889.4282,2549.1233
 1,   18,3709.6265,2255.8352
 1,   19,4076.4114,1968.6125
 1,   20,3868.0942, 710.0248
 1,   22,4310.5483,2469.4944
 1,   23,2046.7711,1778.6580
 1,   31,3648.2124,2040.3141
 1,   32,4009.3364,1382.9069
 1,   33,2840.9004,1576.5068
 1,   36,1984.7892,1664.0408
 1,30773,2019.7742,1950.6392
 1,   41,3137.7305,1520.5034
 1,   42,4080.4307,2045.4578
 1,30790,2199.0920,1596.8322
 1, 3134,3524.0818,1960.2056
 1,   49,3613.2583,1391.3607
 1,   52,4246.9775,2502.5820
 1,29823,1201.0908,2006.5132
 1,   56,3496.4834,1756.6726
 1,   58,2631.6763,1636.1007
 1,30374,2123.1550,1745.6935
 1,   62,4079.9309,1631.5345
 1,   65,2971.1680,1580.7377
 1,   66,3877.6028,1973.6931
 1,   68,3080.5842,1774.3281
 1,   69,3014.5344,1832.8022
 1,   70,2012.4594,1969.8064
 1,   75,3027.2893,1605.5132
 1,   78,2997.4082,1607.7881
 1,   84,1140.3271,2248.8269
 1,32736,3134.9756,2530.9939
 1,   95,4125.4219,2333.5845
 1,   98,2999.7119,1835.0844
 1,   99,2937.4292,1763.4799
 1, 2806,4037.3926,1201.2004
 1,  101,4028.0942,1400.4398
 1,  102,1441.2874,1776.2643
 1,  104,4230.3662,2490.5640
 1,  105,3004.0854,1500.1595
 1,  108,4062.5999,1694.8413
 1,  112,4163.2349,1942.9790
 1,31106,1520.0450,2266.6501
 1,  114,3830.8223,1185.8566
 1,32091,2958.7102,1663.0623
 1,  119,4223.9702,2222.9744
 1,31422,2126.4653, 974.8090
 1,  121,2967.1924,1644.6400
 1,33084,3944.6672,1907.3333
 1,  126,4240.6724,2434.6104
 1,28715,1153.3715,2182.8284
 1,  129,3557.4077,2707.4180
 1,27370,2465.9084,1635.7820
 1,29017,2090.3655,1730.3204
 1,  135,2122.6555, 986.4056
 1,31087,2975.2864,1598.7075
 1,29647,2092.2336,1751.8474
 1,  157,3051.8354,1403.4067
 1,  158,2865.7974,1533.5645
 1,  160,4055.5439,1400.8756
 1,28829,1570.4902,2024.8717
 1,  164,3478.5166,1849.6416
 1,  165,3316.4329,1280.0221
 1,  166,3319.9851,1430.0166
 1,33288,3099.1978,2207.3394
 1,31763,3115.6338,1661.2920
 1,30635,3115.2981,2216.2695
 1,  180,3629.3450,1242.9280
 1,  181,1959.3972,1652.3782
 1,  185,1925.4717,2659.0181
 1,  188,3536.6414,2161.9941
 1,  192,4044.6592,1527.3408
 1,  195,4229.3545,2466.6116
 1,28696,2258.5161,1236.0591
 1,  197,2362.7122,1532.4230
 1,31060,2776.2583,1637.0522
 1,34868,3714.3889,1948.5066
 1,  208,3669.4265,2273.2944
 1,34866,4294.0645,2689.8730
 1,  213,3724.3145,2020.7842
 1,  215,1278.8259,1666.1527
 1,  216,4033.6167,1676.1936
 1,31556,3203.0378,2358.9592
 1,  218,2461.7126,1585.9523
 1,  221,4242.6416,1162.1349
 1,  224,2151.9985,1653.5063
 1,  226,4174.0229,1874.1511
 1,30153,2209.4695,1681.8855
 1,  232,2009.0735,1671.9578
 1,30078,2355.9875,1613.8025
 1,  237,4198.6777,2422.3342
 1,  239,4221.0068,2478.5662
 1,30619,3070.9702,1909.7500
 1,  241,1902.5883,2166.4160
 1,  252,1951.3469,2040.7205
 1,  255,3731.1265,1577.4655
 1,31254,2391.3438,1397.2052
 1,  257,4030.9819,2009.9285
 1,32256,2894.9585,1493.1592
 1,  262,3846.5928,1203.3705
 1,  264,2977.5337,1561.6444
 1,  266,3122.0642,1477.0250
 1,30528,3222.0383,2232.7090
 1,  269,2104.8604,1763.6007
 1,  272,4036.6782, 915.5204
 1,  273,4130.4141,1395.4023
 1,  280,3768.8833,2053.7329
 1,29752,1636.9712,1594.4243
 1,29939,2957.4707,1750.6521
 1,33126,3555.2397,1863.3784
 1,  286,2008.6345,1922.3693
 1,  288,1220.4076,1731.1035
 1,  289,3203.7695,2312.1289
 1,  293,1555.7634,2246.2153
 1,  295,3526.1838,1587.0071
 1,32977,4008.7668,1618.8419
 1,  298,2990.4934,1648.1879
 1,  300,3558.2241,2347.5063
 1,28908,1629.1074,1259.1992
 1,32531,2736.4954,1111.4022
 1,29335,2109.2419,1777.9995
 1,  308,3624.3555,1625.4655
 1,  312,3089.8152,1609.1000
 1,32497,1194.3120,2135.5205
