# id, image, x, y
317, 1, 5007.6667,  7275.6667
333, 1, 2158.2500,  1135.5000
375, 1, 4700.3506,  7105.9468
403, 1,  955.1383, 12311.1660
410, 1, 3478.1358,  2979.2802
422, 1, 6936.8000,  1211.3865
428, 1, 8503.6000,  3004.5772
317, 2, 1453.6667,  1012.3333
333, 2, 4039.0000,  7293.3333
347, 2, 5892.0519, 11172.1777
351, 2,  148.6667, 11965.6667
492, 2, 1431.0000,  1037.0000
563, 2, 4984.0000,  7714.3333
607, 2, 4245.3951, 11587.6550
634, 2, 4870.8049, 10911.3411
651, 2, 2043.7778,  9819.7069
317, 3, 4060.0000,   912.3333
333, 3, 6455.6593,  7294.8080
347, 3, 8197.3333, 11243.6667
351, 3, 2409.1556, 11859.1323
375, 3, 4354.7975,  1106.0428
422, 3, 1672.0000,  6836.0000
492, 3, 4034.3333,   937.3333
552, 3, 2189.3802, 12119.3787
563, 3, 7392.6000,  7745.8755
607, 3, 6530.8988, 11607.8742
634, 3, 7180.1704, 10949.7925
651, 3, 4377.0395,  9766.5071
317, 4, 6751.9119,  1015.9611
351, 4, 4767.0000, 11933.7743
375, 4, 7042.5000,  1218.8872
410, 4, 7829.6064,  5477.0000
422, 4, 4180.5122,  6874.6667
428, 4, 2811.5000,  4908.7134
492, 4, 6726.4347,  1040.1297
552, 4, 4537.7295, 12186.4202
590, 4, 2876.5000,  5020.1089
651, 4, 6803.0851,  9893.6667
351, 5, 5681.0000,  5699.7756
410, 5, 3661.4468, 12430.6667
422, 5, 7002.7356, 10531.3333
428, 5, 8635.4377, 12250.7393
552, 5, 5865.9301,  5420.7601
563, 5, 1300.7447, 10316.1064
590, 5, 8556.0000, 12150.2853
607, 5, 1684.0000,  6440.8132
651, 5, 4005.5167,  7983.6667
