# id, image, x, y
65257, 1, 3025.6572,   749.5280
65289, 1, 6907.7003,   496.3876
65323, 1, 6133.7043,  2001.0596
65341, 1, 7051.7504,  4540.0555
65343, 1, 3233.7433,   953.8345
65353, 1, 5734.4966,   721.4309
65369, 1, 7026.8763,  1497.7064
65374, 1, 6707.1565,  1775.6569
65386, 1, 5964.5442,   830.5150
65390, 1, 7569.6777,  5024.0798
65394, 1, 4248.4128,  7060.4207
65416, 1, 6344.4520,   486.3168
65419, 1, 7962.7998,  5051.6011
65445, 1, 4376.3538,  7147.3526
65451, 1, 7236.8995,  2621.3515
65458, 1, 3067.8476,  1215.1130
65516, 1, 6443.4322,  5109.8415
65520, 1, 5263.7026,  4262.5822
65523, 1, 5769.5323,  3994.8983
65533, 1, 3285.7884,   972.9802
65555, 1, 6734.7328,  3110.7261
65588, 1, 6679.6399,  6217.2783
65593, 1, 7367.3063,  4085.7666
65598, 1, 7137.4671,  3691.1406
65604, 1, 7142.3295,  4829.5883
65608, 1, 7835.8508,  1293.5284
65614, 1, 7246.7353,  3855.2383
65622, 1, 5747.3218,  3885.7781
65664, 1, 7198.4133,  3613.4406
65674, 1, 6286.9657,  2254.7309
65697, 1, 6848.4066,  2981.6685
65731, 1, 2147.2549,   853.2044
65732, 1,  975.5155,  3595.8910
65733, 1, 1941.2808,  1482.9003
65734, 1, 1915.4247,  1564.0249
65737, 1, 5407.3233,  3226.7060
65739, 1, 5439.6705,  3277.4549
65740, 1, 1823.0766,  1833.5449
65742, 1, 2826.0507,  6331.6083
65743, 1, 5355.1806,  3266.9478
65746, 1, 1861.3507,  1516.0377
65747, 1, 1417.9413,  3605.6198
65751, 1, 5485.0090,  3178.9450
65752, 1, 3080.2463,  6479.5626
65754, 1,  810.2114,  3629.1111
65757, 1,  946.9120,  4666.4112
65759, 1, 5070.0259,  4189.7119
65762, 1,  970.2543,  3442.5498
65769, 1,  905.4864,  4911.0306
65772, 1, 2187.1083,  1158.2968
65774, 1, 1765.8441,  2003.4183
65775, 1, 1836.2908,  1590.8108
65779, 1, 1009.2931,  3517.9349
65781, 1, 1705.9257,  3823.9278
65783, 1, 1664.2155,  1867.1215
65790, 1,  729.6442,  3322.4848
65791, 1, 2306.3915,   963.0275
65792, 1, 5136.0212,  4256.6078
65794, 1, 3261.1914,  6582.7596
65796, 1, 5585.6275,  1346.7081
65801, 1,  855.5496,  3470.7667
65802, 1, 2133.0283,   708.5894
65809, 1, 1322.8918,  2794.0871
65810, 1, 5176.6104,  3817.4441
65819, 1, 1163.8743,  4598.2192
65825, 1, 5553.9836,  1415.2019
65828, 1, 5449.5793,  1381.5450
65832, 1,  982.1776,  4487.5776
65834, 1, 1591.2747,  5651.3436
65835, 1, 2128.0060,  1502.3434
65844, 1, 2504.3159,  3075.7988
65848, 1, 1816.4699,  2950.8572
65851, 1, 4066.3017,  5426.1526
65855, 1, 2186.4864,  1324.2427
65857, 1, 1037.8756,  6417.8115
65859, 1, 2188.6164,  2778.0386
65860, 1,  820.2259,  4353.1851
65864, 1,  655.0158,  3415.0496
65865, 1, 1128.6698,  4666.6523
65867, 1, 4475.5594,  5477.5052
65874, 1, 4106.6649,  7094.2846
65882, 1, 1547.0402,  1774.8376
65884, 1, 1565.7219,  5566.4175
65900, 1, 2300.8496,  3879.3142
65902, 1, 2639.7919,  4965.7311
65903, 1, 3519.6635,  1147.8741
65904, 1, 4662.4863,  4208.8119
65905, 1, 2382.6822,   635.4501
65909, 1, 2552.5593,  3031.1028
65910, 1, 3244.6172,  3927.5360
65913, 1, 3104.0218,  4592.8105
65919, 1, 5268.0473,  4772.6276
65925, 1, 5350.7614,  7472.5091
65927, 1, 3625.7724,   488.6848
65930, 1, 2327.8903,  1113.0634
65932, 1, 4443.2058,  6082.5585
65937, 1, 2717.0072,  6855.2017
65944, 1, 5139.0983,  3191.9683
65945, 1, 5559.8211,  5488.8111
65946, 1, 1099.1626,  5201.9076
65953, 1, 4418.3365,  5490.1067
65959, 1, 5284.5509,  3765.3242
65962, 1, 3558.7126,  3222.4438
65972, 1, 5053.4128,  3177.1698
65977, 1, 2355.1014,  3235.6954
65980, 1, 5440.1443,  2294.5930
65985, 1, 2546.8821,  3130.3914
65989, 1, 1517.4171,  6218.4332
65991, 1, 5122.7217,  7504.7754
65993, 1,  865.1625,  2177.6991
66000, 1, 3961.8752,  2003.3668
66007, 1, 3222.6767,  4253.2810
66017, 1, 3510.0530,  6594.4298
66020, 1, 2892.6441,  6960.8789
66023, 1, 1492.6797,  6589.6579
66026, 1, 2181.0287,  3749.2540
66033, 1, 5637.2477,  5169.0950
66039, 1, 5173.2287,  4755.1273
66044, 1, 1306.9967,   845.8578
66047, 1, 3171.3685,  4401.1608
66055, 1,  505.1471,  3385.0154
66060, 1, 4138.6131,  4524.7803
66065, 1, 2617.9550,   658.9281
66071, 1, 3330.6703,  3913.7246
66080, 1, 3576.5245,  4516.2866
66084, 1, 3724.4285,  4244.2508
66090, 1, 1023.2801,  6116.3604
66095, 1, 4419.0623,  2626.0894
66113, 1, 1919.8604,  4952.8430
66115, 1,  719.8658,  3189.9466
66139, 1, 4569.6921,  2198.5310
66168, 1, 3285.1869,  5550.0128
66290, 1, 3643.9232,  4595.0030
66302, 1, 4553.3508,  1446.1822
66354, 1, 3674.2343,  1909.7908
66441, 1, 3741.8882,  6732.9967
66478, 1, 7169.3066,  1434.0077
66484, 1, 6322.1056,  6510.4677
66503, 1, 5939.3095,  2377.3127
66510, 1, 5548.0303,  3173.1601
66515, 1, 6134.6694,  4114.9621
66520, 1, 8012.2191,   479.0662
66544, 1, 4994.4354,   992.6969
66548, 1, 6719.9325,  4642.0140
66556, 1, 5964.9403,  2009.2922
66562, 1, 6108.2829,  5376.9665
66582, 1, 5966.7150,  7006.0904
66585, 1, 5239.7497,  6822.4283
66619, 1, 6940.5710,  3970.1373
66624, 1, 4317.6132,  1269.8602
66625, 1, 6310.4189,  2412.9631
66626, 1, 2357.4853,  1019.2644
66627, 1, 7416.8832,  1272.7133
66632, 1, 7968.5374,  7026.3618
66872, 1, 7340.8389,  1841.9067
67021, 1, 3906.0735,   839.8908
65234, 2, 1548.1424, 10937.6908
65242, 2, 3267.4163,  9185.1599
65246, 2, 2054.5593,  9771.3220
65265, 2, 1481.3556,   847.8843
65288, 2, 2980.3436,  9332.5463
65291, 2, 2857.9344,  8099.8300
65298, 2, 1886.1333, 11135.9940
65304, 2, 3051.1566,  4158.2187
65312, 2, 2638.0259, 10383.4761
65322, 2, 1672.5645, 11183.3806
65354, 2, 3379.0473,  9335.1596
65360, 2,  505.3084, 10239.6106
65367, 2, 1015.6065,  5017.7093
65377, 2, 3043.6737,  8611.1985
65378, 2, 1230.0342, 10538.7407
65380, 2, 2377.5205,  4917.6137
65382, 2, 2450.0715,  6472.1698
65395, 2, 2478.6052,  2166.0771
65401, 2, 2481.5858, 10381.1293
65406, 2,  964.4762,  3376.5439
65436, 2, 1948.8619, 11163.1135
65449, 2, 1088.1474,  8098.2716
65478, 2, 3342.9582,  8318.2671
65489, 2, 2685.4045,  8071.1971
65490, 2, 1178.9230, 11215.2836
65499, 2,  474.3145,  4276.8566
65508, 2, 1306.1804, 11085.5119
65509, 2, 1807.0093, 11183.4853
65520, 2, 1063.1179,  4010.9563
65521, 2, 1801.4867,  3210.9440
65539, 2, 2879.0693,  3736.8058
65541, 2, 1125.0554,  3610.6897
65546, 2, 2313.5122,  9079.3019
65550, 2, 2659.8504,  9116.0975
65558, 2,  968.0105,  7373.0746
65561, 2, 1850.6114, 11604.8495
65573, 2, 1137.3960,  3139.3148
65580, 2, 2960.4122, 10047.9545
65582, 2, 2954.2913, 11697.0716
65602, 2,  636.7973, 11807.7861
65609, 2, 1192.7990,  3119.2748
65610, 2, 1206.8310,  9323.2625
65619, 2, 1023.3820,  9138.2715
65639, 2, 1633.7300,  7236.8582
65665, 2, 1193.5515,  3794.9277
65666, 2, 2344.0618,  7394.0006
65683, 2, 2774.3885, 11653.4755
65688, 2, 1218.2526,  4706.2585
65699, 2, 2382.1175, 11416.0098
65700, 2, 1048.5924,  8602.2706
65716, 2, 1455.8315,  5094.9333
65731, 2, 4033.7424,  7579.2909
65732, 2, 5330.5223,  4872.8882
65733, 2, 4268.9234,  6954.5257
65734, 2, 4300.2117,  6873.8766
65737, 2,  872.3510,  5037.9854
65739, 2,  841.9515,  4983.4330
65740, 2, 4403.1805,  6609.0678
65742, 2, 3587.1895,  2045.2723
65743, 2,  923.1959,  4998.6225
65744, 2,  981.3597,  4949.4216
65746, 2, 4351.8536,  6925.9690
65747, 2, 4881.6183,  4840.3241
65748, 2, 1252.5383,  4169.2610
65751, 2,  794.1197,  5082.6258
65752, 2, 3344.0367,  1888.9006
65754, 2, 5495.9955,  4849.3419
65757, 2, 5401.3768,  3800.6907
65759, 2, 1252.4472,  4092.2419
65762, 2, 5324.0513,  5024.0248
65769, 2, 5454.2746,  3555.9316
65772, 2, 4009.3662,  7269.2018
65774, 2, 4466.9953,  6440.6036
65775, 2, 4381.3204,  6853.2399
65779, 2, 5292.5470,  4948.7273
65781, 2, 4601.7474,  4604.2439
65783, 2, 4563.2882,  6577.2467
65790, 2, 5563.3890,  5160.7118
65791, 2, 3881.3623,  7461.3724
65792, 2, 1192.7415,  4024.3833
65794, 2, 3159.7765,  1773.0735
65796, 2,  610.5499,  6914.2496
65801, 2, 5444.4192,  5006.7793
65802, 2, 4044.6565,  7723.3357
65810, 2, 1129.7558,  4458.7226
65819, 2, 5183.5283,  3857.3522
65825, 2,  648.2504,  6846.3373
65828, 2,  751.4032,  6885.9773
65832, 2, 5357.6914,  3973.5259
65834, 2, 4805.0003,  2792.1929
65835, 2, 4082.8558,  6928.8108
65844, 2, 3772.3542,  5323.0809
65848, 2, 4427.9883,  5430.0721
65851, 2, 2310.5226,  2904.6821
65855, 2, 4018.0442,  7102.9671
65857, 2, 5383.7395,  2036.9834
65859, 2, 4071.3220,  5628.3679
65860, 2, 5515.0696,  4119.7415
